Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2iDyRBAJ4PzLzorljWBfNS,"SINISTER","GOODNIGHT LOVELL","Night Lovell",2019-02-22,147692,0,true,elitealienzz,2020-04-16T14:29:20Z,"emo rap,horrorcore,trap metal","SCPP",0.762,0.282,8,-5.479,1,0.0719,0.167,0.102,0.0987,0.155,130.017,4
spotify:track:5CJVozOSQnYq47BS6TmCBl,"Lost Angeles","California Is Cold","SHAHMEN",2018-01-30,122413,0,true,elitealienzz,2020-04-16T14:26:08Z,"","House of Bless, Valle de Aburra Music",0.61,0.696,2,-8.74,1,0.427,0.0656,0.0279,0.23,0.303,94.9,4
spotify:track:4Uwvqx6ChhuVwwI0EC4kz2,"Material Love","tagSINES","Tag Shai;SorrySines",2017-01-01,178000,25,false,elitealienzz,2020-04-16T14:21:25Z,"cloud rap,emo rap","Tag Shai & SorrySines",0.612,0.792,1,-3.59,1,0.0568,0.00371,0.11,0.13,0.0879,119.944,4
spotify:track:7yvTs8trSYMtNNisA0nT73,"Sleeping","Simplicity","Auxxk",2016-10-07,125500,0,true,elitealienzz,2020-04-16T14:18:26Z,"trap metal,horrorcore","Independent Artist",0.471,0.618,10,-9.965,0,0.108,0.0219,0.00664,0.16,0.0392,110.337,4
spotify:track:54o1G7sQQfdWjLAI4KJ2AW,"Come fossimo cowboy","Supereroe","Emis Killa",2018-10-12,195163,37,false,elitealienzz,2020-04-16T14:12:02Z,"italian trap","Carosello Records",0.639,0.576,5,-7.256,1,0.108,0.0835,0,0.128,0.128,100.269,4
spotify:track:3FeivzOuUq5Crg9VTnciIX,"Guidando Forte","PsycoSide","Side Baby;PSICOLOGI;Night Skinny",2019-12-12,227812,32,true,elitealienzz,2020-04-16T14:08:34Z,"italian trap,concerto","Universal Music Italia srL.",0.72,0.746,11,-4.946,1,0.203,0.398,0,0.0611,0.567,131.898,4
spotify:track:0JP9xo3adEtGSdUEISiszL,"Moonlight","?","XXXTENTACION",2018-03-16,135090,83,true,elitealienzz,2020-04-16T14:06:04Z,"emo rap","Bad Vibes Forever, LLC",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4
spotify:track:5HEm9RTM8fIuzKa1RBj6xZ,"BAD KID","GOODNIGHT LOVELL","Night Lovell",2019-02-22,142222,0,true,elitealienzz,2020-04-16T14:02:36Z,"emo rap,horrorcore,trap metal","SCPP",0.886,0.316,1,-8.683,1,0.0677,0.0987,0.0166,0.108,0.0389,135.006,4
spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,"Revenge","17","XXXTENTACION",2017-08-25,120026,82,true,elitealienzz,2020-04-16T13:56:24Z,"emo rap","Bad Vibes Forever / EMPIRE",0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,4
spotify:track:7uTrlCClNHzDZof958OaLX,"Cromito loco","Cromito loco","Cromo",2017-04-28,178519,18,true,elitealienzz,2020-04-16T13:51:29Z,"italian trap","WM Italy",0.668,0.541,4,-10.733,0,0.315,0.149,0,0.153,0.399,158.953,3
spotify:track:0qPbx9TwgIpnBQfB6R6bpK,"Gentrify","Gentrify","Da Vosk Docta",2017-06-09,174231,0,false,elitealienzz,2020-04-16T13:47:13Z,"witch house","Repost Network",0.569,0.45,0,-9.45,1,0.0444,0.194,0.307,0.118,0.0778,135.05,4
