Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6AI3ezQ4o3HUoP6Dhudph3,"Not Like Us","Not Like Us","Kendrick Lamar",2024-05-04,274192,88,true,,2025-12-12T04:00:26Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
spotify:track:0OA00aPt3BV10qeMIs3meW,"Big Dawgs","Big Dawgs","Hanumankind;Kalmi",2024-07-09,190666,77,true,,2025-12-12T04:00:26Z,"malayalam hip hop,desi hip hop","Universal Music India Pvt Ltd.",0.464,0.745,4,-3.202,0,0.161,0.0235,0,0.363,0.262,180.098,4
spotify:track:6Yfg3TrnzThhrZ0i6UDBSv,"Fuel","The Death of Slim Shady (Coup De Grâce): Expanded Mourner’s Edition","Eminem;JID",2024-09-13,213646,53,true,,2025-12-12T04:00:26Z,"rap,hip hop","Shady/Aftermath/Interscope Records",0.886,0.661,1,-5.097,1,0.125,0.106,0,0.109,0.138,137.993,4
spotify:track:52eIcoLUM25zbQupAZYoFh,"redrum","american dream","21 Savage",2024-01-12,270697,79,true,,2025-12-12T04:00:26Z,"","Slaughter Gang, LLC/Epic Records",0.625,0.733,2,-8.757,1,0.0488,0.00598,0.000983,0.375,0.244,172.09,4
spotify:track:1NpHJ96ljWvqdbjlyc9GtT,"FWU","FWU","Don Toliver;Mustard",2025-06-27,171000,75,true,,2025-12-12T04:00:26Z,"","CactusJack/Donnway/ATL",0.689,0.608,8,-3.925,1,0.0436,0.0507,0.0000117,0.0745,0.485,76.007,4
spotify:track:0aB0v4027ukVziUGwVGYpG,"tv off (feat. lefty gunplay)","GNX","Kendrick Lamar;Lefty Gunplay",2024-11-22,220690,86,true,,2025-12-12T04:00:26Z,"hip hop,west coast hip hop,mexican hip hop","pgLang, under exclusive license to Interscope Records",0.855,0.529,6,-6.679,0,0.263,0.0837,0,0.423,0.548,100.036,4
spotify:track:1PwqZdqHTQGf7MY0XbaBwg,"ErrTime (feat. Jeezy & Latto)","AM I THE DRAMA? (The Snow Mix)","Cardi B;Jeezy;Latto",2025-11-12,196306,57,true,,2025-12-12T04:00:26Z,"southern hip hop,crunk,rap,gangster rap","Atlantic Records",0.726,0.67,1,-5.744,1,0.125,0.0331,0,0.33,0.462,154.142,4
spotify:track:4lUAlhQOVzhitQKjxrHVny,"SHYNE","JACKBOYS 2","Travis Scott;GloRilla",2025-07-13,193183,66,true,,2025-12-12T04:00:26Z,"rap","Cactus Jack / Epic",0.717,0.77,0,-5.45,1,0.174,0.0456,0,0.427,0.474,148.039,4
spotify:track:4v2r3H6YEQIlxS4Z1njwoe,"Trunks (From ""Highest 2 Lowest"")","Trunks (From ""Highest 2 Lowest"")","A$AP Rocky",2025-08-15,223566,71,true,,2025-12-12T04:00:26Z,"rap","A$AP Worldwide/RCA Records",0.824,0.713,2,-3.753,1,0.0489,0.0197,0.0000171,0.374,0.345,144.019,4
spotify:track:0TlLq3lA83rQOYtrqBqSct,"Nonstop","Scorpion","Drake",2018-06-29,238614,77,true,,2025-12-12T04:00:26Z,"rap","Cash Money/Drake LP6",0.912,0.412,7,-8.074,1,0.123,0.0165,0.0126,0.104,0.423,154.983,4
