Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6ZNd7RN3GohngyFPt7p6LO,"20","20","Capo Plaza",2018-04-20,241800,52,false,manuelmarrali,2018-07-05T00:03:37Z,"italian trap,trap","WMI Italy",0.485,0.671,7,-5.485,1,0.195,0.0595,0,0.198,0.25,149.944,4
spotify:track:06VV1e6OgFMG2XSxsnRxxM,"Giù da me","20","Capo Plaza",2018-04-20,180653,48,false,manuelmarrali,2018-07-05T00:03:41Z,"italian trap,trap","WMI Italy",0.811,0.728,10,-4.584,0,0.303,0.316,0,0.0947,0.205,132.952,4
spotify:track:093RgZ7RXHZwIrxZhZYX4Q,"Tesla (feat. Sfera Ebbasta & DrefGold)","20","Capo Plaza;Sfera Ebbasta;DrefGold",2018-04-20,185146,63,false,manuelmarrali,2018-07-05T00:03:46Z,"italian trap,trap,concerto","WMI Italy",0.854,0.626,11,-5.14,1,0.0618,0.316,0,0.0961,0.377,140.05,4
spotify:track:1fGX7fk3pvHv00u2kU4dly,"Come me","20","Capo Plaza",2018-04-20,197253,48,false,manuelmarrali,2018-07-05T00:03:54Z,"italian trap,trap","WMI Italy",0.827,0.639,6,-4.893,0,0.391,0.064,0.00000325,0.107,0.345,79.485,4
spotify:track:6GTCOWvhjvdk4pwlfrSjNO,"Ne è valsa la pena (feat. Ghali)","20","Capo Plaza;Ghali",2018-04-20,234600,62,false,manuelmarrali,2018-07-05T00:04:00Z,"italian trap,trap","WMI Italy",0.593,0.654,5,-4.509,0,0.218,0.115,0,0.231,0.405,120.388,5
spotify:track:60muwbD6E61lEYQSnEYlLc,"Giovane fuoriclasse","20","Capo Plaza",2018-04-20,221973,63,false,manuelmarrali,2018-07-05T00:04:14Z,"italian trap,trap","WMI Italy",0.715,0.703,1,-5.01,1,0.15,0.507,0,0.0855,0.0972,133.116,4
spotify:track:1PB00xFcBdahfUcJIkB8wG,"Non cambierò mai","20","Capo Plaza",2018-04-20,208920,52,true,manuelmarrali,2018-12-01T19:17:17Z,"italian trap,trap","WMI Italy",0.448,0.797,11,-4.279,0,0.387,0.134,0,0.0966,0.0746,72.342,4
spotify:track:2z3sYBYhLhsGTOKZe5vkcM,"Allenamento #2","Allenamento #2","Capo Plaza;AVA",2017-03-16,151421,0,true,manuelmarrali,2018-12-01T19:17:28Z,"italian trap,trap","AR.MS. Empire",0.866,0.514,1,-9.317,0,0.503,0.333,0,0.103,0.0534,80.009,4
spotify:track:5AzbJFy0A1AeYKaOnjW27N,"Allenamento #3","Allenamento #3","Capo Plaza;AVA;Mojobeatz",2017-06-13,166404,0,true,manuelmarrali,2019-01-30T22:54:51Z,"italian trap,trap","AR.MS. Empire",0.686,0.574,1,-8.304,1,0.375,0.153,0,0.289,0.232,150.075,4
spotify:track:7zivIUyCw9MmYftdcayXnN,"Uno squillo","20","Capo Plaza",2018-04-20,208813,63,false,manuelmarrali,2019-02-13T23:58:22Z,"italian trap,trap","WMI Italy",0.801,0.724,1,-5.038,0,0.397,0.0586,0,0.0736,0.679,98.97,4
