Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2H3wWrnO758y0fPH7Ilerg,"Depression & Obsession","17","XXXTENTACION",2017-08-25,144733,67,true,,1970-01-01T00:00:00Z,"emo rap","Bad Vibes Forever / EMPIRE",0.769,0.156,11,-10.7,0,0.035,0.585,0.015,0.102,0.527,105.95,4
spotify:track:5eSC7faDYHxnklPjcxZjD6,"BRAVI A CADERE - I polmoni","Persona","Marracash",2019-10-31,200214,67,true,,1970-01-01T00:00:00Z,"concerto,italian trap","Universal Music Italia srL.",0.608,0.693,5,-5.677,0,0.103,0.163,0,0.104,0.261,95.006,4
spotify:track:2KX4nDFDp9cUymIvxpRRYg,"Ieri","Lettera Q","nayt",2024-11-22,147326,45,false,,1970-01-01T00:00:00Z,"italian trap,concerto","Columbia",0.846,0.452,5,-8.832,0,0.235,0.332,0.000137,0.149,0.387,99.949,4
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,92,false,,1970-01-01T00:00:00Z,"","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
spotify:track:3dYD57lRAUcMHufyqn9GcI,"Take Me To Church","Hozier","Hozier",2014-09-19,241688,84,false,,1970-01-01T00:00:00Z,"","Universal-Island Records Ltd.",0.575,0.664,4,-5.303,0,0.0481,0.637,0,0.116,0.437,129.071,4
spotify:track:7so0lgd0zP2Sbgs2d7a1SZ,"Die With A Smile","MAYHEM","Lady Gaga;Bruno Mars",2025-03-07,251667,87,false,,1970-01-01T00:00:00Z,"art pop,pop","Interscope Records",0.519,0.601,6,-7.727,0,0.0317,0.289,0,0.126,0.498,157.964,3
spotify:track:0y1QJc3SJVPKJ1OvFmFqe6,"Way down We Go","A/B","KALEO",2016-06-10,213706,83,false,,1970-01-01T00:00:00Z,"","Elektra (NEK)",0.489,0.505,10,-8.022,0,0.117,0.579,0.000333,0.104,0.337,163.255,4
spotify:track:3oUEzTAoOxqZHN4xiqTGqJ,"Bécane - A COLORS SHOW","Bécane - A COLORS SHOW","Yamê;COLORS",2023-06-01,182440,66,true,,1970-01-01T00:00:00Z,"french rap","COLORSxSTUDIOS",0.505,0.527,10,-7.765,1,0.0958,0.327,0,0.0974,0.235,120.462,4
spotify:track:7MXVkk9YMctZqd1Srtv4MB,"Starboy","Starboy","The Weeknd;Daft Punk",2016-11-25,230453,91,true,,1970-01-01T00:00:00Z,"french house,electronic,electro","Universal Republic Records",0.679,0.587,7,-7.015,1,0.276,0.141,0.00000635,0.137,0.486,186.003,4
spotify:track:0fYVliAYKHuPmECRs1pbRf,"Renegades","VHS","X Ambassadors",2015-06-30,195200,76,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,4
spotify:track:3a9TMd2Yrza6HXqqlfMtfy,"Est-ce que tu m'aimes ? - Pilule bleue","Mon coeur avait raison","GIMS",2015-08-28,237093,79,false,,1970-01-01T00:00:00Z,"french rap,french r&b,french pop,pop urbaine","Jive Epic",0.779,0.852,2,-3.353,1,0.0651,0.235,0,0.212,0.601,119.892,4
