Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5j223AtuX1Fi8imuaUJVEr,"È venerdì","Il mio Daily","Spotify",2021-09-28,5485,0,false,,1970-01-01T00:00:00Z,"","Spotify",,,,,,,,,,,,
spotify:episode:5AvvwPOGpjiGP3iRSknFEz,"Cosa attendersi dal 2026? Un po' di previsioni su politica, esteri, economia ed IA","The Essential","",,687101,0,false,,1970-01-01T00:00:00Z,"","undefined",,,,,,,,,,,,
spotify:track:5T7ywazdGIydr6JCW6t02j,"Smooth Criminal - 2012 Remaster","Bad (Remastered)","Michael Jackson",1987-08-31,257766,79,false,,1970-01-01T00:00:00Z,"","Epic/Legacy",0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,4
spotify:track:7J1uxwnxfQLu4APicE5Rnj,"Billie Jean","Thriller","Michael Jackson",1982-11-30,293802,87,false,,1970-01-01T00:00:00Z,"","Epic",0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,4
spotify:track:0C4ejWmOTMv8vuYj85mf8m,"S&M","Loud","Rihanna",2010-11-16,243533,74,true,,1970-01-01T00:00:00Z,"","Def Jam Recordings",0.767,0.682,1,-5.02,1,0.042,0.0113,0.00016,0.104,0.833,127.975,4
spotify:track:4QNpBfC0zvjKqPJcyqBy9W,"Give Me Everything (feat. Nayer)","Planet Pit (Deluxe Version)","Pitbull;AFROJACK;Ne-Yo;Nayer",2011-06-17,252306,87,false,,1970-01-01T00:00:00Z,"edm,big room","Mr.305/Polo Grounds Music/J Records",0.671,0.939,8,-3.206,1,0.161,0.191,0,0.298,0.53,129.024,4
spotify:episode:7bwv8DPzHTwdJMGv49BAhr,"Perché paghiamo l'autostrada?🚗","BRANDY | Storie di Brand Daily Show","",,546194,0,false,,1970-01-01T00:00:00Z,"","undefined",,,,,,,,,,,,
spotify:track:48RrDBpOSSl1aLVCalGl5C,"The Monster","The Marshall Mathers LP2","Eminem;Rihanna",2013-11-05,250188,83,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.781,0.853,1,-3.68,0,0.0714,0.0526,0,0.12,0.626,110.046,4
spotify:track:6M4nkEPZMj58acftDRTuKL,"Tous les mêmes","racine carrée","Stromae",2013-01-01,210933,72,false,,1970-01-01T00:00:00Z,"french pop","Universal Music Distributed Labels",0.701,0.638,5,-9.061,0,0.165,0.223,0.00219,0.279,0.646,109.96,4
spotify:track:2lnzGkdtDj5mtlcOW2yRtG,"Whenever, Wherever","Laundry Service","Shakira",2001-11-13,196160,78,false,,1970-01-01T00:00:00Z,"latin pop","Epic",0.794,0.832,1,-4.862,0,0.0407,0.237,0.0000114,0.203,0.871,107.657,4
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,92,false,,1970-01-01T00:00:00Z,"","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
spotify:episode:31VaEdStKBikEPPfcAWVo1,"Ep. 825 | (Re)cappone arrosto - Speciale fine 2025","TG Luna","",,996800,0,false,,1970-01-01T00:00:00Z,"","undefined",,,,,,,,,,,,
spotify:track:28P5HAF0Kll9Xd9dX4qw7A,"Eye of the Tiger","Eye Of The Tiger","Survivor",1982,243773,65,false,,1970-01-01T00:00:00Z,"","Volcano",0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,4
spotify:track:15JINEqzVMv3SvJTAXAKED,"Love The Way You Lie","Recovery","Eminem;Rihanna",2010-06-18,263373,87,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.749,0.925,10,-5.034,1,0.227,0.241,0,0.52,0.641,86.989,4
spotify:track:7MhNCT34oaLIxwAsZlZd67,"Without Me","Manic","Halsey;Juice WRLD",2020-01-17,228951,70,true,,1970-01-01T00:00:00Z,"melodic rap,emo rap","Capitol Records",0.744,0.514,6,-6.103,1,0.0746,0.355,0,0.183,0.449,136.013,4
spotify:track:561jH07mF1jHuk7KlaeF0s,"Mockingbird","Encore (Deluxe Version)","Eminem",2004-11-12,250760,87,true,,1970-01-01T00:00:00Z,"rap,hip hop","Eminem Catalog PS",0.637,0.678,0,-3.798,1,0.266,0.209,0,0.156,0.254,84.039,4
spotify:episode:209yZKhk8cxhcrz6IbORPg,"The Street | Wall Street, Fed, Argento, Treasury, Meta","Linea mercati","",,147617,0,false,,1970-01-01T00:00:00Z,"","undefined",,,,,,,,,,,,
spotify:track:48QmG1dfvMuYLxMPt7KSRA,"No Lie","Mad Love The Prequel","Sean Paul;Dua Lipa",2018-06-29,221176,86,false,,1970-01-01T00:00:00Z,"dancehall,pop","Universal-Island Records Ltd.",0.742,0.882,7,-2.862,1,0.117,0.0466,0,0.206,0.463,102.04,4
