Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Xm2e1vDwOMeJJioWuG1s7,"Soldi in Nero - feat. Sfera Ebbasta","Soldi in Nero (feat. Sfera Ebbasta)","Shiva;Sfera Ebbasta",2019-11-28,183797,64,false,,1970-01-01T00:00:00Z,"italian trap,concerto,trap","Jive",0.748,0.662,6,-4.832,0,0.285,0.149,0,0.17,0.346,157.918,4
spotify:track:60muwbD6E61lEYQSnEYlLc,"Giovane fuoriclasse","20","Capo Plaza",2018-04-20,221973,63,false,,1970-01-01T00:00:00Z,"italian trap,trap","WMI Italy",0.715,0.703,1,-5.01,1,0.15,0.507,0,0.0855,0.0972,133.116,4
spotify:track:5rTMn6Cz9MsIqMDVnK9xtu,"Rozzi","Rozzi","Paky",2019-09-11,163053,51,true,,1970-01-01T00:00:00Z,"italian trap","Warner Music",0.874,0.486,9,-9.829,1,0.315,0.104,0.00000211,0.104,0.709,131.088,4
spotify:track:1bJn4Hfj4xa58Jse9bQrN1,"Ninna Nanna","Album","Ghali",2017-05-26,237493,56,true,,1970-01-01T00:00:00Z,"italian trap","Atlantic/WM Italy",0.751,0.731,1,-5.05,0,0.0427,0.141,0,0.333,0.421,140.019,4
spotify:track:7HwvPmK74MBRDhCIyMXReP,"blun7 a swishland","23 6451","thasup",2019-11-15,167760,55,true,,1970-01-01T00:00:00Z,"italian trap","Epic",0.692,0.792,7,-5.984,1,0.245,0.13,0,0.255,0.566,129.883,4
spotify:track:0xEgDBXYO9gGzmxCFWKxNg,"CRUDELIA - I nervi","Persona","Marracash",2019-10-31,230922,68,true,,1970-01-01T00:00:00Z,"concerto,italian trap","Universal Music Italia srL.",0.569,0.552,7,-7.565,1,0.1,0.149,0,0.344,0.0735,82.306,3
spotify:track:2yuYI5NFhevxa05se7Qht9,"ANSIA NO","FSK TRAPSHIT REVENGE","FSK SATELLITE",2019-12-05,148500,56,true,,1970-01-01T00:00:00Z,"italian trap","Universal Music Italia srL.",0.823,0.678,1,-6.664,1,0.56,0.153,0,0.218,0.706,160.133,4
spotify:track:0pMwYi530x7tcTl8CKnwMX,"Trankilo (feat. Nitro)","Chic Nisello","Vegas Jones;Nitro",2017-01-25,240001,52,false,,1970-01-01T00:00:00Z,"italian trap","Universal Music Italia srL.",0.806,0.799,10,-4.696,0,0.182,0.0107,0,0.0935,0.383,124.005,4
spotify:track:093RgZ7RXHZwIrxZhZYX4Q,"Tesla (feat. Sfera Ebbasta & DrefGold)","20","Capo Plaza;Sfera Ebbasta;DrefGold",2018-04-20,185146,63,false,,1970-01-01T00:00:00Z,"italian trap,trap,concerto","WMI Italy",0.854,0.626,11,-5.14,1,0.0618,0.316,0,0.0961,0.377,140.05,4
spotify:track:2Ri0436JKFUsd3B3xa2jCe,"Morto Mai","Re Mida","Lazza",2019-03-01,145640,62,true,,1970-01-01T00:00:00Z,"italian trap,concerto","Universal Music Italia srL.",0.645,0.813,7,-5.448,0,0.107,0.121,0,0.127,0.551,82.676,4
spotify:track:0NwuXciw6eQc4edjwSBnV3,"Non Abbiamo Età","Potere","Luchè",2018-06-29,181661,68,false,,1970-01-01T00:00:00Z,"italian trap,concerto,canzone napoletana","Universal Music Italia srL.",0.372,0.689,6,-4.711,1,0.243,0.0522,0,0.154,0.191,193.259,4
spotify:track:0l8vhDaEztxLCQsFOAX64d,"Pablo","Pablo","Rvssian;Sfera Ebbasta",2018-07-20,165941,54,false,,1970-01-01T00:00:00Z,"trap latino,italian trap,concerto,trap","Universal Music Italia srL.",0.813,0.663,6,-7.84,0,0.0433,0.071,0,0.115,0.343,140.016,4
spotify:track:2fkVZYFv9hOejIsLzZy8ad,"IL CIELO NELLA STANZA (feat. NSTASIA)","Playlist","Salmo;NSTASIA",2018-11-09,186213,66,true,,1970-01-01T00:00:00Z,"italian trap,concerto","Epic",0.755,0.501,1,-9.551,1,0.189,0.0867,0.00000145,0.146,0.267,134.998,4
spotify:track:4ySxBjhmdnkeFUqhKxW3cY,"Visiera A Becco","Sfera Ebbasta","Sfera Ebbasta",2016-09-09,187573,67,false,,1970-01-01T00:00:00Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.691,0.778,2,-5.205,0,0.0722,0.0871,0,0.0977,0.159,143.964,4
