Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4xkOaSrkexMciUUogZKVTS,"Till I Collapse","The Eminem Show","Eminem;Nate Dogg",2002-05-26,297786,84,true,manuelmarrali,2020-11-21T17:03:05Z,"rap,hip hop,g-funk,west coast hip hop,old school hip hop","Eminem Catalog PS",0.548,0.847,1,-3.237,1,0.186,0.0622,0,0.0816,0.1,171.447,4
spotify:track:7FIWs0pqAYbP91WWM0vlTQ,"Godzilla (feat. Juice WRLD)","Music To Be Murdered By","Eminem;Juice WRLD",2020-01-17,210800,81,true,manuelmarrali,2020-11-21T17:23:47Z,"rap,hip hop,melodic rap,emo rap","Shady/Aftermath/Interscope Records",0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,4
spotify:track:38iBrrbbXyWaSPkmuDNgjZ,"The Adventures of Moon Man & Slim Shady (with Eminem)","The Adventures of Moon Man & Slim Shady (with Eminem)","Kid Cudi;Eminem",2020-07-10,264833,54,true,manuelmarrali,2020-11-21T18:05:18Z,"rap,hip hop","Republic Records",0.88,0.787,8,-5.189,1,0.118,0.226,0,0.12,0.588,113.018,4
spotify:track:0GQ5bFTVFFKpwNPc7KwQnB,"You Gon’ Learn (feat. Royce Da 5'9"" & White Gold)","Music To Be Murdered By","Eminem;Royce Da 5'9"";White Gold",2020-01-17,234653,58,true,manuelmarrali,2020-11-21T18:05:33Z,"rap,hip hop","Shady/Aftermath/Interscope Records",0.68,0.82,4,-4.197,0,0.151,0.0614,0,0.597,0.243,140.033,4
spotify:track:5SiZJoLXp3WOl3J4C8IK0d,"Darkness","Music To Be Murdered By","Eminem",2020-01-17,337146,57,true,manuelmarrali,2020-11-21T18:10:29Z,"rap,hip hop","Shady/Aftermath/Interscope Records",0.671,0.623,2,-7.161,1,0.308,0.00998,0.00000755,0.643,0.195,75.055,4
spotify:track:2d3fdQ6OxmUIsF20eCpcrv,"Stepdad - Intro","Music To Be Murdered By","Eminem",2020-01-17,15160,2,true,manuelmarrali,2020-11-21T18:19:44Z,"rap,hip hop","Shady/Aftermath/Interscope Records",0.589,0.459,3,-7.748,1,0.263,0.178,0,0.425,0.619,113.542,1
spotify:track:3QVHSV8YKYq4L8tI5rnFgj,"Stepdad","Music To Be Murdered By","Eminem",2020-01-17,213413,50,true,manuelmarrali,2020-11-21T18:19:50Z,"rap,hip hop","Shady/Aftermath/Interscope Records",0.779,0.805,1,-3.121,1,0.178,0.018,0,0.321,0.557,145.68,4
spotify:track:34d7sGX6WUqq8f04e7CSNF,"Marsh","Music To Be Murdered By","Eminem",2020-01-17,200573,51,true,manuelmarrali,2020-11-21T18:24:44Z,"rap,hip hop","Shady/Aftermath/Interscope Records",0.871,0.493,1,-6.356,1,0.205,0.0134,0.000241,0.385,0.0495,144.989,4
spotify:track:2XTquzYQAdT1Hk78bOUwsv,"Greatest","Kamikaze","Eminem",2018-08-31,226937,57,true,manuelmarrali,2020-11-21T22:48:45Z,"rap,hip hop","Eminem Catalog PS",0.809,0.737,1,-5.186,1,0.108,0.0441,0,0.341,0.367,80.025,4
spotify:track:2jt2WxXMCD4zjACthkJQVE,"The Ringer","Kamikaze","Eminem",2018-08-31,337941,62,true,manuelmarrali,2020-11-21T22:48:55Z,"rap,hip hop","Eminem Catalog PS",0.939,0.551,1,-9.126,1,0.291,0.0311,0,0.192,0.42,118.552,4
