Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2jrWlfYz7fYYXS8aO9DIqn,"Fuori","Davide","Gemitaiz",2018-04-20,238000,41,false,manuelmarrali,2018-07-12T00:32:00Z,"italian trap","Universal Music Italia srL.",0.564,0.726,4,-8.187,0,0.247,0.124,0,0.119,0.21,110.056,4
spotify:track:5y44ftxtMNXIx9ugj3spXS,"Oro E Argento","Davide","Gemitaiz",2018-04-20,231788,42,false,manuelmarrali,2018-07-12T00:32:08Z,"italian trap","Universal Music Italia srL.",0.852,0.662,0,-7.079,1,0.0369,0.0488,0,0.0781,0.779,117.005,4
spotify:track:3408xD8Eoa5mvpzx6M8r7N,"Tanta Roba Anthem (feat. Guè)","Davide","Gemitaiz;Guè",2018-04-20,202564,37,false,manuelmarrali,2018-07-12T00:32:14Z,"italian trap,concerto","Universal Music Italia srL.",0.726,0.611,8,-8.693,1,0.17,0.0322,0.0000429,0.128,0.257,146.04,4
spotify:track:1Lq5ApqhIWUXzlryFX2K6J,"Davide (feat. Coez)","Davide","Gemitaiz;Coez",2018-04-20,206211,59,false,manuelmarrali,2018-07-12T00:32:20Z,"italian trap,concerto,indie","Universal Music Italia srL.",0.797,0.63,5,-7.601,1,0.0763,0.136,0.00000486,0.207,0.761,126.006,4
spotify:track:0H2UUCEMoYcih0D7uxXNRg,"Holy Grail (feat. Madman)","Davide","Gemitaiz;MadMan",2018-04-20,181883,39,false,manuelmarrali,2018-07-12T00:32:28Z,"italian trap","Universal Music Italia srL.",0.794,0.801,1,-6.21,1,0.221,0.0267,0,0.113,0.222,148.973,4
spotify:track:44cZqzCGuVsLFrwuwXN4PX,"Alaska (feat. Priestess)","Davide","Gemitaiz;Priestess",2018-04-20,218575,39,false,manuelmarrali,2018-07-12T00:32:34Z,"italian trap","Universal Music Italia srL.",0.844,0.729,2,-5.464,1,0.064,0.0742,0,0.126,0.443,145.982,4
spotify:track:5ZBSyZYBG6QEhSRSC1nt4b,"Pezzo Trap (feat. Fabri Fibra)","Davide","Gemitaiz;Fabri Fibra",2018-04-20,260000,37,false,manuelmarrali,2018-07-12T00:32:38Z,"italian trap,concerto","Universal Music Italia srL.",0.81,0.642,5,-7.583,0,0.0441,0.0782,0,0.105,0.55,120.025,4
spotify:track:1MGXWglFoINJdrcp2W0U0w,"Keanu Reeves (feat. Achille Lauro)","Davide","Gemitaiz;Achille Lauro",2018-04-20,209791,53,false,manuelmarrali,2018-07-17T14:41:31Z,"italian trap","Universal Music Italia srL.",0.811,0.59,4,-7.794,1,0.0437,0.0267,0.00000993,0.111,0.166,102.709,4
spotify:track:1o3hgrxrtzKjsF36oLtook,"Paradise Lost","Davide","Gemitaiz",2018-04-20,164118,45,false,manuelmarrali,2018-07-17T14:41:36Z,"italian trap","Universal Music Italia srL.",0.757,0.545,1,-6.918,0,0.0968,0.129,0.0000216,0.291,0.556,156.08,4
spotify:track:4tKamWiNiP9ajJWUR0KNND,"La Ballata Del Dubbio - Pt.3","QVC Collection","Gemitaiz",2018-03-30,223868,43,false,manuelmarrali,2018-09-20T22:10:34Z,"italian trap","Universal Music Italia srL.",0.749,0.624,7,-5.888,1,0.0566,0.142,0,0.141,0.305,98.232,3
