Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3mUTbkV7xoVpoc4BWrGtlG,"Ninna Nanna","Album","Ghali",2017-05-26,237493,0,true,manuelmarrali,2018-07-05T00:01:35Z,"italian trap","Sto Records",0.75,0.731,1,-5.05,0,0.0427,0.141,0,0.333,0.421,140.027,4
spotify:track:6QwcgyYWHB83EkUvz3XhDX,"Ricchi Dentro","Album","Ghali",2017-05-26,171026,0,true,manuelmarrali,2018-07-05T00:01:40Z,"italian trap","Sto Records",0.878,0.642,4,-5.722,0,0.0552,0.457,0,0.106,0.705,141.963,4
spotify:track:1lwpe8mLgHhytakM7m6R3W,"Habibi","Album","Ghali",2017-05-26,184413,0,true,manuelmarrali,2018-07-05T00:01:44Z,"italian trap","Sto Records",0.649,0.711,11,-6.924,0,0.103,0.145,0.0000033,0.0972,0.523,111.745,4
spotify:track:7amku1LgKC4YOqVdn1UEzV,"Lacrime","Album","Ghali",2017-05-26,227373,0,true,manuelmarrali,2018-07-05T00:01:59Z,"italian trap","Sto Records",0.752,0.681,8,-5.703,0,0.243,0.566,0.00000123,0.126,0.609,131.949,4
spotify:track:3FLp4tu69GLt0KPizUhFsU,"Happy Days","Album","Ghali",2017-05-26,198120,0,true,manuelmarrali,2018-07-05T00:02:04Z,"italian trap","Sto Records",0.77,0.815,10,-5.496,0,0.0566,0.0896,0.00488,0.0822,0.721,118.032,4
spotify:track:0Gtenx4y77nBKTEH31KiCv,"Wily Wily","Lunga Vita a Sto","Ghali",2017-11-24,236481,0,true,manuelmarrali,2018-07-05T00:02:20Z,"italian trap","Sto Records",0.731,0.66,2,-7.1,1,0.0474,0.0805,0.00000208,0.152,0.39,134.044,4
spotify:track:0GaWvzS26hjyY3HGwjJ9YW,"Dende","Lunga Vita a Sto","Ghali",2017-11-24,209571,0,true,manuelmarrali,2018-07-05T00:02:27Z,"italian trap","Sto Records",0.813,0.773,6,-4.542,1,0.045,0.203,0.00000625,0.116,0.74,140.019,4
spotify:track:1qBIn1ml2JFHFYUQkVQ8hs,"Marijuana","Lunga Vita a Sto","Ghali",2017-11-24,222233,0,true,manuelmarrali,2018-07-05T00:04:28Z,"italian trap","Sto Records",0.764,0.689,7,-6.166,1,0.0341,0.0823,0.000144,0.14,0.0762,107.965,4
spotify:track:3atDsUhlUgDlQQrI0XFh7I,"Cara Italia","Cara Italia","Ghali",2018-05-02,244324,57,true,manuelmarrali,2018-07-05T00:05:55Z,"italian trap","WMI Italy",0.78,0.709,6,-7.059,0,0.0836,0.538,0.000362,0.112,0.711,111.038,4
spotify:track:6oMxcHFSiTZPSYoRe9wFpF,"Pizza Kebab","Album","Ghali",2017-05-26,178040,0,true,manuelmarrali,2018-07-07T17:03:23Z,"italian trap","Sto Records",0.708,0.776,4,-5.292,0,0.0402,0.307,0.00000879,0.115,0.361,143.045,4
spotify:track:7fnH68DwQVjg6NDW55FTQ4,"Sempre Me","Lunga Vita a Sto","Ghali",2017-11-24,194522,0,true,manuelmarrali,2018-08-03T23:51:04Z,"italian trap","Sto Records",0.763,0.729,2,-5.254,1,0.198,0.385,0,0.0789,0.558,76.499,4
spotify:track:7GnoAoKulxKSSEu09Wgp8Y,"Boulevard","Album","Ghali",2017-05-26,207520,0,true,manuelmarrali,2018-08-17T00:45:05Z,"italian trap","Sto Records",0.812,0.72,1,-5.627,0,0.0627,0.184,0.00000855,0.0836,0.523,132.041,4
spotify:track:4JJtZMgxQgTlBBg7E9Qeac,"Bimbi","Bimbi","Charlie Charles;Izi;Rkomi;Sfera Ebbasta;Tedua;Ghali",2017-03-24,240245,58,false,manuelmarrali,2018-10-17T11:31:43Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.768,0.753,10,-4.482,0,0.185,0.0305,0,0.11,0.633,133.977,4
spotify:track:3r6uHDFhUuUJIGBHzBJPAq,"Voci","Lunga Vita a Sto","Ghali",2017-11-24,103448,0,true,manuelmarrali,2019-02-22T18:01:04Z,"italian trap","Sto Records",0.788,0.722,1,-5.705,1,0.0364,0.000954,0.000048,0.0601,0.17,116.036,3
spotify:track:21h2N6UKUYc5UzqSCbWJal,"Cazzo Mene","Lunga Vita a Sto","Ghali",2017-11-24,222009,0,true,manuelmarrali,2019-06-20T23:19:29Z,"italian trap","Sto Records",0.726,0.627,10,-6.232,0,0.219,0.351,0,0.112,0.465,173.977,4
