Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0VXRPy0D20PsuV35XIiJ1j,"Titans (From ""Alexander"" Soundtrack)","Alexander (Original Motion Picture Soundtrack)","Vangelis",2004,239133,43,false,yw2o32i7gdh7lqf60j6wu4bkd,2021-06-17T19:33:07Z,"new age","Sony Classical",0.448,0.457,4,-14.114,1,0.0407,0.674,0.724,0.522,0.311,119.998,4
spotify:track:1lL7OcPk6lINpeupzqTjSC,"Hala Madrid ...y nada más","Hala Madrid ...y nada más","Real Madrid;Red'One",2014-05-25,177000,1,false,yw2o32i7gdh7lqf60j6wu4bkd,2020-03-20T21:26:01Z,"","RedOne Records",0.196,0.582,0,-11.392,1,0.0474,0.496,0.0207,0.842,0.238,118.174,4
spotify:track:57mopCTIgh3Ch89FeZCrWY,"¡Hala Madrid! - Himno del Real Madrid - Real Madrid Anthem","¡Hala Madrid! [Himno del Real Madrid - Real Madrid Anthem]","José de Aguilar",2001,157200,0,false,yw2o32i7gdh7lqf60j6wu4bkd,2020-03-20T21:26:08Z,"","MARFER",0.637,0.354,3,-10.118,1,0.0665,0.991,0.00000246,0.131,0.962,117.856,4
spotify:track:0CPwnfPudqVMeynV6yArJv,"Y Nada Más (aka 'Hala Madrid... Y Nada Más')","Y Nada Más (aka 'Hala Madrid... Y Nada Más')","Real Madrid;Red'One;Plácido Domingo",2016-05-31,177000,0,false,yw2o32i7gdh7lqf60j6wu4bkd,2020-04-26T23:24:40Z,"opera,classical,classical crossover","RedOne Records",0.264,0.55,0,-8.678,1,0.059,0.498,0,0.809,0.265,119.075,4
spotify:track:3dPQuX8Gs42Y7b454ybpMR,"Seven Nation Army","Elephant","The White Stripes",2003-04-01,232106,84,false,yw2o32i7gdh7lqf60j6wu4bkd,2023-03-26T22:16:02Z,"garage rock,blues rock,rock,alternative rock","Legacy Recordings",0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4
spotify:track:7HJidWHPoAXJhaKeAmqfF5,"UEFA Champions League Legacy Anthem - Full Version","UEFA Champions League Legacy Anthem (Full Version)","UEFA;Tony Britten",2022-04-01,180320,48,false,yw2o32i7gdh7lqf60j6wu4bkd,2022-11-20T05:52:57Z,"","Sony Music/UEFA Music",0.5,0.11,7,-14.819,1,0.0323,0.734,0.0362,0.105,0.118,123.928,4
spotify:track:4RmSuRMlr17amYP0bKlxaf,"UEFA Champions League Legacy Anthem","UEFA Champions League Legacy Anthem","UEFA;Tony Britten",2022-04-01,41657,53,false,yw2o32i7gdh7lqf60j6wu4bkd,2022-11-20T05:53:04Z,"","Sony Music/UEFA Music",0.518,0.245,7,-9.798,1,0.0333,0.603,0.00000784,0.54,0.743,123.758,3
spotify:track:1RXEpQy8zR06DEIuJK09MJ,"La Capital Pertenece al Real","Cánticos del Real Madrid","Real Madrid Ultras",2020-02-27,59540,22,false,yw2o32i7gdh7lqf60j6wu4bkd,2022-03-28T05:56:49Z,"","Real Madrid Ultras",0.41,0.533,4,-15.115,1,0.0415,0.902,0.979,0.547,0.557,87.604,4
spotify:track:2Ba07Kdoq4wyXfEiBKBqLK,"Lo, Lo, Lo... Madrid","Cánticos del Real Madrid","Real Madrid Ultras",2020-02-27,57471,19,false,yw2o32i7gdh7lqf60j6wu4bkd,2022-03-28T05:56:58Z,"","Real Madrid Ultras",0.653,0.362,1,-11.711,0,0.148,0.996,0.888,0.355,0.634,83.376,4
spotify:track:5A5inP1HUTOKDyEbH9CQII,"Adelante, Vamos Real Madrid","Cánticos del Real Madrid","Real Madrid Ultras",2020-02-27,62062,24,false,yw2o32i7gdh7lqf60j6wu4bkd,2022-03-28T05:57:05Z,"","Real Madrid Ultras",0.417,0.545,9,-15.077,0,0.0315,0.831,0.00381,0.906,0.745,87.307,3
