Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1Lq5ApqhIWUXzlryFX2K6J,"Davide (feat. Coez)","Davide","Gemitaiz;Coez",2018-04-20,206211,59,false,manuelmarrali,2018-07-04T23:50:54Z,"italian trap,concerto,indie","Universal Music Italia srL.",0.797,0.63,5,-7.601,1,0.0763,0.136,0.00000486,0.207,0.761,126.006,4
spotify:track:0H2UUCEMoYcih0D7uxXNRg,"Holy Grail (feat. Madman)","Davide","Gemitaiz;MadMan",2018-04-20,181883,39,false,manuelmarrali,2018-07-04T23:51:09Z,"italian trap","Universal Music Italia srL.",0.794,0.801,1,-6.21,1,0.221,0.0267,0,0.113,0.222,148.973,4
spotify:track:4BGmYEDOK1swwoxTtfmVZD,"Peace & Love","Peace & Love","Charlie Charles;Sfera Ebbasta;Ghali",2018-05-04,182745,56,true,manuelmarrali,2018-07-04T23:51:23Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.68,0.785,8,-5.313,1,0.0615,0.14,0,0.309,0.319,152.962,4
spotify:track:0eczHniJguffShMNltOqMo,"Gli occhi della tigre","Gli occhi della tigre","nayt;3D",2018-03-12,166222,0,true,manuelmarrali,2018-07-04T23:51:31Z,"italian trap,concerto","VNT1 Records",0.732,0.803,6,-8.725,0,0.29,0.657,0,0.605,0.537,135.063,4
spotify:track:1brwdYwjltrJo7WHpIvbYt,"Faded","Faded","Alan Walker",2015-12-04,212626,3,false,manuelmarrali,2018-07-04T23:51:42Z,"","Kreatell Music",0.589,0.651,6,-5.097,1,0.0306,0.0291,0.0000032,0.111,0.166,90.011,4
spotify:track:4YhITuwINLCfXYB2WCXbCZ,"","","",0000,0,0,false,manuelmarrali,2018-07-04T23:51:56Z,"","",0.597,0.544,1,-8.868,0,0.062,0.00192,0.0562,0.07,0.263,105.014,4
spotify:track:6g6A7qNhTfUgOSH7ROOxTD,"Talk Dirty (feat. 2 Chainz)","Talk Dirty","Jason Derulo;2 Chainz",2013-09-16,177685,67,true,manuelmarrali,2018-07-04T23:52:07Z,"southern hip hop,rap","Beluga Heights/Warner Records",0.76,0.652,6,-7.321,1,0.232,0.0348,0,0.307,0.759,100.315,4
spotify:track:1d3bjxbhte4iB6ToNVWpcH,"Fortnite","Fortnite","Bueno;Villy Flare",2018-05-11,240000,0,false,manuelmarrali,2018-07-04T23:52:37Z,"italian trap","857273 Records DK2",0.842,0.579,8,-9.664,1,0.463,0.634,0.0000248,0.766,0.769,140.001,4
spotify:track:6ukVfkwkTlQvfvD477n0qr,"scuol4","scuol4","thasup",2018-06-08,170294,35,true,manuelmarrali,2018-07-04T23:52:46Z,"italian trap","Columbia",0.756,0.622,9,-6.619,0,0.107,0.113,0,0.0196,0.831,102,3
spotify:track:3js3wKPw8VxBWtcXtwyUnA,"Rockstar","Rockstar","Sfera Ebbasta",2018-01-19,195946,60,true,manuelmarrali,2018-07-04T23:53:16Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.798,0.627,9,-6.234,1,0.111,0.263,0,0.211,0.762,149.989,4
spotify:track:3TRFq09DUgYj1mug6RRqJW,"Lot to Learn","TMRW","Luke Christopher",2015-09-11,248337,55,true,manuelmarrali,2018-07-04T23:53:52Z,"","ByStorm Entertainment/RCA Records",0.405,0.846,6,-3.57,1,0.195,0.0948,0,0.0666,0.602,82.232,4
spotify:track:08AN0HMXNr3DGGDCOWsTAw,"Malibu","Bellaria","Vegas Jones",2018-03-23,211518,58,false,manuelmarrali,2018-07-05T00:05:08Z,"italian trap","Universal Music Italia srL.",0.809,0.544,0,-7.319,0,0.227,0.0753,0,0.0836,0.284,125.876,4
spotify:track:66eqL56FRz3LJMCWINapai,"Boss","Boss","DrefGold;Daves",2018-03-16,210588,29,false,manuelmarrali,2018-07-05T00:05:17Z,"italian trap,trap","Universal Music Italia srL.",0.875,0.64,1,-4.048,1,0.0535,0.215,0,0.0678,0.409,102.038,4
spotify:track:39N9RPD9MRb5WmoLzNzPeA,"X","X","Nicky Jam;J Balvin",2018-03-02,173627,2,false,manuelmarrali,2018-07-05T00:07:04Z,"reggaeton,latin","Sony Music Latin",0.595,0.773,9,-4.736,0,0.0549,0.0364,0.00108,0.334,0.711,180.073,4
