Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0T5gVBFFjjnC8i8CTkUg4s,"Tu che vuoi","Tu che vuoi","LyKAN;Valerio Nazo",2017-09-18,173538,0,false,manuelmarrali,2020-03-25T02:51:04Z,"canzone napoletana,neomelodico","AR.MS. Empire",0.715,0.393,10,-14.581,0,0.243,0.647,0.0000029,0.109,0.355,130.088,4
spotify:track:5kqIPrATaCc2LqxVWzQGbk,"7 Years","Lukas Graham","Lukas Graham",2016-04-01,237300,84,false,manuelmarrali,2020-03-25T02:51:22Z,"dansk pop","Warner Records",0.765,0.473,10,-5.829,1,0.0514,0.287,0,0.391,0.34,119.992,4
spotify:track:7jUJ2RmT4PFHHq4goMWqm3,"Chic","Fenice","Izi",2016-05-13,212640,64,false,manuelmarrali,2020-03-25T02:51:42Z,"italian trap","Epic",0.471,0.628,2,-6.197,0,0.187,0.269,0,0.195,0.19,129.996,4
spotify:track:4hwwDxMDxwNbCyUJuI5sLa,"Trankilo","Chic Nisello","Vegas Jones;Nitro",2017-01-26,240000,0,true,manuelmarrali,2020-03-25T02:51:54Z,"italian trap","Dogozilla Empire",0.789,0.799,10,-4.696,0,0.182,0.0107,0,0.0935,0.385,124.182,4
spotify:track:7GX5flRQZVHRAGd6B4TmDO,"XO Tour Llif3","Luv Is Rage 2","Lil Uzi Vert",2017-08-25,182706,81,true,manuelmarrali,2020-03-25T02:52:16Z,"melodic rap","Generation Now/Atlantic",0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,4
spotify:track:4nvsA575k8HrEjdQ78Ymvi,"Certi Giorni (feat. Nitro)","68 (Till The End)","Ernia;Nitro",2019-04-05,194651,53,true,manuelmarrali,2020-03-25T02:52:35Z,"italian trap","Universal Music Italia srL.",0.739,0.539,7,-7.486,1,0.271,0.0308,0.000233,0.0961,0.358,85.965,4
spotify:track:2665YLaM0dLaIhkjpUHT7k,"SCACCIACANI - feat. Massimo Pericolo - prod. Crookers & Nic Sarno","SCACCIACANI (feat. Massimo Pericolo - prod. Crookers & Nic Sarno)","Ketama126;Massimo Pericolo",2019-05-24,219947,47,true,manuelmarrali,2020-03-25T02:52:41Z,"italian trap","Epic",0.651,0.649,0,-4.363,0,0.0366,0.237,0,0.128,0.455,133.971,4
spotify:track:3QO0WfeJKuEm9Z4r5lcQPi,"Chi Lo Sa","Chi Lo Sa","Chakra",2019-06-07,178217,0,false,manuelmarrali,2020-03-25T02:52:49Z,"italian trap","blessed worldwide",0.689,0.563,10,-6.395,1,0.0801,0.139,0,0.0991,0.18,101.091,4
spotify:track:0EMhBAtDSKQ4NBT6tgmcY7,"Piove","Piove","nayt",2017-10-03,203142,0,false,manuelmarrali,2020-03-25T02:53:05Z,"italian trap,concerto","VNT1 Records",0.703,0.461,1,-10.606,1,0.177,0.0754,0,0.383,0.24,140.056,4
spotify:track:2ENMk1l6s6SRhJNQ2KOnwz,"Stronzo","TILT!","G.bit",2019-06-14,192596,0,true,manuelmarrali,2020-03-25T02:53:21Z,"italian trap","WM Italy",0.704,0.625,11,-8.131,0,0.0501,0.0114,0,0.166,0.452,127.918,4
