Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:17Iv9rRRJdl0Qvp7xirKt7,"Giostra","Giostra","Siso;Prince.wav",2020-07-23,112669,0,true,listen_rap,2020-07-27T19:54:55Z,"italian trap,future bass","Siszuan",0.73,0.591,1,-12.279,1,0.37,0.0468,0.00000581,0.231,0.578,139.946,4
spotify:track:7MhzmWFJYSEsL8wK7hufaC,"PUSSY (feat. Lazza & Salmo)","DARK BOYS CLUB","Dark Polo Gang;Lazza;Salmo",2020-05-07,161325,0,true,listen_rap,2020-05-14T13:53:09Z,"italian trap,trap,concerto","Universal Music Italia srL.",0.852,0.751,9,-3.738,1,0.28,0.252,0.0000105,0.166,0.7,150.01,4
spotify:track:1jdSQIHOSFxVqDSsSDTM8m,"Machete Mob (feat. Lazza, Nitro, Hell Raton & Jack The Smoker) - prod. Low Kidd","Scusate","Dani Faiv;Lazza;Nitro;Hell Raton;Jack The Smoker",2020-04-30,227179,36,true,listen_rap,2020-05-14T14:03:48Z,"italian trap,concerto","Arista",0.692,0.746,5,-5.07,0,0.313,0.11,0,0.176,0.447,100.881,4
spotify:track:2BM0FMNnZCkCMNMqHmKlpJ,"Moonlight Popolare (feat. Massimo Pericolo)","Moonlight Popolare (feat. Massimo Pericolo)","Mahmood;Massimo Pericolo",2020-05-14,215708,39,false,listen_rap,2020-05-15T17:25:38Z,"italian trap","Universal Music Italia srL.",0.564,0.769,3,-5.422,1,0.034,0.00593,0.000197,0.212,0.285,91.973,4
spotify:track:7hGMh0mpoxgju622XPhgEc,"WANNABE VOL. 3","WANNABE VOL. 3","Highsnob;JUNIOR CALLY;Enzo Dong",2020-05-15,203902,26,true,listen_rap,2020-05-15T17:24:38Z,"italian trap,neomelodico,canzone napoletana","Epic",0.914,0.732,10,-5.432,0,0.243,0.093,0,0.0894,0.495,122.987,4
spotify:track:0R1il0ITLNcNInIBqwfXKw,"Cacao (feat. Pyrex)","DNA","Ghali;Pyrex",2020-05-08,113830,0,true,listen_rap,2020-05-14T13:53:01Z,"italian trap","WM Italy",0.915,0.51,1,-5.33,1,0.096,0.0226,0,0.304,0.327,124.028,3
spotify:track:1z7AtsT8QvKWP7834ef9sN,"DARK","DARK BOYS CLUB","Dark Polo Gang",2020-05-07,104256,0,true,listen_rap,2020-05-14T13:53:22Z,"italian trap,trap","Universal Music Italia srL.",0.73,0.652,7,-5.715,1,0.269,0.217,0,0.0474,0.562,82.906,4
spotify:track:0zhsjZ8jamvv4QShuWnl5F,"10 Sprite","10 Sprite","Taxi B",2020-04-29,166015,33,true,listen_rap,2020-05-14T13:53:51Z,"italian trap","Universal Music Italia srL.",0.533,0.792,11,-7.531,0,0.52,0.0183,0.0244,0.731,0.588,172.096,4
spotify:track:2X6qtRhSl4r2KPnwpct4AT,"Crema di buccia","Crema di buccia","chiello",2020-05-07,196624,32,false,listen_rap,2020-05-14T13:53:56Z,"","Universal Music Italia srL.",0.646,0.767,4,-7.738,0,0.0321,0.0789,0.000928,0.0754,0.634,128.033,4
spotify:track:1sTdhkO7yde0DZc5F9cUMs,"MITRA","MITRA","Sapobully",2020-04-23,135000,34,true,listen_rap,2020-04-26T13:39:23Z,"italian trap","Universal Music Italia srL.",0.781,0.839,4,-5.93,0,0.17,0.0573,0.00102,0.0974,0.421,96.045,4
spotify:track:6gQywvh3mjWFeraBffP3V8,"Poppin Poppin","Poppin Poppin","Ski & Wok;Nemo;DOD",2020-05-15,179808,20,true,listen_rap,2020-05-15T17:27:47Z,"italian trap","Sucream",0.795,0.693,2,-4.781,1,0.288,0.103,0.00000213,0.106,0.731,127.077,1
spotify:track:5HN0pZdklgXSD363mhsoGw,"#FREETRAFFIK (feat. Traffik & Oni One)","DARK BOYS CLUB","Dark Polo Gang;Traffik;Oni One",2020-05-07,164863,0,true,listen_rap,2020-05-14T13:53:17Z,"italian trap,trap","Universal Music Italia srL.",0.764,0.697,6,-5.686,0,0.266,0.256,0,0.119,0.529,125.884,4
spotify:track:6I2jeNuTpup4z7Irb9f1tP,"NOMADE","NOMADE","Inoki;Chryverde",2020-05-15,196647,8,false,listen_rap,2020-05-15T17:25:54Z,"italian trap","Asian Fake",0.859,0.564,1,-7.726,1,0.213,0.0576,0.000159,0.136,0.537,132.075,4
spotify:track:7irVEmqGdd1eqs7uqLCYKW,"Polvere e detriti (feat. Jake La Furia) - prod. Kanesh","Scusate","Dani Faiv;Jake La Furia",2020-04-30,237200,26,true,listen_rap,2020-05-14T14:03:56Z,"italian trap","Arista",0.478,0.828,1,-5.599,1,0.568,0.376,0,0.122,0.471,85.33,4
spotify:track:43IrUmpv1pHKcO17Q1oVnm,"2:22","2:22","Spampy",2020-05-12,130193,0,true,listen_rap,2020-05-14T14:14:52Z,"","1869840 Records DK2",0.631,0.532,11,-7.56,0,0.209,0.221,0,0.078,0.229,135.945,4
spotify:track:3XUYROEa5ie5RAQN5tiYIs,"Ne Hai Fatti 100 (feat. Tedua)","Nati Diversi","Gianni Bismark;Chris Nolan;Tedua",2020-03-26,144075,36,false,listen_rap,2020-04-03T13:10:52Z,"italian trap,concerto","Universal Music Italia srL.",0.746,0.53,8,-8.638,0,0.169,0.493,0.00000475,0.117,0.13,150.121,4
spotify:track:20jG7WodtS52iOnWyGE1l4,"POLKA","POLKA","Rosa Chemical;Thelonious B.",2020-03-06,170851,40,true,listen_rap,2020-04-03T13:39:17Z,"italian trap","Universal Music Italia srL.",0.787,0.717,11,-5.465,1,0.174,0.278,0,0.266,0.829,129.903,4
spotify:track:0omqvL9FkWPdxAgcafKWP7,"Vizio","Vizio","Security;Joe Scacchi",2020-03-22,198617,13,true,listen_rap,2020-04-03T13:01:50Z,"italian trap","Universal Music Italia srL.",0.75,0.712,1,-4.963,1,0.248,0.131,0,0.135,0.37,105.02,4
spotify:track:0SOtLyQyw3kgdJSeQDJPfy,"Un'altra canzone","Scraps","Blowbby",2020-04-24,164210,0,true,listen_rap,2020-04-26T13:33:44Z,"","Blowbby",0.596,0.459,9,-13.125,1,0.106,0.575,0.00000349,0.112,0.153,95.164,4
spotify:track:0LfCk2cn6b40ktfjes5o9K,"Memorie di uno sconfitto, pt. 2","Sinceramente Mostro","Mostro",2020-03-03,189656,23,true,listen_rap,2020-04-03T13:45:55Z,"italian trap","Honiro",0.646,0.728,10,-7.326,0,0.324,0.459,0,0.233,0.276,91.79,4
spotify:track:26Euhe1rtXA3UmRR75mcBw,"La Strada È Nostra (feat. Geolier)","Nati Diversi","Gianni Bismark;Sick Luke;Geolier",2020-03-26,160203,44,false,listen_rap,2020-04-03T13:11:23Z,"italian trap,canzone napoletana,concerto,neomelodico","Universal Music Italia srL.",0.699,0.596,9,-7.824,0,0.0362,0.694,0.0000122,0.0831,0.499,131.933,4
spotify:track:5dIkDibfzme6eZddAOQQqZ,"OKAY?! (feat. Lazza) - prod. Lazza & STABBER","GarbAge","Nitro;Lazza",2020-03-06,205154,33,true,listen_rap,2020-04-03T13:42:39Z,"italian trap,concerto","Arista",0.861,0.617,2,-8.072,1,0.114,0.124,0.000651,0.117,0.255,103.065,4
spotify:track:78QX2wFWwOV2X43tWJccrY,"Nostradamus","Sinceramente Mostro","Mostro",2020-03-03,149500,22,true,listen_rap,2020-04-03T13:46:03Z,"italian trap","Honiro",0.728,0.594,10,-9.475,0,0.486,0.32,0,0.116,0.315,90.514,4
spotify:track:7w6lTfYfqAH3XgF4aQg4g3,"Libellule - prod. CRVEL & STABBER","GarbAge","Nitro",2020-03-06,191487,36,true,listen_rap,2020-04-03T13:50:41Z,"italian trap","Arista",0.527,0.555,0,-10.023,1,0.291,0.136,0,0.0774,0.252,83.759,4
spotify:track:2mskn5ZIREDZca9wh1w4Mi,"Voci","La danza delle streghe","Goya;Crookers;Alde",2020-04-17,193112,11,true,listen_rap,2020-04-26T13:31:02Z,"italian trap","Pluggers",0.659,0.796,4,-7.653,0,0.076,0.676,0.00000553,0.503,0.178,120.138,4
spotify:track:5IOYHf80xWVdxYTPxkxYZP,"Avvoltoi (feat. Fabri Fibra) - prod. CRVEL & STABBER","GarbAge","Nitro;Fabri Fibra",2020-03-06,189756,27,true,listen_rap,2020-04-03T13:50:32Z,"italian trap,concerto","Arista",0.796,0.659,1,-8.373,1,0.11,0.105,0.0000236,0.316,0.187,105.003,4
spotify:track:4NR1cjgeRzp0KSTwqiJfWj,"On Gang","On Gang","Thelonious B.;Baby Kirua;Beak On The Night",2020-01-27,154903,32,true,listen_rap,2020-02-09T15:10:36Z,"italian trap","Universal Music Italia srL.",0.723,0.641,2,-5.734,1,0.195,0.568,0,0.0882,0.505,104.02,4
spotify:track:6XPYGFacwZAtmoSVi9m4eT,"Fuego (with Geolier & Lele Blade) - Prod. Poison Beatz, Tom Trigger","Fuego (with Geolier & Lele Blade)","Neves17;Geolier;Lele Blade;Poison Beatz;Tom Trigger",2020-01-28,176000,46,false,listen_rap,2020-02-09T15:07:39Z,"canzone napoletana,neomelodico,italian trap,concerto","Neves17 under exclusive license to Planet Records [Powered by Planet Distribution]",0.657,0.54,9,-8.12,1,0.133,0.00551,0.0000138,0.0803,0.255,150.097,4
spotify:track:31xs5ywH5MkyXAJEJ6ctb0,"Sicuro","Colpo","Security;Xela Baby",2020-01-24,146401,8,true,listen_rap,2020-02-09T14:59:24Z,"italian trap","Security",0.664,0.619,1,-5.656,1,0.308,0.396,0,0.137,0.469,94.816,4
spotify:track:6ivYWaqJSjLtDre4pGOfG9,"Scooby","DNA","Ghali",2020-02-21,130235,0,false,listen_rap,2020-04-03T13:59:24Z,"italian trap","WM Italy",0.769,0.568,10,-6.764,0,0.197,0.0318,0,0.081,0.633,170.017,4
spotify:track:1SXJI7ePeMUhI1qNOajabC,"Nebbia","Nebbia","¥EM",2020-01-21,158117,19,false,listen_rap,2020-02-09T15:00:02Z,"italian trap","Universal Music Italia srL.",0.665,0.44,7,-10.38,0,0.366,0.187,0,0.524,0.214,170.196,4
spotify:track:4x67awdGDlWB3eIpQdkzqE,"CAPI DELLA TRAP (feat. Guè)","FSK TRAPSHIT REVENGE","FSK SATELLITE;Guè",2019-12-05,164210,38,true,listen_rap,2020-02-09T14:58:54Z,"italian trap,concerto","Universal Music Italia srL.",0.799,0.603,8,-8.068,1,0.506,0.0898,0,0.214,0.624,75.989,4
spotify:track:0uq5cbQmpGciCLEveRDEdX,"Eden","Eden","Rancore",2020-02-06,211297,31,false,listen_rap,2020-02-09T15:02:08Z,"","Universal Music Italia srL.",0.499,0.782,6,-6.104,1,0.14,0.204,0,0.113,0.641,111.038,4
spotify:track:4wFXoLSlRfLVfHBgeD4FVf,"George Boston","Marketing","Joe Scacchi;NIKENINJA",2019-11-15,109761,8,true,listen_rap,2020-02-09T15:31:05Z,"italian trap","Pluggers",0.815,0.596,1,-6.801,1,0.253,0.122,0.000709,0.248,0.275,100.053,4
spotify:track:7KqBbLav68xEDXWWpSjku8,"Poor Boy","Poor Boy","Yahweh",2019-10-12,204521,0,true,listen_rap,2020-02-09T15:28:40Z,"","© 2019 Qube Empire Records",0.714,0.335,7,-16.578,1,0.209,0.103,0,0.115,0.236,115.053,4
spotify:track:5c591Ck7sCY0jqsBZgQayy,"Ouver2re","Re Mida (Aurum)","Lazza",2019-10-03,185930,45,true,listen_rap,2020-02-09T15:21:35Z,"italian trap,concerto","Universal Music Italia srL.",0.745,0.493,5,-9.162,0,0.24,0.227,0,0.0804,0.519,129.993,4
spotify:track:713y0v9iThItBuuTXvLVZ7,"Titoli di coda","Il giorno piu bello della mia vita","Michael Damian Rose;Spampy",2019,153010,0,true,listen_rap,2020-02-09T15:28:06Z,"","Michael Damian Rose",0.715,0.584,7,-14.476,1,0.552,0.24,0,0.96,0.814,120.11,4
