Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5qbVso0dAtoI2gFhj7V8oG,"Catrame (feat. Tedua)","Re Mida","Lazza;Tedua",2019-03-01,200146,54,true,manuelmarrali,2019-03-24T23:21:31Z,"italian trap,concerto","Universal Music Italia srL.",0.735,0.679,0,-7.946,0,0.28,0.0663,0,0.13,0.742,74.502,4
spotify:track:1XiF40UZiMZstIl37DdRaC,"Netflix","Re Mida","Lazza",2019-03-01,153826,48,true,manuelmarrali,2019-03-24T23:21:34Z,"italian trap,concerto","Universal Music Italia srL.",0.713,0.716,10,-6.448,0,0.263,0.146,0,0.105,0.577,192.175,4
spotify:track:62HMQx6P4BOuHCjbyldghK,"Box Logo (feat. Fabri Fibra)","Re Mida","Lazza;Fabri Fibra",2019-03-01,133853,41,true,manuelmarrali,2019-03-24T23:21:39Z,"italian trap,concerto","Universal Music Italia srL.",0.657,0.567,10,-7.368,0,0.39,0.195,0,0.304,0.628,190.981,4
spotify:track:1f2HUukV14tz4cBtqpYJBb,"Cazal (feat. Izi)","Re Mida","Lazza;Izi",2019-03-01,185720,44,true,manuelmarrali,2019-03-24T23:21:44Z,"italian trap,concerto","Universal Music Italia srL.",0.727,0.782,2,-6.619,0,0.156,0.0468,0,0.32,0.601,128.049,4
spotify:track:2Ri0436JKFUsd3B3xa2jCe,"Morto Mai","Re Mida","Lazza",2019-03-01,145640,62,true,manuelmarrali,2019-03-24T23:24:20Z,"italian trap,concerto","Universal Music Italia srL.",0.645,0.813,7,-5.448,0,0.107,0.121,0,0.127,0.551,82.676,4
spotify:track:7fnHSgIITveyrYBAA1sxKR,"Re Mida","Re Mida","Lazza",2019-03-01,148653,48,true,manuelmarrali,2019-03-24T23:26:08Z,"italian trap,concerto","Universal Music Italia srL.",0.738,0.733,10,-6.399,0,0.307,0.074,0.000001,0.0916,0.65,91.045,4
spotify:track:4T77j7v5yZt0cPCaUoUbQ6,"Per Sempre","Re Mida","Lazza",2019-03-01,143200,41,true,manuelmarrali,2019-03-24T23:27:05Z,"italian trap,concerto","Universal Music Italia srL.",0.767,0.636,0,-7.576,1,0.203,0.143,0,0.118,0.32,127.96,4
spotify:track:18mqPD4wricO2V3b3NjKAV,"Superman","Re Mida","Lazza",2019-03-01,175293,46,true,manuelmarrali,2019-03-25T00:36:24Z,"italian trap,concerto","Universal Music Italia srL.",0.727,0.775,7,-6.21,0,0.171,0.185,0,0.127,0.422,81.479,4
spotify:track:7IvD494Z1eH0wQQ5pCdXrM,"24H","Re Mida","Lazza",2019-03-01,215826,47,true,manuelmarrali,2019-03-25T00:43:25Z,"italian trap,concerto","Universal Music Italia srL.",0.834,0.498,10,-9.008,0,0.185,0.201,0,0.319,0.455,135.909,4
spotify:track:7imppCsqBzOEkpqm1jXCZP,"Porto Cervo","Re Mida","Lazza",2019-03-01,233680,52,true,manuelmarrali,2019-03-25T01:01:48Z,"italian trap,concerto","Universal Music Italia srL.",0.855,0.666,10,-4.567,0,0.104,0.2,0,0.105,0.757,100.007,4
spotify:track:5aGVBVVRgMLBexUbV3bRgC,"Ouverture","Zzala","Lazza;Low Kidd",2017-04-14,213573,40,true,manuelmarrali,2019-03-28T15:35:17Z,"italian trap,concerto","333 MOB Srl",0.588,0.397,1,-13.506,0,0.566,0.654,0,0.151,0.356,80.112,5
spotify:track:0Rgi733bscb4I8FLsat1yQ,"Lario","Zzala","Lazza;Low Kidd",2017-04-14,190186,45,true,manuelmarrali,2019-03-28T15:47:06Z,"italian trap,concerto","333 MOB Srl",0.788,0.52,5,-7.481,1,0.267,0.0733,0.000198,0.0569,0.566,83.037,4
spotify:track:5xTxsNSO8JRKupxD6yieMT,"Maleducati","Zzala","Lazza;Low Kidd",2017-04-14,230106,36,true,manuelmarrali,2019-03-28T15:52:23Z,"italian trap,concerto","333 MOB Srl",0.75,0.666,2,-8.254,1,0.116,0.0719,0,0.115,0.36,111.083,4
spotify:track:7wn5K1YL5vu139wjbIbcYx,"430","Zzala","Lazza;Low Kidd",2017-04-14,213600,30,true,manuelmarrali,2019-03-28T16:01:35Z,"italian trap,concerto","333 MOB Srl",0.587,0.566,1,-11.818,1,0.341,0.263,0.000529,0.0963,0.336,74.851,4
spotify:track:4uWcPi8woL8t949ejvHycP,"Zzala","Zzala","Lazza;Low Kidd",2017-04-14,184653,35,true,manuelmarrali,2019-03-28T16:01:43Z,"italian trap,concerto","333 MOB Srl",0.447,0.636,10,-8.228,1,0.218,0.15,0.265,0.106,0.152,101.793,3
spotify:track:2lrwrae424IfClZuPe4O4g,"MOB (feat. Salmo & Nitro)","Zzala","Lazza;Low Kidd;Salmo;Nitro",2017-04-14,213613,47,true,manuelmarrali,2019-03-28T16:03:31Z,"italian trap,concerto","333 MOB Srl",0.792,0.642,10,-9.164,0,0.294,0.207,0.0000576,0.12,0.386,99.889,4
spotify:track:1hkyVXXLFN9eHtsL1cn8V8,"2 Cellulari","Re Mida","Lazza",2019-03-01,160053,43,true,manuelmarrali,2019-04-25T15:29:58Z,"italian trap,concerto","Universal Music Italia srL.",0.765,0.723,5,-6.358,0,0.0993,0.411,0,0.11,0.719,140.019,4
spotify:track:6BNMAb82xLiPv1ZngMQOBK,"Iside (feat. Luchè)","Re Mida","Lazza;Luchè",2019-03-01,152733,47,true,manuelmarrali,2019-06-01T14:49:55Z,"italian trap,concerto,canzone napoletana","Universal Music Italia srL.",0.714,0.795,11,-6.956,0,0.293,0.125,0,0.146,0.668,84.965,4
spotify:track:0JX7XXuJCMI8E67zSAy6PR,"No Selfie (feat. Giaime)","Re Mida","Lazza;Giaime",2019-03-01,167840,37,true,manuelmarrali,2019-06-02T15:12:20Z,"italian trap,concerto","Universal Music Italia srL.",0.72,0.713,0,-6.414,1,0.16,0.187,0,0.276,0.347,87.659,4
spotify:track:04vbUBLS9OqxwP4Tc7dJMR,"Povero Te","Re Mida","Lazza",2019-03-01,193040,38,true,manuelmarrali,2019-06-02T15:12:26Z,"italian trap,concerto","Universal Music Italia srL.",0.774,0.875,11,-4.266,1,0.104,0.0906,0,0.331,0.476,142.993,4
spotify:track:4KilYheWwxakB1L43ECTeP,"Gigolò (feat. Sfera Ebbasta & Capo Plaza)","Re Mida (Aurum)","Lazza;Sfera Ebbasta;Capo Plaza",2019-10-03,164301,56,true,manuelmarrali,2019-11-14T13:50:29Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.795,0.634,5,-8.771,0,0.142,0.0889,0,0.0874,0.39,97.512,4
spotify:track:4JDmBiVDC19xUtTi4ohrEJ,"Dry (La Mia Ora)","Re Mida (Aurum)","Lazza",2019-10-03,124714,41,true,manuelmarrali,2019-11-14T13:50:34Z,"italian trap,concerto","Universal Music Italia srL.",0.805,0.65,1,-5.749,1,0.124,0.118,0.0000269,0.0602,0.703,87.007,4
spotify:track:2f9LCuUmf2kRQXgD3qrLu1,"Frio","Re Mida (Aurum)","Lazza",2019-10-03,129062,43,true,manuelmarrali,2019-11-14T13:50:41Z,"italian trap,concerto","Universal Music Italia srL.",0.788,0.762,5,-4.225,1,0.0692,0.0298,0.00000444,0.0419,0.445,100.055,4
spotify:track:52rswvvm1GtT1T3vnFIY6o,"Ouver2re (Piano Solo)","Re Mida (Aurum)","Lazza",2019-10-03,113000,28,true,manuelmarrali,2019-11-14T13:50:58Z,"italian trap,concerto","Universal Music Italia srL.",0.685,0.403,5,-14.373,0,0.112,0.559,0,0.174,0.785,129.619,4
spotify:track:6jEmD5cp1KTGmfFgZwQGhC,"Netflix (Piano Solo)","Re Mida (Aurum)","Lazza",2019-10-03,157286,37,true,manuelmarrali,2019-11-14T13:51:06Z,"italian trap,concerto","Universal Music Italia srL.",0.564,0.53,5,-10.109,0,0.061,0.798,0,0.166,0.74,192.237,4
spotify:track:3tJdJXyL1dSF3MtxqPZk7J,"24H (Piano Solo)","Re Mida (Aurum)","Lazza",2019-10-03,199852,36,true,manuelmarrali,2019-11-14T13:51:25Z,"italian trap,concerto","Universal Music Italia srL.",0.7,0.548,10,-9.666,0,0.045,0.624,0,0.108,0.482,136.051,4
