Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7GfXjqXD9aBvDoBdZ7EwPH,"Veleno 6","MM Vol. 2","MadMan;Gemitaiz",2016-11-11,205125,55,false,manuelmarrali,2018-07-04T23:47:23Z,"italian trap","Universal Music Italia srL.",0.753,0.846,2,-6.846,1,0.0936,0.193,0,0.29,0.636,147.871,4
spotify:track:4DNCsZEIPuiYYT8MHMSEFh,"Trapano","Back Home","MadMan",2018-02-02,173188,40,false,manuelmarrali,2018-07-04T23:47:34Z,"italian trap","Universal Music Italia srL.",0.783,0.848,8,-4.545,1,0.147,0.265,0,0.172,0.244,147.014,4
spotify:track:6tjh0rSgnW08GjARIytMkF,"Niente Proprio","Back Home","MadMan",2018-02-02,177061,35,false,manuelmarrali,2018-07-04T23:47:39Z,"italian trap","Universal Music Italia srL.",0.764,0.697,9,-7.242,0,0.0392,0.574,0,0.133,0.577,125.981,4
spotify:track:2KYNafAvV9fnfdbLChvGFv,"Successo","Back Home","MadMan",2018-02-02,199200,39,false,manuelmarrali,2018-07-04T23:47:43Z,"italian trap","Universal Music Italia srL.",0.701,0.918,7,-5.547,1,0.26,0.143,0,0.102,0.551,179.917,3
spotify:track:28TcsNlcyNiaSvsUhTznzs,"Salsa","Back Home","MadMan",2018-02-02,227682,38,false,manuelmarrali,2018-07-04T23:47:49Z,"italian trap","Universal Music Italia srL.",0.587,0.802,10,-5.299,0,0.096,0.192,0.00000405,0.0828,0.154,112.941,3
spotify:track:4r5UxusxMzRnek2aebchNb,"Storie","Back Home","MadMan",2018-02-02,164625,50,false,manuelmarrali,2018-07-04T23:47:56Z,"italian trap","Universal Music Italia srL.",0.73,0.654,10,-6.555,0,0.116,0.543,0,0.0853,0.436,124.976,4
spotify:track:5wAArpW8e8QelgrJ8QyY3E,"Bolla Papale Freestyle","MM Vol. 2","MadMan",2016-11-11,126000,48,false,manuelmarrali,2018-07-05T00:13:24Z,"italian trap","Universal Music Italia srL.",0.604,0.657,0,-7.271,0,0.307,0.19,0.00000483,0.122,0.396,159.988,4
spotify:track:6DGl9TtxYTpMFrmZa1mwEz,"Centro (feat. Coez)","Back Home","MadMan;Coez",2018-02-02,184304,53,false,manuelmarrali,2018-07-05T15:10:26Z,"italian trap,concerto,indie","Universal Music Italia srL.",0.57,0.715,9,-5.973,0,0.113,0.291,0,0.358,0.296,117.239,4
spotify:track:4lsj4usk5ZksNlUlIERCD2,"Mickey Rourke","Back Home","MadMan",2018-02-02,233023,42,false,manuelmarrali,2018-07-06T21:13:42Z,"italian trap","Universal Music Italia srL.",0.734,0.687,5,-6.617,0,0.0287,0.315,0,0.125,0.102,128.983,4
spotify:track:7xBe1RY0BRLcLC2ztbJACK,"Solo Con Me","MM Vol. 2","MadMan",2016-11-11,189850,36,false,manuelmarrali,2018-07-18T12:57:37Z,"italian trap","Universal Music Italia srL.",0.692,0.633,4,-8.593,0,0.255,0.12,0,0.495,0.288,134.106,4
spotify:track:3tq3ExOHhDMT9WkOWF7Quv,"Intro (Madman/MM Vol.2)","MM Vol. 2","MadMan",2016-11-11,131447,42,false,manuelmarrali,2018-07-18T12:57:42Z,"italian trap","Universal Music Italia srL.",0.641,0.835,11,-7.059,0,0.0784,0.108,0,0.289,0.04,75.735,4
spotify:track:1Z5y1PBVbvBdl98UPybxdb,"R8","MM Vol. 3","MadMan",2019-02-01,108272,40,false,manuelmarrali,2019-02-13T23:39:16Z,"italian trap","Universal Music Italia srL.",0.658,0.692,0,-5.389,0,0.338,0.367,0,0.0986,0.213,77.542,4
spotify:track:5Ev5WYvReWx5ScH5iYUjem,"Ludovico","MM Vol. 3","MadMan",2019-02-01,135136,31,false,manuelmarrali,2019-02-13T23:39:23Z,"italian trap","Universal Music Italia srL.",0.835,0.832,2,-3.615,1,0.0735,0.109,0,0.328,0.458,114.754,4
spotify:track:7mVV2Rb9IpbsklRP9Mfz11,"Numeri","MM Vol. 3","MadMan",2019-02-01,132950,40,false,manuelmarrali,2019-02-13T23:39:31Z,"italian trap","Universal Music Italia srL.",0.886,0.7,1,-3.863,1,0.294,0.237,0,0.138,0.286,96.101,4
