Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4S2uhQE8L9V6p7rj7SiauJ,"Suicidal (feat. Juice WRLD) - Remix","Suicidal (Remix) [feat. Juice WRLD]","YNW Melly;Juice WRLD",2020-03-13,225857,73,true,,2020-11-28T18:55:39Z,"melodic rap,emo rap","P2020",0.655,0.441,9,-5.245,0,0.0629,0.474,0,0.099,0.273,139.957,4
spotify:track:3NLE4ioQE8aWxoJjk2IQTC,"Vestiti D’Odio (con PSICOLOGI)","Vestiti D’Odio (con PSICOLOGI)","Tredici Pietro;PSICOLOGI;Mr. Monkey",2020-01-09,171093,0,true,,2020-11-28T18:55:39Z,"italian trap,concerto","Universal Music Italia srL.",0.708,0.678,9,-7.492,1,0.129,0.299,0,0.14,0.211,128.037,4
spotify:track:4wGzKzVWDPIr13qK2i2JP0,"Baby Gang","Baby Gang","167 Gang;Baby Gang",2020-07-31,187058,50,true,,2020-11-28T18:55:39Z,"italian trap","Real Music 4e",0.723,0.573,11,-7.192,1,0.146,0.0988,0,0.298,0.421,67.992,4
spotify:track:4dTZAG78TpWGifu1kMefaF,"PARA' - feat. Tedua","CHE IO MI AIUTI","Bresh;Tedua",2020-02-14,176008,53,false,,2020-11-28T18:55:39Z,"concerto,italian trap","Epic",0.749,0.653,1,-8.404,1,0.107,0.18,0,0.0812,0.682,140.926,4
spotify:track:03SusEkgmJNTdSzijoCquz,"Zlatan","Zlatan","Neima Ezza",2020-02-21,136861,33,true,,2020-11-28T18:55:39Z,"italian trap","Yalla Movement",0.753,0.819,10,-2.052,0,0.173,0.267,0,0.421,0.169,137.031,4
spotify:track:3jT2LKH0RSbQ8jIUNFzXm5,"PTSD","PTSD","G Herbo;Juice WRLD;Lil Uzi Vert;Chance the Rapper",2020-02-28,232064,0,true,,2020-11-28T18:55:39Z,"chicago drill,drill,melodic rap,emo rap","Machine Entertainment Group",0.883,0.808,1,-3.158,0,0.183,0.0317,0,0.207,0.805,119.012,4
spotify:track:2Dlll94x7rzrrw2mN0PGjE,"Cali","2020","Vale Pain;La Luna Nera",2020-02-26,198367,53,true,,2020-11-28T18:55:39Z,"italian trap,drill,canzone napoletana","Vale pain",0.796,0.636,2,-10.58,1,0.225,0.301,0,0.215,0.563,97.953,4
spotify:track:26niAAe4TGc3NV4hQMyIn3,"Beauty","Beauty","Slings;VillaBanks",2020-07-24,168148,34,true,,2020-11-28T18:55:39Z,"italian trap","Saifam Urban",0.836,0.487,11,-10.007,1,0.297,0.0102,0.0000106,0.125,0.549,81.043,4
spotify:track:2blMyjvcy9l17CWRupWpyF,"Bataclan","Bataclan","Nerone;Funkyman;Fabri Fibra",2020-07-10,185280,29,true,,2020-11-28T18:55:39Z,"italian trap,neomelodico,canzone napoletana,concerto","Nerone, distribuited by Guna",0.814,0.859,0,-5.305,1,0.322,0.469,0,0.0543,0.509,99.975,4
spotify:track:26Euhe1rtXA3UmRR75mcBw,"La Strada È Nostra (feat. Geolier)","Nati Diversi","Gianni Bismark;Sick Luke;Geolier",2020-03-26,160203,44,false,,2020-11-28T18:55:39Z,"italian trap,canzone napoletana,concerto,neomelodico","Universal Music Italia srL.",0.699,0.596,9,-7.824,0,0.0362,0.694,0.0000122,0.0831,0.499,131.933,4
spotify:track:3wapLdXDMiCZV9dWNg55Jh,"Holy Moly (feat. NLE Choppa)","Find The Beat","Blueface;NLE Choppa",2020-03-13,117800,48,true,,2020-11-28T18:55:39Z,"","Cash Money Records Inc.",0.863,0.588,1,-8.186,0,0.462,0.126,0,0.394,0.54,123.924,3
spotify:track:2Gb6IDWXknBadeTPk3NMlo,"Monte bianco freestyle","Santana mafia party","Santana MOE",2020-07-24,117600,28,true,,2020-11-28T18:55:39Z,"italian trap","Santanamoe",0.798,0.519,1,-6.639,1,0.0678,0.128,0.00467,0.123,0.659,100.009,4
spotify:track:50a0HORfd7wRAVY2DYz1Ed,"2020 Baby","2020 Baby","Poli Ok;Uzi Lvke;Dogslife;Master Code",2020-02-14,166530,0,true,,2020-11-28T18:55:39Z,"italian trap","Poli Ok & Uzi Lvke",0.793,0.696,9,-10.422,1,0.266,0.471,0,0.113,0.0673,98.032,4
spotify:track:7IMwEtpAiJanqF6vQteZN2,"Turks (with Gunna & ft. Travis Scott)","Good Intentions","NAV;Gunna;Travis Scott",2020-05-08,161319,63,true,,2020-11-28T18:55:39Z,"melodic rap,rap","Republic Records",0.894,0.618,7,-4.356,0,0.129,0.0808,0,0.558,0.379,119.1,4
spotify:track:0hyBnEUcv1R5xC5ulZSpEM,"Alghe","Denti Da Latte","Nerissima Serpe;VillaBanks",2020-07-11,163804,47,true,,2020-11-28T18:55:39Z,"italian trap","K100 ENT",0.815,0.685,8,-6.183,0,0.106,0.132,0.00000104,0.0963,0.496,94.02,4
spotify:track:6Juv5N0dNU1imms9c9u1dA,"Papi Chulo","Papi Chulo","Octavian;Skepta",2020-03-13,161667,0,true,,2020-11-28T18:55:39Z,"grime,uk grime,afroswing","Black Butter 1",0.866,0.563,11,-6.964,0,0.108,0.185,0,0.0889,0.307,127.954,4
spotify:track:1ZpkFYyfe02wzVEzvfY2wB,"Paranza","Paranza","Sacky",2020-01-29,133333,27,true,,2020-11-28T18:55:39Z,"italian trap,drill","REAL MUSIC 4 EVER",0.657,0.666,11,-7.632,0,0.39,0.13,0,0.0948,0.306,179.811,4
spotify:track:7o4gBbTM6UBLkOYPw9xMCz,"Moonwalking in Calabasas (feat. Blueface) - Remix","Moonwalking in Calabasas (feat. Blueface) [Remix]","DDG;Blueface",2020-09-11,170232,56,true,,2020-11-28T18:55:39Z,"","Epic",0.928,0.341,11,-10.196,0,0.103,0.0614,0,0.162,0.745,129.966,4
spotify:track:33gwZOGJWEZ7dRWPqPxBEZ,"Wolves (feat. Post Malone)","Detroit 2","Big Sean;Post Malone",2020-09-04,199758,64,true,,2020-11-28T18:55:39Z,"","Getting Out Our Dreams, Inc./Def Jam Recordings",0.724,0.675,2,-5.267,1,0.0867,0.0978,0.00000941,0.351,0.325,160.048,4
spotify:track:3PdcxgzpWzAsUGgkmykIFc,"Welcome to Chilis","Baby Gravy 2","BABY GRAVY;Yung Gravy;bbno$",2020-02-14,157500,62,true,,2020-11-28T18:55:39Z,"","Baby Gravy",0.839,0.454,10,-9.09,0,0.157,0.359,0,0.0755,0.804,159.987,4
spotify:track:712G0Lkp4byRpcvBCbpmeP,"D&G","D&G","DAYTONA KK;GOLDIE KK;Beak On The Night",2020-02-20,162130,26,true,,2020-11-28T18:55:39Z,"italian trap","Universal Music Italia srL.",0.756,0.703,8,-4.604,1,0.0973,0.562,0,0.193,0.698,88.025,4
