Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2fFlmlePz9hrVMv4LvdQxN,"1.0_1-hellofriend.wav","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)","Mac Quayle",2016-06-03,76038,33,false,crypticmind,2017-11-19T17:18:02Z,"soundtrack,score","Lakeshore Records",0.134,0.266,2,-21.757,0,0.0391,0.878,0.77,0.0971,0.0354,59.318,3
spotify:track:7a70wyEZ5XhS8MzTU9kIvn,"1.0_2-oneincontrol.aiff","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)","Mac Quayle",2016-06-03,279748,35,false,crypticmind,2017-11-19T17:18:02Z,"soundtrack,score","Lakeshore Records",0.25,0.0729,10,-20.533,0,0.0382,0.736,0.909,0.0746,0.0341,79.984,4
spotify:track:3sdkizwy9pJJABWimxp6Hu,"1.0_3-fucksociety.mp3","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)","Mac Quayle",2016-06-03,132419,37,false,crypticmind,2017-11-19T17:18:02Z,"soundtrack,score","Lakeshore Records",0.402,0.376,1,-23.656,1,0.0453,0.96,0.891,0.111,0.493,112.063,3
spotify:track:0CwO1gFI2KnXhsk08BEsA3,"1.0_4-m0rphine.aac","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)","Mac Quayle",2016-06-03,116330,34,false,crypticmind,2017-11-19T17:18:02Z,"soundtrack,score","Lakeshore Records",0.46,0.0885,5,-26.636,0,0.0417,0.962,0.865,0.118,0.0338,126.771,3
spotify:track:6YqpmQ4jZjDleWaGJT6VqN,"1.0_5-pierreloti.au","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)","Mac Quayle",2016-06-03,179010,30,false,crypticmind,2017-11-19T17:18:02Z,"soundtrack,score","Lakeshore Records",0.496,0.181,7,-26.599,1,0.0379,0.831,0.931,0.11,0.112,99.997,4
spotify:track:2lJmvslf8xMCbAAEPYgOIM,"1.0_6-leavem3here.flac","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)","Mac Quayle",2016-06-03,80152,30,false,crypticmind,2017-11-19T17:18:02Z,"soundtrack,score","Lakeshore Records",0.696,0.426,8,-17.547,1,0.143,0.976,0.955,0.104,0.0754,108.03,4
spotify:track:40pngv2aF2b5KuOe35CRYL,"1.0_7-waitfortheQ.ogg","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)","Mac Quayle",2016-06-03,142515,29,false,crypticmind,2017-11-19T17:18:02Z,"soundtrack,score","Lakeshore Records",0.233,0.112,5,-25.252,0,0.0469,0.946,0.831,0.0879,0.0433,71.376,4
spotify:track:0QmIPFQ3h0yVPgHsfqpy05,"1.0_8-whatsyourask.m4p","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)","Mac Quayle",2016-06-03,97971,42,false,crypticmind,2017-11-19T17:18:02Z,"soundtrack,score","Lakeshore Records",0.527,0.394,10,-14.874,0,0.0493,0.27,0.874,0.111,0.0336,135.998,4
spotify:track:2uAlXkY8b9zuIqqeZj1xvS,"1.0_9-flipper.bwf","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)","Mac Quayle",2016-06-03,217562,28,false,crypticmind,2017-11-19T17:18:02Z,"soundtrack,score","Lakeshore Records",0.187,0.0829,7,-24.893,1,0.0381,0.933,0.791,0.123,0.0551,92.013,4
spotify:track:2xwoIvf9DdRmvZ17tlFUZ4,"1.1_1-one6away.caf","Mr. Robot, Vol. 1 (Original Television Series Soundtrack)","Mac Quayle",2016-06-03,101391,29,false,crypticmind,2017-11-19T17:18:02Z,"soundtrack,score","Lakeshore Records",0.541,0.558,10,-12.826,1,0.0379,0.4,0.914,0.112,0.332,170.004,4
