Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0e7Waqouu2t82E5Mazz2Rb,"T'Aggio Purtato Na Rosa","Perseveranza","Marco Calone",2021-04-20,211093,46,false,manuelmarrali,2021-07-14T22:51:57Z,"neomelodico,canzone napoletana","MRC",0.638,0.543,10,-6.749,0,0.0242,0.73,0,0.243,0.571,90.977,4
spotify:track:3bHpp4M6Jp3J7D0bnlvjn6,"Te credevo sincera","Stelle","Gianni Celeste",2004,253200,45,false,manuelmarrali,2021-07-14T22:58:04Z,"neomelodico,canzone napoletana","Seamusica",0.399,0.337,9,-12.312,0,0.0331,0.419,0,0.0622,0.186,141.464,4
spotify:track:3QvPOmwgOhoUHWJNKK5VXp,"Malammore","Zoom","Franco Ricciardi",2011-05-10,188773,0,false,manuelmarrali,2021-07-14T23:04:56Z,"neomelodico,canzone napoletana","Cuoreneroproject",0.416,0.679,11,-8.763,0,0.0407,0.00492,0.000133,0.0487,0.258,79.817,4
spotify:track:3CPfiv5HfoQxtpHyPzJmu3,"Ammore Senza Core","Blu","Franco Ricciardi",2017-04-28,177360,49,false,manuelmarrali,2021-07-14T23:08:14Z,"neomelodico,canzone napoletana","Universal Music Italia srL.",0.507,0.594,4,-7.077,0,0.0326,0.00102,0.0000488,0.0746,0.0938,134.921,4
spotify:track:3QDZ1rWJBMCu9ptRVkPQUa,"Je So' Pazzo","Pino Daniele DOC","Pino Daniele",2006-01-01,178986,40,false,manuelmarrali,2021-07-14T23:10:42Z,"italian singer-songwriter,canzone napoletana,singer-songwriter,neomelodico","EMI Marketing",0.471,0.75,4,-5.993,0,0.187,0.278,0.000126,0.0654,0.656,58.428,4
spotify:track:0MLu1cFYL4ikdRTdasCQT9,"M' Manc (con Geolier & Sfera Ebbasta)","M' Manc (con Geolier & Sfera Ebbasta)","Shablo;Geolier;Sfera Ebbasta",2020-06-11,180000,64,false,manuelmarrali,2021-07-16T15:02:58Z,"italian trap,concerto,canzone napoletana,neomelodico,trap","Universal Music Italia srL.",0.703,0.704,6,-6.117,0,0.0641,0.048,0,0.41,0.725,139.933,4
spotify:track:3uqFFmxrCv4nzkKFSNbXHv,"No Cap (feat. Geolier)","17 - Dark Edition","Emis Killa;Jake La Furia;Geolier",2021-02-26,193432,47,true,manuelmarrali,2021-07-27T14:05:30Z,"italian trap,canzone napoletana,concerto,neomelodico","Epic",0.769,0.764,0,-4.187,0,0.0636,0.0579,0,0.252,0.741,134.107,4
spotify:track:6TUPh02OmEXDeCZMft4cDx,"Te voglio troppo bene","Dieci note in riva al mare","Gianni Celeste",1991,238466,48,false,manuelmarrali,2021-09-22T17:29:21Z,"neomelodico,canzone napoletana","Seamusica",0.612,0.674,7,-10.236,0,0.0761,0.334,0,0.284,0.638,137.181,4
spotify:track:4ibUxNAjSdg19dYEMlisTy,"Mambo (feat. Sick Luke)","Mambo (feat. Sick Luke)","Nicola Siciliano;Sick Luke",2019-11-22,147741,29,false,manuelmarrali,2021-09-22T17:40:47Z,"canzone napoletana,neomelodico,italian trap","RCA Records Label",0.687,0.743,8,-5.922,0,0.0829,0.163,0.0000189,0.0813,0.5,92.998,4
spotify:track:0I3mz6v33aJrVHbqDHI4Pl,"Vaseme","Vaseme","Niko Pandetta",2019-12-15,201665,0,false,manuelmarrali,2022-04-10T19:18:40Z,"neomelodico,canzone napoletana,italian trap","KING MUSIC",0.843,0.834,7,-5.33,0,0.223,0.0834,0,0.155,0.687,127.925,4
spotify:track:7nmgo9rItZ5OHer0VFVhqU,"Nata vota","Nata vota","Niko Pandetta",2019-10-17,174193,0,false,manuelmarrali,2022-04-10T19:18:52Z,"neomelodico,canzone napoletana,italian trap","KING MUSIC",0.835,0.717,10,-6.722,0,0.249,0.529,0.00000152,0.0842,0.949,123.972,4
spotify:track:3uE7yOoSsgE942ooGsKJz1,"Tu me piace","Adesso non è un sogno","Pino Franzese",2020-09-24,194765,43,false,manuelmarrali,2023-05-13T15:15:19Z,"neomelodico,canzone napoletana","Zeus Record",0.8,0.746,0,-7.195,1,0.0353,0.364,0,0.12,0.828,104.047,4
spotify:track:5OJipAfK9KmaIBDoGqMBMv,"Cu'mme'","Amici di face... E non solo (Disco a favore di Child to Child for Africa di padre Fantacci)","Mia Martini;Enzo Gragnianiello",2009-01-01,281546,1,false,manuelmarrali,2023-09-15T20:17:34Z,"italian singer-songwriter,singer-songwriter,canzone napoletana,neomelodico","Farita S.r.l.",0.587,0.748,7,-5.18,1,0.0346,0.533,0.000235,0.653,0.618,100.995,4
