Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2o8ZNExQyRsVxbPKWCoGNp,"San Junipero I","No Comment","Nitro",2018-01-12,137386,31,true,manuelmarrali,2018-08-17T15:04:35Z,"italian trap","Epic",0.76,0.438,7,-8.97,1,0.143,0.177,0.0000628,0.101,0.286,141.084,4
spotify:track:113aWckfqJCiLA6v3ovt57,"San Junipero II","No Comment","Nitro",2018-01-12,133880,38,true,manuelmarrali,2018-08-17T15:04:42Z,"italian trap","Epic",0.692,0.55,11,-8.478,0,0.276,0.0691,0.161,0.1,0.461,153.123,4
spotify:track:22J3THKe7sVVPV31HcXNVd,"Passepartout (feat. Lazza)","No Comment","Nitro;Lazza",2018-01-12,214226,35,true,manuelmarrali,2018-08-17T15:04:49Z,"italian trap,concerto","Epic",0.708,0.723,1,-6.72,1,0.275,0.095,0.0000698,0.102,0.475,145.968,4
spotify:track:58irXhJNTJFWzbHPFsP77o,"Horror Vacui","No Comment","Nitro",2018-01-12,224386,36,true,manuelmarrali,2018-08-17T15:08:15Z,"italian trap","Epic",0.759,0.787,10,-5.882,0,0.189,0.186,0.00000132,0.231,0.518,114.1,4
spotify:track:63XvncX4VmdhRSAh0CX7YR,"Buio Omega","No Comment","Nitro",2018-01-12,131120,28,true,manuelmarrali,2018-08-17T15:14:52Z,"italian trap","Epic",0.715,0.934,2,-5.781,1,0.411,0.132,0,0.324,0.227,136.928,4
spotify:track:31n0IigR561jYALhTmwN2z,"Infamity Show","No Comment","Nitro",2018-01-12,208866,37,true,manuelmarrali,2018-08-17T15:14:56Z,"italian trap","Epic",0.832,0.72,1,-4.651,1,0.101,0.0628,0,0.376,0.59,116.92,4
spotify:track:1a7p2ia3PGoDCMY4LCk5xi,"Ok Corral (feat. MadMan)","No Comment","Nitro;MadMan",2018-01-12,199973,32,true,manuelmarrali,2018-08-17T15:15:04Z,"italian trap","Epic",0.713,0.842,10,-6.569,0,0.267,0.026,0,0.0829,0.222,144.074,4
spotify:track:5uBN5o2cLnLMWt8HbgZd8E,"Rotten","Suicidol Post Mortem","Nitro",2016-06-03,238093,28,true,manuelmarrali,2018-08-17T15:15:22Z,"italian trap","Epic",0.719,0.897,6,-3.082,1,0.348,0.0811,0,0.373,0.829,95.373,4
spotify:track:2uGOR7xIFuNRPielPYGBbk,"Sassi e diamanti","Suicidol Post Mortem","Nitro",2016-06-03,211760,24,true,manuelmarrali,2018-08-17T15:37:14Z,"italian trap","Epic",0.787,0.53,4,-7.504,0,0.163,0.000571,0,0.15,0.519,125.151,3
spotify:track:3SXud7e18uRe2ZuyRVElsJ,"Ho fatto bene","No Comment","Nitro",2018-01-12,215760,42,true,manuelmarrali,2018-08-23T10:58:37Z,"italian trap","Epic",0.852,0.759,3,-3.735,0,0.289,0.237,0,0.178,0.334,108.092,4
