Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7JNkwOPmxtvhIN2icvgNDy,"Ace","Ace","Edo Fendy",2018-01-12,100500,19,true,manuelmarrali,2019-02-27T15:07:10Z,"italian trap,mambo","Sugo",0.403,0.56,8,-7.829,1,0.0779,0.189,0,0.269,0.518,124.668,4
spotify:track:2a3Pn75MvPoBqb0HsIDqgU,"Broccolo","Broccolo","Jesto",2016-12-23,254207,0,false,manuelmarrali,2019-02-27T15:07:36Z,"italian trap","Limited Music Trade",0.973,0.655,8,-2.286,1,0.0565,0.303,0,0.118,0.843,120.01,4
spotify:track:7rYlGT75z1srGu5i8wuTwF,"Le focaccine dell'Esselunga","Le focaccine dell'Esselunga","OEL",2017-06-24,140309,0,false,manuelmarrali,2019-02-27T15:08:00Z,"","CCH Records",0.748,0.633,9,-7.924,0,0.0996,0.126,0,0.152,0.257,117.985,4
spotify:track:4cPwszutZMuOSjXTp6AY4U,"Un pò un pino","All'indenno - EP","Skioffi",2017-12-22,170420,0,true,manuelmarrali,2019-02-27T18:04:55Z,"italian trap","VNT1 Records",0.769,0.544,11,-9.234,0,0.443,0.343,0,0.0641,0.412,119.281,4
spotify:track:4DMvfNRWBkBDfEvmto9jKP,"Alette di pollo","Alette di pollo","Chakra;Blur",2017-05-12,193401,0,true,manuelmarrali,2019-02-27T18:11:06Z,"italian trap","Chakra",0.622,0.827,1,-3.424,1,0.0721,0.224,0,0.133,0.51,140.026,4
spotify:track:2goAab20mMlNbfaJ2RSfQN,"Burger King","Smorza candela","Bello Figo",2018-09-17,131550,27,false,manuelmarrali,2019-02-28T12:31:16Z,"italian trap","Flow Recordz",0.838,0.632,11,-4.778,0,0.335,0.095,0,0.1,0.0683,134.132,4
spotify:track:3u5X9AVrwHxjjrFBFwvSVT,"Sto skopando","Smorza candela","Bello Figo",2018-09-17,204812,35,true,manuelmarrali,2019-02-28T12:31:23Z,"italian trap","Flow Recordz",0.817,0.801,4,-2.608,0,0.451,0.0342,0,0.263,0.702,169.982,4
spotify:track:32PvWl5JCrlI8XeZxpS6CE,"Trappo zarro","Trappo zarro","Edo Fendy",2018-07-13,127619,30,true,manuelmarrali,2019-02-28T12:46:26Z,"italian trap,mambo","Guna",0.871,0.836,6,-5.782,1,0.254,0.0533,0,0.109,0.657,125.897,4
spotify:track:1btqyuIbblznPmuKKrYAhJ,"Cavolo (feat. Samuel Heron)","AHAHAH","G.bit;Samuel Heron",2018-05-25,135071,0,true,manuelmarrali,2019-03-08T23:58:04Z,"italian trap","WM Italy",0.866,0.793,1,-2.981,1,0.152,0.118,0,0.0441,0.541,136.063,4
spotify:track:2F8Cj61WLJvGu50hNCtypn,"UAU","UAU","G.bit",2018-04-27,152906,0,true,manuelmarrali,2019-03-25T14:41:08Z,"italian trap","WMI Italy",0.834,0.543,1,-4.498,1,0.0757,0.00701,0,0.0471,0.441,140.012,4
