Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3FhP1N2C05FgCZ1MNb3ad4,"Oggi","La mia voce","Fabrizio Moro",2022-02-04,175171,26,false,principessananaly,2022-04-29T16:40:02Z,"italian singer-songwriter","WM Italy",0.567,0.705,0,-5.67,1,0.0268,0.0958,0,0.147,0.323,85.983,4
spotify:track:2kLeBoh5vTQkCbiQ5QDK8p,"Prima o poi","Prima o poi","GrenBaud",2019-09-13,210612,26,false,manuelmarrali,2022-04-29T16:45:22Z,"","GrenBaud",0.731,0.727,2,-4.439,1,0.0379,0.315,0,0.132,0.325,98.038,4
spotify:track:645lKOSgy0BlQk5jpkI9Pl,"Sei tu","La mia voce","Fabrizio Moro",2022-02-04,172813,15,false,principessananaly,2022-04-29T16:45:34Z,"italian singer-songwriter","WM Italy",0.512,0.594,11,-7.126,1,0.036,0.227,0,0.106,0.324,134.31,4
spotify:track:5cRKj1kynNFqiliT2ndZ3y,"Akuma no Ko","Akuma no Ko","Ai Higuchi",2022-01-10,227679,63,false,manuelmarrali,2022-04-29T16:45:31Z,"anime,j-pop","PONY CANYON INC.",0.561,0.686,6,-6.273,0,0.0473,0.267,0,0.137,0.22,89.97,4
spotify:track:1b8kL6Gr6Kt8EIWtxeceKq,"Voglio stare con te","Canzoni d'amore nascoste","Fabrizio Moro",2020-11-20,196102,41,false,principessananaly,2022-04-29T16:45:43Z,"italian singer-songwriter","La Fattoria del Moro Publishing srl",0.578,0.6,11,-7.868,1,0.0296,0.116,0.0011,0.0835,0.434,143.839,4
spotify:track:204M5Idn4CeD7dZpDNG5fi,"Quando ti stringo forte","Figli di nessuno","Fabrizio Moro",2019-04-12,280826,19,false,principessananaly,2022-04-29T16:45:51Z,"italian singer-songwriter","RCA Records Label",0.388,0.366,7,-9.562,1,0.0361,0.695,0.00000377,0.0639,0.184,143.496,4
spotify:track:2iRniYXjMHKmwXqA2jYXP7,"Think About Things","Think About Things","Daði Freyr",2020-04-09,173385,1,false,manuelmarrali,2022-04-29T16:45:52Z,"","Samlist",0.871,0.341,3,-8.932,0,0.0576,0.0311,0.000124,0.0838,0.612,127.001,4
spotify:track:1wsZ0cp5He4Wm4yohNjwIs,"idfc - Tarro Remix","idfc (Tarro Remix)","blackbear;Tarro",2016-10-17,248633,58,true,manuelmarrali,2022-04-29T16:46:02Z,"","Santa Anna",0.58,0.694,1,-5.45,0,0.221,0.481,0.00000118,0.109,0.389,139.751,4
spotify:track:0IxDw5m8XyFBnrCXAppF53,"Buongiorno vita","Buongiorno vita","Ultimo",2021-04-23,190840,45,false,principessananaly,2022-04-29T16:46:25Z,"concerto","Ultimo Records",0.559,0.541,7,-5.451,1,0.0431,0.59,0,0.152,0.48,145.169,4
spotify:track:7qEHsqek33rTcFNT9PFqLf,"Someone You Loved","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,182160,87,false,manuelmarrali,2022-04-29T16:46:28Z,"soft pop","Vertigo Berlin",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
