Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1fu5IQSRgPxJL2OTP7FVLW,"I See Fire","The Hobbit: The Desolation of Smaug (Original Motion Picture Soundtrack)","Ed Sheeran",2013-12-10,300746,61,false,,2025-11-09T01:41:03Z,"soft pop","WaterTower Music",0.633,0.0519,10,-21.107,0,0.0365,0.562,0,0.097,0.204,76.034,4
spotify:track:596RbyO8Y6UAgSRruHrat7,"Melody","Melody","ILYAA",2025-07-25,118400,28,false,,2025-11-09T01:41:03Z,"techno,hypertechno","Soave Records",0.514,0.941,1,-5.898,1,0.141,0.0691,0.511,0.136,0.41,74.99,4
spotify:track:5n0F3BaTyAzgr7zBEXoUWg,"Pasos De Fuego","Pasos De Fuego","Flame Runner;JXNDRO",2025-04-30,111840,61,false,,2025-11-09T01:41:03Z,"phonk,brazilian phonk","PCR",0.672,0.847,0,-2.312,0,0.0575,0.0029,0,0.268,0.433,124.92,4
spotify:track:2QjOHCTQ1Jl3zawyYOpxh6,"Sweater Weather","I Love You.","The Neighbourhood",2013-04-22,240400,92,false,,2025-11-09T01:41:03Z,"","Columbia",0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,124.053,4
spotify:track:2kQuhkFX7uSVepCD3h29g5,"Smack That","Konvicted","Akon;Eminem",2006-01-01,212360,86,true,,2025-11-09T01:41:03Z,"rap,hip hop","Konvict/Upfront/SRC/Universal Records",0.939,0.741,5,-5.171,0,0.0471,0.323,0,0.107,0.925,118.978,4
spotify:track:5T7ywazdGIydr6JCW6t02j,"Smooth Criminal - 2012 Remaster","Bad (Remastered)","Michael Jackson",1987-08-31,257766,79,false,,2025-11-09T01:41:03Z,"","Epic/Legacy",0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,4
spotify:track:48RrDBpOSSl1aLVCalGl5C,"The Monster","The Marshall Mathers LP2","Eminem;Rihanna",2013-11-05,250188,83,true,,2025-11-09T01:41:03Z,"rap,hip hop","Eminem Catalog PS",0.781,0.853,1,-3.68,0,0.0714,0.0526,0,0.12,0.626,110.046,4
spotify:track:0mEdbdeRFQwBhN4xfyIeUM,"Can't Tell Me Nothing","Graduation","Kanye West",2007-09-11,271600,83,true,,2025-11-09T01:41:03Z,"rap","Roc-A-Fella",0.587,0.62,5,-6.133,0,0.042,0.0122,0,0.82,0.106,79.928,4
spotify:track:28P5HAF0Kll9Xd9dX4qw7A,"Eye of the Tiger","Eye Of The Tiger","Survivor",1982,243773,65,false,,2025-11-09T01:41:03Z,"","Volcano",0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,4
spotify:track:3BovdzfaX4jb5KFQwoPfAw,"Beat It","Thriller","Michael Jackson",1982-11-30,258296,83,false,,2025-11-09T01:41:03Z,"","Epic",0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,4
