Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5FLxKWv8HEFI67uKzSX27K,"Push It (feat. ANNA)","Push It (feat. ANNA)","Kid Yugi;ANNA",2026-01-02,175137,0,true,,2026-01-02T00:01:23Z,"italian trap,concerto","Universal Music Italia srL.",0.697,0.774,2,-4.485,1,0.0606,0.044,0,0.117,0.555,145.055,4
spotify:track:0j4gmizuiIh5k7F62XISiF,"Take 6","Take 6","Shiva",2025-11-25,164598,74,false,,2026-01-02T00:01:23Z,"italian trap,concerto","Milano Ovest",0.584,0.735,1,-2.853,1,0.127,0.0151,0,0.176,0.451,160.032,4
spotify:track:46w75NfLpau9juuoeiY3ZM,"COME SE NON FOSSI NEI GUAI","SANTANA MONEY GANG","Sfera Ebbasta;Shiva",2025-04-10,209962,71,true,,2026-01-02T00:01:23Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.629,0.862,6,-6.252,0,0.103,0.0645,0,0.11,0.0964,139.977,4
spotify:track:6iFfFjKnr615pD7aL5Z2Cx,"Warzone (feat. Artie 5ive, Capo Plaza & Nerissima Serpe)","Warzone (feat. Artie 5ive, Capo Plaza & Nerissima Serpe)","Nko;Artie 5ive;Capo Plaza;Nerissima Serpe",2025-12-19,146526,68,true,,2026-01-02T00:01:23Z,"italian trap,drill,trap","Warner Music",0.652,0.872,0,-3.741,0,0.0639,0.0169,0,0.302,0.393,189.863,4
spotify:track:4Vq5sGWPEemZvBWP7CRjj2,"Bene ormai","TRAUMA","Tony Boy",2026-01-02,190628,0,true,,2026-01-02T00:01:23Z,"italian trap,concerto","Warner Music",0.554,0.736,2,-4.697,1,0.31,0.0571,0.000314,0.205,0.348,87.5,4
spotify:track:4HOKazI3kyLZQWbT5AItaY,"Tardi (feat. Sfera Ebbasta)","GLORIA","Paky;Sfera Ebbasta",2025-12-12,153429,70,true,,2026-01-02T00:01:23Z,"italian trap,concerto,trap","Warner Music",0.651,0.54,0,-7.54,1,0.241,0.443,0.00000584,0.14,0.0524,90.035,4
spotify:track:0a9Gi8DA7tzR3HV46V1Ppv,"Berserker","Berserker","Kid Yugi;Ill Santo;FT Kings",2025-12-17,132705,72,true,,2026-01-02T00:01:23Z,"italian trap","Universal Music Italia srL.",0.729,0.663,1,-4.527,1,0.122,0.0951,0,0.0905,0.393,113.527,5
spotify:track:6poK4dgWF5wQmmB7i92mhh,"G&V","G&V","IvanBi",2025-06-20,112500,68,true,,2026-01-02T00:01:23Z,"italian trap","Warner Music",0.779,0.646,0,-5.677,1,0.144,0.225,0,0.0355,0.733,109.999,4
spotify:track:27teXnNekA5jBFLCcsCFoq,"7ELEVEN","BIG 5","Artie 5ive",2025-07-18,127499,69,true,,2026-01-02T00:01:23Z,"italian trap","Warner Music",0.674,0.88,5,-4.227,0,0.0315,0.0741,0,0.12,0.692,140.026,4
spotify:track:5EtlojWtD8y7pnoDb80JwP,"081","081","Geolier",2025-12-05,175734,73,true,,2026-01-02T00:01:23Z,"canzone napoletana,concerto,italian trap,neomelodico","Warner Music",0.726,0.876,6,-3.369,0,0.0401,0.138,0.000122,0.247,0.781,106.974,4
