Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,"Revenge","17","XXXTENTACION",2017-08-25,120026,82,true,,2025-12-23T00:44:32Z,"emo rap","Bad Vibes Forever / EMPIRE",0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,4
spotify:track:5n0F3BaTyAzgr7zBEXoUWg,"Pasos De Fuego","Pasos De Fuego","Flame Runner;JXNDRO",2025-04-30,111840,61,false,,2025-12-23T00:44:32Z,"phonk,brazilian phonk","PCR",0.672,0.847,0,-2.312,0,0.0575,0.0029,0,0.268,0.433,124.92,4
spotify:track:6M4nkEPZMj58acftDRTuKL,"Tous les mêmes","racine carrée","Stromae",2013-01-01,210933,72,false,,2025-12-23T00:44:32Z,"french pop","Universal Music Distributed Labels",0.701,0.638,5,-9.061,0,0.165,0.223,0.00219,0.279,0.646,109.96,4
spotify:track:1KhbRl7jNVVPzkuSkSTADs,"Back It Up","Deleted Scenes From The Cutting Room Floor","Caro Emerald",2010-01-29,232804,52,false,,2025-12-23T00:44:32Z,"electro swing,swing music","MVKA",0.902,0.78,0,-6.126,1,0.135,0.178,0.0166,0.118,0.714,107.965,4
spotify:track:1f1wT6Q7Buxb3OD0BqMW8O,"I See Fire","x (10th Anniversary Edition)","Ed Sheeran",2024-06-21,299146,69,false,,2025-12-23T00:44:32Z,"soft pop","Atlantic Records UK",0.591,0.176,10,-11.692,0,0.0396,0.638,0.00000481,0.252,0.296,152.122,4
spotify:track:69VAE3LA7jn5rGAsdflMOS,"EL PIBE DE ORO","DIO LO SA","Geolier;Poison Beatz",2024-06-07,155493,62,true,,2025-12-23T00:44:32Z,"canzone napoletana,concerto,italian trap,neomelodico","Warner Music",0.742,0.533,4,-7.292,0,0.247,0.132,0,0.0874,0.792,142.049,4
spotify:track:4u7EnebtmKWzUH433cf5Qv,"Bohemian Rhapsody - Remastered 2011","A Night At The Opera (2011 Remaster)","Queen",1975-11-21,354320,82,false,,2025-12-23T00:44:32Z,"classic rock,rock,glam rock","EMI",0.411,0.404,0,-9.928,0,0.0511,0.271,0,0.3,0.226,71.068,4
spotify:track:3oUEzTAoOxqZHN4xiqTGqJ,"Bécane - A COLORS SHOW","Bécane - A COLORS SHOW","Yamê;COLORS",2023-06-01,182440,66,true,,2025-12-23T00:44:32Z,"french rap","COLORSxSTUDIOS",0.505,0.527,10,-7.765,1,0.0958,0.327,0,0.0974,0.235,120.462,4
spotify:track:5e0b9LgOfi3aJSKXFcOWRe,"Beanie","Beanie","Chezile",2023-11-28,132160,84,false,,2025-12-23T00:44:32Z,"","Chezile / 10K Projects",0.531,0.556,5,-6.245,1,0.0252,0.407,0.00915,0.318,0.156,138.978,3
spotify:track:6VObnIkLVruX4UVyxWhlqm,"Skyfall","Skyfall","Adele",2012-10-04,286081,86,false,,2025-12-23T00:44:32Z,"soft pop","XL Recordings/Columbia",0.346,0.552,0,-6.864,0,0.0282,0.417,0,0.114,0.0789,75.881,4
spotify:track:3BovdzfaX4jb5KFQwoPfAw,"Beat It","Thriller","Michael Jackson",1982-11-30,258296,83,false,,2025-12-23T00:44:32Z,"","Epic",0.776,0.711,3,-9.03,0,0.0473,0.0242,0.000353,0.234,0.901,138.728,4
spotify:track:7MhNCT34oaLIxwAsZlZd67,"Without Me","Manic","Halsey;Juice WRLD",2020-01-17,228951,70,true,,2025-12-23T00:44:32Z,"melodic rap,emo rap","Capitol Records",0.744,0.514,6,-6.103,1,0.0746,0.355,0,0.183,0.449,136.013,4
spotify:track:3b94xAWtPDqjPLXH2g754A,"Urca Urca Tirulero","Disney Forever Le Piu' Belle Canzoni Disney","Cast of Robin Hood",2003-01-01,110266,42,false,,2025-12-23T00:44:32Z,"","Disney Records (Europe)",0.646,0.212,10,-14.706,1,0.139,0.934,0.000846,0.107,0.546,81.406,4
spotify:track:1DiDgAj69VsjgwApIYSGvk,"Le Campane Di Notre Dame","The Hunchback Of Notre Dame Original Soundtrack","Carlo Ragone;Franco Chillemi;Eros Pagni",2002-01-01,385586,39,false,,2025-12-23T00:44:32Z,"","Disney Records (Europe)",0.414,0.309,2,-14.268,0,0.0763,0.815,0,0.214,0.29,103.522,4
spotify:track:7J1uxwnxfQLu4APicE5Rnj,"Billie Jean","Thriller","Michael Jackson",1982-11-30,293802,87,false,,2025-12-23T00:44:32Z,"","Epic",0.932,0.457,11,-9.62,0,0.0541,0.0173,0.0436,0.0414,0.884,117.002,4
spotify:track:0mEdbdeRFQwBhN4xfyIeUM,"Can't Tell Me Nothing","Graduation","Kanye West",2007-09-11,271600,83,true,,2025-12-23T00:44:32Z,"rap","Roc-A-Fella",0.587,0.62,5,-6.133,0,0.042,0.0122,0,0.82,0.106,79.928,4
spotify:track:3LtpKP5abr2qqjunvjlX5i,"Doja","Doja","Central Cee",2022-07-21,97392,78,true,,2025-12-23T00:44:32Z,"uk drill,drill,uk grime,grime","Central Cee",0.911,0.573,6,-7.43,1,0.288,0.38,0,0.403,0.972,140.04,4
spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,"All The Stars (with SZA) - From ""Black Panther: The Album""","Black Panther The Album Music From And Inspired By","Kendrick Lamar;SZA",2018-02-09,232186,90,true,,2025-12-23T00:44:32Z,"hip hop,west coast hip hop,r&b","Black Panther (TDE/DMG) PS",0.695,0.633,8,-4.946,1,0.0599,0.0612,0.000195,0.0926,0.557,96.782,4
spotify:track:5T7ywazdGIydr6JCW6t02j,"Smooth Criminal - 2012 Remaster","Bad (Remastered)","Michael Jackson",1987-08-31,257766,79,false,,2025-12-23T00:44:32Z,"","Epic/Legacy",0.853,0.981,8,-3.947,1,0.0751,0.247,0.468,0.306,0.595,118.193,4
spotify:track:2HHtWyy5CgaQbC7XSoOb0e,"Eye of the Tiger","Eye Of The Tiger","Survivor",1982,243773,78,false,,2025-12-23T00:44:32Z,"","Volcano",0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,4
