Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5FVd6KXrgO9B3JPmC8OPst,"Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,87,false,manuelmarrali,2019-02-25T20:05:23Z,"indie,garage rock","Domino Recording Co",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
spotify:track:2AT8iROs4FQueDv2c8q2KE,"R U Mine?","AM","Arctic Monkeys",2013-09-09,201726,81,false,manuelmarrali,2019-02-25T20:05:42Z,"indie,garage rock","Domino Recording Co",0.288,0.758,6,-5.692,0,0.0371,0.00616,0,0.303,0.619,97.094,4
spotify:track:086myS9r57YsLbJpU0TgK9,"Why'd You Only Call Me When You're High?","AM","Arctic Monkeys",2013-09-09,161123,85,false,manuelmarrali,2019-02-25T20:05:47Z,"indie,garage rock","Domino Recording Co",0.691,0.631,2,-6.478,1,0.0368,0.0483,0.0000113,0.104,0.8,92.004,4
spotify:track:2x8evxqUlF0eRabbW2JBJd,"Fluorescent Adolescent","Favourite Worst Nightmare","Arctic Monkeys",2007-04-22,183893,77,false,manuelmarrali,2019-02-25T20:05:53Z,"indie,garage rock","Domino Recording Co",0.654,0.828,1,-5.377,0,0.0281,0.00146,0.000144,0.122,0.79,112.056,4
spotify:track:7nzsY8vlnKdvGOEE0rjAXZ,"Arabella","AM","Arctic Monkeys",2013-09-09,207356,76,false,manuelmarrali,2019-02-25T20:05:57Z,"indie,garage rock","Domino Recording Co",0.579,0.558,2,-6.986,1,0.0895,0.0202,0.00000126,0.212,0.506,179.949,4
spotify:track:5XeFesFbtLpXzIVDNQP22n,"I Wanna Be Yours","AM","Arctic Monkeys",2013-09-09,183956,92,false,manuelmarrali,2019-02-25T20:06:14Z,"indie,garage rock","Domino Recording Co",0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,67.528,4
spotify:track:2zzLRQ78kKfPTx8FJQCdC2,"When The Sun Goes Down","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,202133,72,true,manuelmarrali,2019-02-25T20:48:13Z,"indie,garage rock","Domino Recording Co",0.348,0.875,11,-4.758,0,0.199,0.0341,0,0.117,0.407,169.152,4
spotify:track:0NdTUS4UiNYCNn5FgVqKQY,"Snap Out Of It","AM","Arctic Monkeys",2013-09-09,193030,79,false,manuelmarrali,2019-02-25T20:48:30Z,"indie,garage rock","Domino Recording Co",0.728,0.638,5,-6.455,0,0.0336,0.249,0,0.116,0.872,130.014,4
spotify:track:3DQVgcqaP3iSMbaKsd57l5,"I Bet You Look Good On The Dancefloor","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,173680,72,false,manuelmarrali,2019-02-25T20:48:36Z,"indie,garage rock","Domino Recording Co",0.535,0.948,6,-4.19,0,0.0356,0.00225,0,0.376,0.778,103.183,4
spotify:track:2fyIS6GXMgUcSv4oejx63f,"Mardy Bum","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,175440,72,false,manuelmarrali,2019-02-25T20:51:09Z,"indie,garage rock","Domino Recording Co",0.634,0.599,2,-5.447,1,0.0365,0.0288,0,0.197,0.312,112.215,4
spotify:track:6wVWJl64yoTzU27EI8ep20,"Crying Lightning","Humbug","Arctic Monkeys",2009-08-20,224826,70,false,manuelmarrali,2019-08-01T00:07:01Z,"indie,garage rock","Domino Recording Co",0.498,0.885,4,-4.423,0,0.0461,0.0148,0.00041,0.239,0.67,106.719,4
spotify:track:0eDQj41kzBhMKQIkTt6OJR,"A Certain Romance","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,331200,64,false,manuelmarrali,2019-08-01T00:13:33Z,"indie,garage rock","Domino Recording Co",0.455,0.881,11,-5.587,1,0.0401,0.000566,0.0000606,0.11,0.201,137.949,4
spotify:track:5bsnLiT00hG37qd8p2jdVl,"Cornerstone","Humbug","Arctic Monkeys",2009-08-20,197973,67,false,manuelmarrali,2019-08-01T00:13:35Z,"indie,garage rock","Domino Recording Co",0.287,0.721,9,-5.81,1,0.0387,0.00764,0,0.328,0.763,169.252,4
spotify:track:3czdA0j4iaLDJJCoT5D8iP,"Don't Sit Down 'Cause I've Moved Your Chair","Suck It and See","Arctic Monkeys",2011-06-06,183506,58,false,manuelmarrali,2019-08-01T00:16:37Z,"indie,garage rock","Domino Recording Co",0.434,0.912,9,-5.148,1,0.0451,0.0191,0.278,0.326,0.315,119.729,4
spotify:track:0hAMkY2kwdXPPDfQ1e3BmJ,"Dancing Shoes","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,141133,62,false,manuelmarrali,2019-08-01T00:19:44Z,"indie,garage rock","Domino Recording Co",0.522,0.889,1,-4.137,1,0.0461,0.00328,0,0.345,0.852,144.499,4
spotify:track:5eyTC5GZzpzlN7YRO9AoPf,"The View From The Afternoon","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,222946,61,false,manuelmarrali,2019-08-01T00:19:53Z,"indie,garage rock","Domino Recording Co",0.387,0.922,9,-5.192,0,0.0674,0.00487,0,0.187,0.417,146.478,4
spotify:track:2vQQfWTanvD99OeHLAoyhW,"From The Ritz To The Rubble","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,193426,67,false,manuelmarrali,2019-08-01T00:21:52Z,"indie,garage rock","Domino Recording Co",0.216,0.882,11,-5.176,0,0.0439,0.00147,0,0.308,0.656,189.286,4
spotify:track:7BuzJmV2h6eBbSDdRaDY7C,"Fake Tales Of San Francisco","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,177946,64,true,manuelmarrali,2019-08-01T00:21:59Z,"indie,garage rock","Domino Recording Co",0.454,0.778,9,-4.225,1,0.0449,0.00998,0,0.0427,0.704,127.158,4
spotify:track:6Slvi85s1hIaeykjvDe1xk,"Perhaps Vampires Is A Bit Strong But…","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,268626,56,false,manuelmarrali,2019-08-01T00:24:18Z,"indie,garage rock","Domino Recording Co",0.371,0.914,11,-4.917,0,0.081,0.000293,0.0000875,0.0852,0.394,134.982,4
spotify:track:4wMR4fRKMTyUJG6VAsmccv,"Riot Van","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,134933,60,false,manuelmarrali,2019-08-01T00:25:33Z,"indie,garage rock","Domino Recording Co",0.593,0.333,9,-14.342,1,0.046,0.358,0,0.245,0.258,103.537,4
spotify:track:56GFlp1dkt7dw56pQdTwqW,"Red Light Indicates Doors Are Secured","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,143626,57,false,manuelmarrali,2019-08-01T00:25:39Z,"indie,garage rock","Domino Recording Co",0.622,0.846,11,-4.831,0,0.0311,0.00316,0,0.0989,0.914,110.683,4
spotify:track:111SaDBbcHW0zedi4RBHDp,"You Probably Couldn't See For The Lights But You Were Staring Straight At Me","Whatever People Say I Am, That's What I'm Not","Arctic Monkeys",2006-01-29,130813,57,false,manuelmarrali,2019-08-01T00:26:01Z,"indie,garage rock","Domino Recording Co",0.58,0.972,11,-4.274,0,0.0589,0.00384,0,0.296,0.926,105.492,4
spotify:track:0nLiqZ6A27jJri2VCalIUs,"Nothing Else Matters","Metallica","Metallica",1991-08-12,388266,14,false,manuelmarrali,2019-08-01T00:28:11Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.553,0.362,4,-11.218,0,0.0263,0.0458,0.00000601,0.075,0.158,142.352,3
spotify:track:2MuWTIM3b0YEAskbeeFE1i,"Master Of Puppets","Master Of Puppets (Remastered)","Metallica",1986-03-03,515386,81,false,manuelmarrali,2019-08-01T00:28:35Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.543,0.836,4,-9.11,0,0.0353,0.000647,0.431,0.153,0.56,105.173,4
spotify:track:5sICkBXVmaCQk5aISGR3x1,"Enter Sandman","Metallica","Metallica",1991-08-12,331266,17,false,manuelmarrali,2019-08-01T00:28:57Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.577,0.828,6,-8.691,0,0.0298,0.00213,0.0114,0.0581,0.604,123.257,4
spotify:track:4aYLAF6ckQ5ooGGGM7sWAa,"The Unforgiven","Metallica","Metallica",1991-08-12,386493,10,false,manuelmarrali,2019-08-01T00:29:02Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.54,0.584,7,-9.579,1,0.0254,0.0108,0.00296,0.253,0.244,139.261,4
spotify:track:5IX4TbIR5mMHGE4wiWwKW0,"One","...And Justice For All","Metallica",1988-08-25,447440,8,false,manuelmarrali,2019-08-01T00:29:07Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.437,0.695,7,-9.447,1,0.0617,0.00111,0.0857,0.124,0.413,102.178,3
spotify:track:2R6UrJ8uWbSIiHWmvRQvN8,"Whiskey In The Jar","Garage Inc.","Metallica",1998-01-01,304693,75,false,manuelmarrali,2019-08-01T00:29:44Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.511,0.97,10,-3.72,1,0.0414,0.0000056,0.00136,0.18,0.566,132.986,4
spotify:track:2dXsILW8gzkosqleHAvl0v,"For Whom The Bell Tolls - Remastered","Ride The Lightning (Remastered)","Metallica",1984-07-27,309973,69,false,manuelmarrali,2019-08-01T00:29:49Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.518,0.858,0,-6.147,1,0.0672,0.00563,0.00349,0.0598,0.249,117.897,4
spotify:track:1PhLYngBKbeDtdmDzCg3Pb,"Sad But True","Metallica","Metallica",1991-08-12,323933,8,false,manuelmarrali,2019-08-01T00:29:56Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.633,0.846,7,-6.347,1,0.0337,0.000819,0.00139,0.0762,0.448,89.23,4
spotify:track:5nekfiTN45vlxG0eNJQQye,"Fade To Black - Remastered","Ride The Lightning (Deluxe / Remastered)","Metallica",1984-07-26,417226,71,false,manuelmarrali,2019-08-01T00:30:24Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.256,0.924,7,-6.685,1,0.113,0.00369,0.234,0.114,0.28,113.574,4
spotify:track:28WmNsclKsrVmdv3tDmoYU,"Seek & Destroy - Remastered","Kill 'Em All (Remastered)","Metallica",1983-07-24,414720,73,false,manuelmarrali,2019-08-01T00:30:31Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.445,0.964,9,-5.493,1,0.282,0.037,0.0132,0.0773,0.448,140.817,4
spotify:track:00cxd8JLO6JKUei70H4BY4,"Orion - Live","Metallica Through The Never (Music From The Motion Picture)","Metallica",2013-01-01,506866,39,false,manuelmarrali,2019-08-01T00:33:19Z,"metal,thrash metal,rock,heavy metal,hard rock","Blackened Recordings / Universal Music",0.29,0.76,8,-8.37,1,0.0427,0.00124,0.924,0.0544,0.477,166.573,3
spotify:track:1f3yAtsJtY87CTmM8RLnxf,"Smells Like Teen Spirit","Nevermind (Deluxe Edition)","Nirvana",1991-09-26,301920,10,false,manuelmarrali,2019-08-01T00:33:55Z,"grunge,rock","Geffen",0.502,0.912,1,-4.556,1,0.0564,0.0000255,0.000173,0.106,0.72,116.761,4
spotify:track:0MKGH8UMfCnq5w7nG06oM5,"Come As You Are","Nevermind (Deluxe Edition)","Nirvana",1991-09-26,218920,6,false,manuelmarrali,2019-08-01T00:34:03Z,"grunge,rock","Geffen",0.5,0.824,4,-5.846,0,0.0388,0.00016,0.00161,0.0916,0.539,120.125,4
spotify:track:11LmqTE2naFULdEP94AUBa,"Heart-Shaped Box","In Utero (Deluxe Edition)","Nirvana",1993-09-21,281160,82,false,manuelmarrali,2019-08-01T00:34:11Z,"grunge,rock","Geffen",0.256,0.641,1,-10.283,1,0.0552,0.199,0.0329,0.0853,0.382,203.006,4
spotify:track:26D1PRJjD9Jj1JGRk88KVc,"Lithium","Nevermind (Deluxe Edition)","Nirvana",1991-09-26,257053,3,false,manuelmarrali,2019-08-01T00:35:04Z,"grunge,rock","Geffen",0.678,0.656,7,-6.41,1,0.0381,0.00174,0,0.0631,0.485,123.207,4
spotify:track:55yvzYuvJYG2RUEnMK78tr,"About A Girl","Nirvana","Nirvana",2002-10-29,166640,60,false,manuelmarrali,2019-08-01T00:36:01Z,"grunge,rock","Geffen",0.409,0.932,11,-4.538,0,0.0339,0.0000187,0.0000016,0.31,0.591,131.761,4
spotify:track:5Rizj5FLb2AyNKu9esjYY6,"Rape Me","In Utero (Deluxe Edition)","Nirvana",1993-09-21,170000,72,false,manuelmarrali,2019-08-01T00:37:05Z,"grunge,rock","Geffen",0.42,0.746,8,-10.628,1,0.0467,0.0141,0,0.0661,0.229,111.886,4
