Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3ggGHTn9JnaBG0GEFraHi3,"Io sono qui","Hellvisback","Salmo",2016-02-05,180880,39,false,manuelmarrali,2019-02-13T23:37:05Z,"italian trap,concerto","Epic",0.812,0.813,10,-5.583,0,0.0984,0.0987,0.00015,0.0758,0.348,128.066,4
spotify:track:0OU4v07h5oT26f4zmxzddH,"1984","Hellvisback","Salmo",2016-02-05,249613,55,false,manuelmarrali,2019-02-13T23:37:10Z,"italian trap,concerto","Epic",0.703,0.764,8,-4.532,1,0.29,0.225,0,0.158,0.746,89.818,4
spotify:track:5as7xdsoQowstUr16TdWsq,"Hellvisback","Hellvisback","Salmo",2016-02-05,276133,40,false,manuelmarrali,2019-02-13T23:37:20Z,"italian trap,concerto","Epic",0.48,0.869,2,-6.006,1,0.234,0.0159,0,0.144,0.335,94.122,4
spotify:track:3Ls9yKzshQye18Tx2AvOb6,"90MIN","Playlist","Salmo",2018-11-09,231920,58,true,manuelmarrali,2019-02-13T23:37:35Z,"italian trap,concerto","Epic",0.549,0.765,1,-5.138,1,0.309,0.0253,0,0.855,0.513,122.002,4
spotify:track:2rgOAX5Cj3pk8JFnaPwJbd,"STAI ZITTO (feat. Fabri Fibra)","Playlist","Salmo;Fabri Fibra",2018-11-09,202573,54,true,manuelmarrali,2019-02-13T23:37:40Z,"italian trap,concerto","Epic",0.705,0.796,6,-5.214,1,0.295,0.0917,0,0.335,0.909,100.196,4
spotify:track:2sCkQ5AoGNKy0urYd2E3BT,"RICCHI E MORTI","Playlist","Salmo",2018-11-09,138240,43,true,manuelmarrali,2019-02-13T23:37:49Z,"italian trap,concerto","Epic",0.863,0.901,5,-5.244,0,0.303,0.152,0,0.526,0.584,125.009,4
spotify:track:7wC76LWyNxaP3hjGzbWOcN,"CABRIOLET (feat. Sfera Ebbasta)","Playlist","Salmo;Sfera Ebbasta",2018-11-09,185573,53,true,manuelmarrali,2019-02-13T23:37:55Z,"italian trap,concerto,trap","Epic",0.548,0.531,0,-7.436,1,0.264,0.15,0.0000105,0.0919,0.309,150.058,4
spotify:track:4spkZ6gRKh827yp6JI6TN1,"SPARARE ALLA LUNA (feat. Coez)","Playlist","Salmo;Coez",2018-11-09,211666,45,true,manuelmarrali,2019-02-13T23:38:02Z,"italian trap,concerto,indie","Epic",0.732,0.681,4,-7.665,0,0.259,0.381,0.000177,0.111,0.151,85.041,4
spotify:track:2fkVZYFv9hOejIsLzZy8ad,"IL CIELO NELLA STANZA (feat. NSTASIA)","Playlist","Salmo;NSTASIA",2018-11-09,186213,66,true,manuelmarrali,2019-02-13T23:38:10Z,"italian trap,concerto","Epic",0.755,0.501,1,-9.551,1,0.189,0.0867,0.00000145,0.146,0.267,134.998,4
spotify:track:4Yr7z1MFiI2D3QnldF107i,"PERDONAMI","Playlist","Salmo",2018-11-09,134413,51,true,manuelmarrali,2019-02-13T23:38:19Z,"italian trap,concerto","Epic",0.704,0.745,6,-4.722,1,0.272,0.0699,0,0.0877,0.606,76.592,4
spotify:track:1VNARx6Sm6ZYAsDMCGiU1B,"LUNEDI'","Playlist","Salmo",2018-11-09,205266,58,true,manuelmarrali,2019-02-13T23:38:25Z,"italian trap,concerto","Epic",0.571,0.762,10,-8.225,1,0.46,0.425,0.00000755,0.114,0.467,124.382,4
