Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3js3wKPw8VxBWtcXtwyUnA,"Rockstar","Rockstar","Sfera Ebbasta",2018-01-19,195946,60,true,manuelmarrali,2018-07-04T23:59:13Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.798,0.627,9,-6.234,1,0.111,0.263,0,0.211,0.762,149.989,4
spotify:track:0dLToDou8YHYJpQltj3Ijy,"Cupido (feat. Quavo)","Rockstar","Sfera Ebbasta;Quavo",2018-01-19,210106,60,true,manuelmarrali,2018-07-04T23:59:18Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.803,0.695,4,-5.164,0,0.0413,0.0622,0,0.105,0.458,119.978,4
spotify:track:0kHTkvGavvk2MjBTSUtOZx,"Ricchi x Sempre","Rockstar","Sfera Ebbasta",2018-01-19,223786,63,true,manuelmarrali,2018-07-04T23:59:28Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.599,0.734,3,-7.568,0,0.413,0.196,0,0.187,0.133,211.842,4
spotify:track:4VVG3HBGaqSNZqIpmewIA6,"Sciroppo (feat. DrefGold)","Rockstar","Sfera Ebbasta;DrefGold",2018-01-19,205013,59,true,manuelmarrali,2018-07-04T23:59:34Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.777,0.721,6,-6.097,1,0.0719,0.0774,0,0.0801,0.665,161.976,4
spotify:track:3cGuiySfwJPXqvE15OiEEg,"Tran Tran","Rockstar","Sfera Ebbasta",2018-01-19,219733,65,true,manuelmarrali,2018-07-04T23:59:41Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.774,0.637,6,-5.523,0,0.0332,0.137,0,0.0694,0.886,126.058,4
spotify:track:5DPkdv0VXzyDmXIwxgJodf,"Figli Di Papà","Sfera Ebbasta","Sfera Ebbasta",2016-09-09,205480,57,false,manuelmarrali,2018-07-04T23:59:51Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.653,0.852,11,-4.712,0,0.0413,0.00815,0.00000574,0.0766,0.48,112.966,4
spotify:track:25J3gcZhNjzBwcaDfZjQli,"Notti","Sfera Ebbasta","Sfera Ebbasta",2016-09-09,170840,60,false,manuelmarrali,2018-07-04T23:59:56Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.787,0.653,8,-5.275,0,0.0367,0.0894,0,0.126,0.282,132.135,4
spotify:track:4ySxBjhmdnkeFUqhKxW3cY,"Visiera A Becco","Sfera Ebbasta","Sfera Ebbasta",2016-09-09,187573,67,false,manuelmarrali,2018-07-05T00:00:02Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.691,0.778,2,-5.205,0,0.0722,0.0871,0,0.0977,0.159,143.964,4
spotify:track:0W2dRTfCkaanZgRimFEMay,"XNX","Rockstar","Sfera Ebbasta",2018-01-19,143693,48,true,manuelmarrali,2018-07-05T00:11:44Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.762,0.721,2,-5.293,1,0.0529,0.0269,0.00023,0.167,0.155,129.978,4
spotify:track:0l8vhDaEztxLCQsFOAX64d,"Pablo","Pablo","Rvssian;Sfera Ebbasta",2018-07-20,165941,54,false,manuelmarrali,2018-07-25T23:22:21Z,"trap latino,italian trap,concerto,trap","Universal Music Italia srL.",0.813,0.663,6,-7.84,0,0.0433,0.071,0,0.115,0.343,140.016,4
spotify:track:42HeBYfUVXY04V9hnjOsni,"Ciny","XDVR Reloaded","Sfera Ebbasta",2015-11-23,166346,58,true,manuelmarrali,2019-03-31T23:26:41Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.717,0.717,0,-6.968,0,0.0361,0.0622,0,0.227,0.55,120.974,4
spotify:track:4pv9ICGrPxNMoCMm7ffOPu,"Dexter","Dexter","Sfera Ebbasta",2017-03-10,155769,51,true,manuelmarrali,2019-03-31T23:28:11Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.763,0.543,6,-5.512,1,0.0284,0.533,0.00000836,0.132,0.513,104.002,4
spotify:track:1YzYHWiYz62ACkRHHxhDVC,"BHMG","Sfera Ebbasta","Sfera Ebbasta",2016-09-09,161066,53,false,manuelmarrali,2019-03-31T23:31:59Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.842,0.659,4,-4.721,0,0.261,0.174,0,0.254,0.608,132.996,4
spotify:track:6irREbr84dkZagDPSZbaZg,"Panette","XDVR Reloaded","Sfera Ebbasta;Charlie Charles",2015-11-23,195691,0,true,manuelmarrali,2019-11-03T12:43:34Z,"italian trap,concerto,trap","Universal Music Group",0.874,0.622,8,-7.212,1,0.0566,0.526,0,0.161,0.329,130.015,4
spotify:track:5Z0Mx6SeUAFA2rgZB9t1Nu,"Serpenti A Sonagli","Rockstar","Sfera Ebbasta",2018-01-19,194173,62,true,manuelmarrali,2019-11-10T19:25:03Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.68,0.613,5,-5.998,0,0.063,0.182,0,0.113,0.282,150.04,4
spotify:track:0OqqUb8qENZbaltLdr124K,"Brutti Sogni","XDVR Reloaded","Sfera Ebbasta",2015-11-23,195121,50,true,manuelmarrali,2021-06-12T14:29:52Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.605,0.64,5,-6.171,0,0.11,0.0682,0,0.0946,0.403,122.863,4
spotify:track:3StzACYDEYmfOOWNU83iRs,"Cavallini (feat. Sfera Ebbasta)","Crack Musica","Dark Polo Gang;Sfera Ebbasta",2016-03-10,251653,57,true,manuelmarrali,2021-09-13T22:02:47Z,"italian trap,trap,concerto","Universal Music Italia srL.",0.764,0.657,1,-8.481,0,0.122,0.13,0,0.16,0.408,123.948,4
