Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2nRWqhOJRXt2vV30xXrNVy,"Guai","Guai","Shiva",2019-03-28,174800,0,true,manuelmarrali,2019-04-04T22:13:44Z,"italian trap,concerto","Guna",0.799,0.624,9,-7.504,0,0.462,0.0699,0,0.0966,0.497,150.08,4
spotify:track:3unYBoYZHfhRE10KcW5C4o,"Santana","Santana","Shiva",2018-10-01,153290,0,false,manuelmarrali,2019-04-04T22:13:48Z,"italian trap,concerto","Shiva",0.697,0.643,1,-6.214,0,0.282,0.0515,0,0.0841,0.473,154.927,4
spotify:track:2CI18uKNu7wcXmHNYyGosK,"Come No","Come No","Shiva",2018-11-21,134800,0,true,manuelmarrali,2019-04-04T22:13:52Z,"italian trap,concerto","Guna",0.671,0.651,11,-7.953,1,0.429,0.198,0,0.126,0.802,149.907,4
spotify:track:7kMnkYMQJp6qtGICG0p3O3,"Acciaio","Solo","Shiva;Mostro",2018-03-26,197000,26,true,manuelmarrali,2019-04-04T22:13:58Z,"italian trap,concerto","Honiro",0.641,0.805,3,-5.573,1,0.264,0.182,0,0.113,0.24,92.042,4
spotify:track:38HjH31sFNW0MNpy4SesA1,"Radar","Radar","Shiva",2019-01-18,180461,0,false,manuelmarrali,2019-04-04T22:19:58Z,"italian trap,concerto","Guna",0.507,0.773,9,-6.156,1,0.424,0.155,0,0.192,0.336,176.106,4
spotify:track:2EKYKzKNq2vfUtZurpti0b,"Teste di cazzo","Solo","Shiva;Giaime",2018-03-26,216000,13,true,manuelmarrali,2019-04-04T22:22:18Z,"italian trap,concerto","Honiro",0.606,0.618,0,-5.127,0,0.318,0.114,0,0.107,0.567,119.506,4
spotify:track:4V8TeDQ1uuPetXlJMMtxIT,"Ragazzi miei","Solo","Shiva",2018-03-26,206000,13,true,manuelmarrali,2019-04-04T22:26:50Z,"italian trap,concerto","Honiro",0.73,0.64,1,-6.213,0,0.415,0.0427,0,0.0932,0.418,102.176,4
spotify:track:7pSZEJXyEz3jClqWHV7eJ6,"Osg15","Osg15","Cranio Randagio;Shiva;Ticky B;Bucha;SUERTE;Wazzy",2016-05-23,289615,10,true,manuelmarrali,2019-04-04T22:31:01Z,"italian trap,concerto","Honiro Ent",0.691,0.66,2,-6.532,1,0.283,0.0458,0,0.229,0.19,78.01,4
spotify:track:2apEiaXH85KlumKHZ0bMUt,"Il mio nome","Solo","Shiva",2018-03-26,223500,11,true,manuelmarrali,2019-04-05T11:31:02Z,"italian trap,concerto","Honiro",0.536,0.546,1,-7.434,1,0.0935,0.0453,0,0.12,0.0485,95.102,4
spotify:track:3XdEzXpWRV24395S3T6ktZ,"Fuoco","Solo","Shiva",2018-03-26,179000,12,true,manuelmarrali,2019-04-05T11:46:03Z,"italian trap,concerto","Honiro",0.602,0.61,9,-6.606,1,0.32,0.0391,0,0.115,0.17,108.784,4
spotify:track:6ce9y1s448zP0H9CBdVw6m,"Barrio","Solo","Shiva;Oni One;Nerone",2018-03-26,266458,11,true,manuelmarrali,2019-04-05T11:51:38Z,"italian trap,concerto","Honiro",0.697,0.811,8,-7.748,1,0.278,0.117,0,0.0952,0.468,95.302,3
spotify:track:19yFeB22CEasLQvkjVOWgk,"Buio","Tempo anima","Shiva",2017-01-27,198750,9,false,manuelmarrali,2019-04-05T16:05:18Z,"italian trap,concerto","Honiro",0.49,0.779,9,-3.529,0,0.253,0.314,0,0.135,0.515,77.717,4
spotify:track:4MUWDcumkayvS2OiuizDOL,"Ai fantasmi","Tempo anima","Shiva",2017-01-27,293504,6,false,manuelmarrali,2019-04-05T16:05:21Z,"italian trap,concerto","Honiro",0.383,0.832,2,-4.971,1,0.27,0.0526,0,0.11,0.37,81.012,4
spotify:track:5mn8bU8IjYqr8ZqTDmLtSO,"Bossoli","Bossoli","Shiva",2019-09-05,178758,57,true,manuelmarrali,2019-09-06T13:56:28Z,"italian trap,concerto","Jive",0.825,0.655,5,-8.475,0,0.255,0.436,0,0.138,0.8,145.045,3
spotify:track:1Xm2e1vDwOMeJJioWuG1s7,"Soldi in Nero - feat. Sfera Ebbasta","Soldi in Nero (feat. Sfera Ebbasta)","Shiva;Sfera Ebbasta",2019-11-28,183797,64,false,manuelmarrali,2019-11-28T13:32:21Z,"italian trap,concerto,trap","Jive",0.748,0.662,6,-4.832,0,0.285,0.149,0,0.17,0.346,157.918,4
