Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7HwvPmK74MBRDhCIyMXReP,"blun7 a swishland","23 6451","thasup",2019-11-15,167760,55,true,manuelmarrali,2019-12-05T16:30:32Z,"italian trap","Epic",0.692,0.792,7,-5.984,1,0.245,0.13,0,0.255,0.566,129.883,4
spotify:track:0I26eEAwEoii0wHuFqwhYO,"sw1n6o - feat. Salmo","23 6451","thasup;Salmo",2019-11-15,184037,48,true,manuelmarrali,2019-12-05T16:30:39Z,"italian trap,concerto","Epic",0.569,0.828,0,-5.554,0,0.0857,0.122,0.00000705,0.785,0.786,169.982,4
spotify:track:0LfMuWu6FKNSDHEoxHu9iK,"m12ano - feat. Mara Sattei","23 6451","thasup;Mara Sattei",2019-11-15,188426,48,true,manuelmarrali,2019-12-05T16:30:43Z,"italian trap","Epic",0.577,0.514,2,-6.407,1,0.0392,0.0431,0.0000322,0.0843,0.479,64.822,4
spotify:track:020wG4EHTwBy5h2rbpxqvK,"SUPREME - L'ego (feat. tha Supreme & Sfera Ebbasta)","Persona","Marracash;thasup;Sfera Ebbasta",2019-10-31,223045,0,true,manuelmarrali,2019-12-05T16:30:59Z,"concerto,italian trap,trap","Universal Music Italia srL.",0.656,0.661,9,-5.888,1,0.0602,0.0686,0,0.125,0.509,140.956,4
spotify:track:5tlRHNdTy4la5CuTkbYeQE,"come fa1","23 6451","thasup",2019-11-15,128774,46,true,manuelmarrali,2019-12-05T16:31:10Z,"italian trap","Epic",0.649,0.562,0,-7.194,0,0.0465,0.147,0.0000577,0.169,0.347,128.039,4
spotify:track:5nL0vuUo0oBm26obUe5Ogu,"2ollipop","23 6451","thasup",2019-11-15,149305,44,true,manuelmarrali,2019-12-05T16:31:15Z,"italian trap","Epic",0.768,0.756,7,-5.402,1,0.0988,0.31,0,0.0745,0.856,160.049,4
spotify:track:5YxP1CkunbhUQVvctFOHa7,"fuck 3x","23 6451","thasup",2019-11-15,161266,57,true,manuelmarrali,2019-12-05T16:31:23Z,"italian trap","Epic",0.655,0.814,5,-5.472,0,0.0823,0.0698,0,0.107,0.69,180.082,4
spotify:track:1V7hvLe3fpZTMoqKLkBDgW,"scuol4","23 6451","thasup",2019-11-15,169588,50,true,manuelmarrali,2019-12-05T16:31:33Z,"italian trap","Epic",0.696,0.7,2,-5.573,1,0.0663,0.143,0,0.0431,0.771,136.207,4
spotify:track:5zYSf28jARgmMwk8FIaHnI,"6itch remix - feat. Nitro","23 6451","thasup;Nitro",2019-11-15,150753,42,true,manuelmarrali,2019-12-05T16:31:39Z,"italian trap","Epic",0.699,0.883,10,-6.029,0,0.137,0.057,0,0.222,0.683,88.546,4
spotify:track:3vPXCd0uNm66sbDEDG5Vwd,"m8nstar","23 6451","thasup",2019-11-15,164825,48,false,manuelmarrali,2019-12-05T16:31:49Z,"italian trap","Epic",0.58,0.758,4,-6.448,0,0.044,0.0548,0,0.114,0.437,164.924,4
spotify:track:5Qy9jtZdxUnFXmgPp3u5VZ,"oh 9od - feat. Nayt","23 6451","thasup;nayt",2019-11-15,204467,56,true,manuelmarrali,2019-12-05T16:31:56Z,"italian trap,concerto","Epic",0.761,0.714,0,-5.312,0,0.134,0.155,0.00000858,0.256,0.737,143.016,4
spotify:track:7KksdXBhdufqWDxGxyt4I7,"no14 - feat. Dani Faiv","23 6451","thasup;Dani Faiv",2019-11-15,176440,46,true,manuelmarrali,2019-12-05T16:32:24Z,"italian trap","Epic",0.621,0.694,10,-7.773,0,0.0987,0.214,0.00000213,0.155,0.644,90.059,4
spotify:track:5Bjp0v6Pi3AS8PzZQG2nrg,"gua10 - feat. Lazza","23 6451","thasup;Lazza",2019-11-15,177223,41,true,manuelmarrali,2019-12-05T16:32:30Z,"italian trap,concerto","Epic",0.658,0.756,1,-5.063,1,0.143,0.0519,0,0.0399,0.664,153.913,4
spotify:track:2lcX7to2eZFOkVCJjSwdAz,"parano1a k1d - feat. Fabri Fibra","23 6451","thasup;Fabri Fibra",2019-11-15,144098,37,true,manuelmarrali,2019-12-05T16:32:43Z,"italian trap,concerto","Epic",0.687,0.742,11,-6.683,0,0.178,0.132,0.000148,0.118,0.768,100.927,4
spotify:track:75UNZ7tjYzsoTMgmpWdzw6,"pers0na2 - feat. Gemitaiz, Madman","23 6451","thasup;Gemitaiz;MadMan",2019-11-15,251511,44,true,manuelmarrali,2019-12-05T16:33:10Z,"italian trap","Epic",0.682,0.79,7,-5.15,0,0.0723,0.189,0,0.115,0.676,122.99,4
spotify:track:06SzxHiKstZ859RmekMlJx,"bubb1e 9um","23 6451","thasup",2019-11-15,118717,39,true,manuelmarrali,2019-12-05T16:34:02Z,"italian trap","Epic",0.808,0.754,6,-7.364,0,0.111,0.0296,0,0.342,0.645,128.042,4
spotify:track:34UHhwlly3SHryWuVfMOJm,"Fuori E Dentro (feat. thasup)","Scatola Nera","Gemitaiz;MadMan;thasup",2019-09-19,170000,53,true,manuelmarrali,2019-12-05T16:34:31Z,"italian trap","Universal Music Italia srL.",0.919,0.582,2,-7.201,1,0.119,0.111,0,0.118,0.538,123.947,4
spotify:track:2gUn6S1SuuXK0BvypPKnir,"NO WAY (feat. Nitro) - prod. Low Kidd","MACHETE MIXTAPE 4","MACHETE;Tedua;thasup;Nitro",2019-07-05,218023,44,true,manuelmarrali,2019-12-05T16:34:57Z,"italian trap,concerto","Epic",0.739,0.727,6,-7.072,0,0.329,0.0344,0,0.681,0.43,131.024,4
