Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:435NOlfzITSEghoaUNRle3,"PHANTOM (feat. 50 Cent)","PHANTOM (feat. 50 Cent)","Geolier;50 Cent",2025-12-31,172166,63,true,,2026-01-02T13:59:00Z,"canzone napoletana,concerto,italian trap,neomelodico,old school hip hop,east coast hip hop","Warner Music",0.649,0.705,11,-4.331,0,0.096,0.00849,0.000344,0.143,0.394,89.987,4
spotify:track:1YaSQXYPqhwtw35Wf3Z0nI,"L'Amore Non Mi Basta","Schiena","Emma",2013-01-01,211453,74,false,,2026-01-02T13:59:00Z,"","Universal Music Italia srL.",0.718,0.69,2,-4.947,0,0.0347,0.257,0,0.123,0.746,103.934,4
spotify:track:5tY8rR8cdFsQdBauMGB7nz,"DONNE RICCHE - Acoustic Version","PECCATO PER I TESTI (Acoustic Version)","TonyPitony",2025-12-03,172000,61,true,,2026-01-02T13:59:00Z,"","TonyPitony Produziony",0.663,0.24,11,-11.567,1,0.1,0.909,0,0.0807,0.618,121.89,4
spotify:track:3qhlB30KknSejmIvZZLjOD,"End of Beginning","DECIDE","Djo",2022-09-16,159245,95,false,,2026-01-02T13:59:00Z,"","Djo",0.689,0.454,2,-7.643,1,0.0584,0.0351,0.00259,0.0707,0.912,159.982,4
spotify:track:78F6s5j8febWk0ICOAIxjM,"FOTOGRAFIA","FOTOGRAFIA","Geolier",2025-11-07,224767,75,true,,2026-01-02T13:59:00Z,"canzone napoletana,concerto,italian trap,neomelodico","Warner Music",0.572,0.521,3,-5.857,1,0.036,0.712,0,0.102,0.159,122.384,4
spotify:track:1VX2LLBpUPS2QJVou4WGz3,"Questa domenica","TUTTA VITA (SEMPRE)","Olly;Juli",2025-09-26,216098,71,false,,2026-01-02T13:59:00Z,"concerto","Epic",0.555,0.484,8,-9.212,1,0.0332,0.251,0,0.166,0.507,81.891,4
spotify:track:5EtlojWtD8y7pnoDb80JwP,"081","081","Geolier",2025-12-05,175734,73,true,,2026-01-02T13:59:00Z,"canzone napoletana,concerto,italian trap,neomelodico","Warner Music",0.726,0.876,6,-3.369,0,0.0401,0.138,0.000122,0.247,0.781,106.974,4
spotify:track:53iuhJlwXhSER5J2IYYv1W,"The Fate of Ophelia","The Life of a Showgirl","Taylor Swift",2025-10-03,226073,99,false,,2026-01-02T13:59:00Z,"","Taylor Swift",0.726,0.598,5,-5.179,1,0.0291,0.265,0,0.102,0.519,123.921,4
spotify:track:7EOKcZX9TRkIs0nwWbCCbD,"Non è mica te","Amarsi è la rivoluzione","Eddie Brock",2025-05-02,187698,72,false,,2026-01-02T13:59:00Z,"","Warner Music",0.667,0.583,11,-5.542,1,0.0479,0.252,0,0.109,0.224,117.956,4
spotify:track:6iOndD4OFo7GkaDypWQIou,"La Plena - W Sound 05","La Plena (W Sound 05)","W Sound;Beéle;Ovy On The Drums",2025-02-19,150001,89,true,,2026-01-02T13:59:00Z,"latin afrobeats,reggaeton,pop urbano","WEA Latina",0.894,0.643,5,-3.485,1,0.132,0.543,0.000984,0.101,0.659,99.039,4
spotify:track:16mdISuTFms1vnxc8gXyQu,"Esibizionista","MA IO SONO FUOCO","Annalisa",2025-10-10,207000,71,false,,2026-01-02T13:59:00Z,"italo dance,concerto","Warner Music",0.727,0.878,1,-2.102,0,0.0418,0.126,0,0.2,0.577,124.964,4
spotify:track:6poK4dgWF5wQmmB7i92mhh,"G&V","G&V","IvanBi",2025-06-20,112500,68,true,,2026-01-02T13:59:00Z,"italian trap","Warner Music",0.779,0.646,0,-5.677,1,0.144,0.225,0,0.0355,0.733,109.999,4
spotify:track:1QMGYNbDtHIRzDMKugpg7t,"Balorda nostalgia","TUTTA VITA (SEMPRE)","Olly;Juli",2025-09-26,197708,69,false,,2026-01-02T13:59:00Z,"concerto","Epic",0.541,0.562,1,-7.457,1,0.0496,0.0963,0,0.119,0.156,109.902,4
spotify:track:6DhMZVuD6TH0jd4bMNChCU,"PER TE","PER SOLDI E PER AMORE","Ernia",2025-09-18,214934,73,false,,2026-01-02T13:59:00Z,"italian trap","Universal Music Italia srL.",0.604,0.365,1,-9.172,1,0.049,0.793,0,0.103,0.485,151.987,3
spotify:track:0a9Gi8DA7tzR3HV46V1Ppv,"Berserker","Berserker","Kid Yugi;Ill Santo;FT Kings",2025-12-17,132705,72,true,,2026-01-02T13:59:00Z,"italian trap","Universal Music Italia srL.",0.729,0.663,1,-4.527,1,0.122,0.0951,0,0.0905,0.393,113.527,5
spotify:track:0rjVRGqVuNwnGCxwBkBZXd,"FELLINI (feat. Kid Yugi)","PER SOLDI E PER AMORE","Ernia;Kid Yugi",2025-09-18,165548,73,true,,2026-01-02T13:59:00Z,"italian trap","Universal Music Italia srL.",0.838,0.497,7,-7.952,0,0.393,0.407,0.00000474,0.0905,0.811,81.98,4
spotify:track:0jkAr7eZsvWDLYiQCfaxak,"NEON","SANTANA MONEY GANG","Sfera Ebbasta;Shiva",2025-04-10,226906,73,true,,2026-01-02T13:59:00Z,"italian trap,concerto,trap","Universal Music Italia srL.",0.605,0.676,10,-3.896,0,0.0402,0.0249,0,0.175,0.515,155.066,4
spotify:track:1ej2NcW0CHnscPp1RZpr1V,"Devastante","TUTTA VITA","Olly;Juli",2024-10-25,190122,70,false,,2026-01-02T13:59:00Z,"concerto","Epic",0.668,0.549,3,-8.024,1,0.12,0.599,0,0.149,0.386,115.958,4
spotify:track:1JSTJqkT5qHq8MDJnJbRE1,"Every Breath You Take","Synchronicity (Remastered 2003)","The Police",1983-06-17,253920,93,false,,2026-01-02T13:59:00Z,"","Polydor Records",0.82,0.452,1,-9.796,1,0.0348,0.543,0.00294,0.0714,0.74,117.401,4
