Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0SOyTeewK1hwBvNuPONbwr,"Afterlife (Gunship Remix) - Spotify Singles","Afterlife (Gunship Remix) - Spotify Singles","Evanescence;Gunship",2025-12-11,255435,60,false,,2025-12-11T17:26:45Z,"alternative metal,synthwave,vaporwave,synthpop","Netflix Music",0.519,0.728,0,-4.852,1,0.0351,0.0598,0,0.093,0.103,129.945,4
spotify:track:5wGsHz4u8LopZlpwIZO60q,"Confess Your Love","Confess Your Love","Jiandro;ola.wav",2025-08-13,131253,79,false,,2025-10-20T23:00:00Z,"jersey club","Jiandro",0.822,0.408,7,-11.577,0,0.124,0.669,0.585,0.1,0.682,100.583,4
spotify:track:1pKYYY0dkg23sQQXi0Q5zN,"Around the World","Homework","Daft Punk",1997-01-17,429533,76,false,,2025-10-20T23:00:00Z,"french house,electronic,electro","Daft Life Ltd./ADA France",0.956,0.795,7,-5.311,1,0.15,0.00356,0.889,0.0906,0.841,121.294,4
spotify:track:7FIWs0pqAYbP91WWM0vlTQ,"Godzilla (feat. Juice WRLD)","Music To Be Murdered By","Eminem;Juice WRLD",2020-01-17,210800,81,true,,2025-10-20T23:00:00Z,"rap,hip hop,melodic rap,emo rap","Shady/Aftermath/Interscope Records",0.808,0.745,10,-5.26,0,0.342,0.145,0,0.292,0.829,165.995,4
spotify:track:1tg0hS3Vw3HpKYD6FIGgDn,"The Nights","Avicii Forever","Avicii",2025-05-16,176658,71,false,,2025-10-20T23:00:00Z,"edm","Universal Music AB",0.525,0.812,6,-5.873,1,0.0422,0.0104,0,0.293,0.645,125.973,4
spotify:track:026OJSwDl3UOP4T8puJXj9,"NO ERA AMOR - Slowed","NO ERA AMOR","DJ Asul",2025-08-26,93066,81,false,,2025-10-20T23:00:00Z,"phonk,brazilian phonk","INTERTONE",0.623,0.909,11,-1.066,1,0.0334,0.124,0.00469,0.131,0.72,115.747,4
spotify:track:4ExEyYveJq0222GvTrWMGb,"MARBLE ZONE - Spotify Singles","MARBLE ZONE (Spotify Singles)","Labrinth",2025-12-11,159186,55,false,,2025-12-11T17:26:45Z,"","Columbia",0.637,0.938,11,-3.827,0,0.029,0.0102,0.865,0.106,0.964,125.88,4
spotify:track:7Ki2fTfTdDhqY2AY8muY5z,"Making Love to Morgan Wallen","Making Love to Morgan Wallen","Limp Bizkit",2025-09-12,249048,69,true,,2025-10-20T23:00:00Z,"nu metal,rap metal,alternative metal,rap rock","Hollywood Records",0.638,0.941,1,-4.439,1,0.126,0.0416,0.0000176,0.0741,0.4,104.979,4
spotify:track:0JP9xo3adEtGSdUEISiszL,"Moonlight","?","XXXTENTACION",2018-03-16,135090,83,true,,2025-10-20T23:00:00Z,"emo rap","Bad Vibes Forever, LLC",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4
spotify:track:7GI0YANcHMcybpOYP1pNSP,"Feel the Way I Do","Incubator","Primer",2022-04-15,212250,64,false,,2025-11-24T22:55:22Z,"","Egghunt Records",0.588,0.78,3,-8.171,0,0.0339,0.101,0.0126,0.121,0.373,110.007,4
spotify:track:3UEwPrMwvnqXs2nv4yDwTm,"Sacrifice","Sacrifice","League of Legends;G.E.M.",2025-10-13,249306,67,false,,2025-11-13T14:26:22Z,"mandopop,c-pop,cantopop,taiwanese pop,gufeng","Riot Games",0.284,0.673,3,-8.032,0,0.0616,0.0437,0,0.102,0.202,185.054,3
spotify:track:3MKhTroJs5GF9H7LqN9fiw,"Devil in Disguise","Devil in Disguise","Marino",2025-07-18,104431,83,false,,2025-11-27T09:49:03Z,"","broke",0.899,0.403,1,-9.674,0,0.0642,0.508,0.0000287,0.111,0.617,109.982,4
spotify:track:56ICLIImbKCDtbGoD9UaTk,"I Really Want To Stay At Your House - Spotify Singles","I Really Want To Stay At Your House (Spotify Singles)","Bilmuri",2025-12-11,236054,63,false,,2025-12-11T17:26:45Z,"post-hardcore","Columbia",0.56,0.826,0,-6.228,1,0.0599,0.0204,0.00000135,0.517,0.646,134.026,4
spotify:track:0VodPyDs7Uw9UpeRp22vq6,"M.I.A - VALORANT Game Changers Version","M.I.A (VALORANT Game Changers Version)","KATSEYE;VALORANT",2025-09-04,129587,67,false,,2025-11-27T09:49:03Z,"k-pop","HYBE/Geffen",0.731,0.794,11,-6.656,0,0.073,0.0156,0.00597,0.319,0.644,128.009,4
spotify:track:0AVvy2eRQas5xX2EOk3G9h,"YOSHO HAI MONTAGEM","YOSHO HAI MONTAGEM","Torbahed;ZODIVK;Y3LLAVISION",2025-08-14,83995,70,false,,2025-10-24T13:13:47Z,"phonk,brazilian phonk,drift phonk","MNRC",0.601,0.917,3,-6.786,0,0.0473,0.0861,0.149,0.191,0.792,130.073,4
spotify:track:2HYFX63wP3otVIvopRS99Z,"Houdini","Houdini","Eminem",2024-05-31,227239,76,true,,2025-10-20T23:00:00Z,"rap,hip hop","Shady/Aftermath/Interscope Records",0.936,0.887,9,-2.76,0,0.0683,0.0292,0.00000188,0.0582,0.889,127.003,4
spotify:track:6AI3ezQ4o3HUoP6Dhudph3,"Not Like Us","Not Like Us","Kendrick Lamar",2024-05-04,274192,88,true,,2025-10-20T23:00:00Z,"hip hop,west coast hip hop","Kendrick Lamar, under exclusive license to Interscope Records",0.898,0.472,1,-7.001,1,0.0776,0.0107,0,0.141,0.214,101.061,4
spotify:track:4sTlQPMyoFMPdhAJvErBN3,"PASSO BEM SOLTO - Slowed","PASSO BEM SOLTO","ATLXS",2024-04-23,116072,83,false,,2025-10-20T23:00:00Z,"phonk,brazilian phonk","broke",0.602,0.867,1,-5.698,0,0.0312,0.00702,0.00442,0.259,0.399,115.899,4
spotify:track:2ZRo7axmMPeSVUvDbGkJah,"Hope","?","XXXTENTACION",2018-03-16,110886,82,true,,2025-10-20T23:00:00Z,"emo rap","Bad Vibes Forever, LLC",0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,4
spotify:track:0Gz4Q1Bmyef5yA0G6LIIQZ,"poster boy","2","2hollis",2023-05-11,121089,82,true,,2025-10-20T23:00:00Z,"hyperpop,electroclash","2hollis",0.683,0.959,6,-0.505,0,0.056,0.0804,0.00000384,0.0708,0.912,111.035,4
spotify:track:3AjSfp5FDvwtMU9XBsbS8j,"Push Up - Main Edit","Push Up (Main Edit)","Creeds",2023-03-31,139300,76,false,,2025-10-20T23:00:00Z,"techno,hypertechno,hard techno,tekno","Columbia/B1 Recordings",0.767,0.83,7,-8.78,1,0.206,0.209,0.836,0.0582,0.187,75.023,4
spotify:track:0HqZX76SFLDz2aW8aiqi7G,"Bones","Bones","Imagine Dragons",2022-03-11,165264,76,false,,2025-10-20T23:00:00Z,"","KIDinaKORNER/Interscope Records",0.773,0.742,5,-3.678,0,0.046,0.0206,0,0.0754,0.571,114.071,4
spotify:track:0nbXyq5TXYPCO7pr3N8S4I,"The Box","Please Excuse Me for Being Antisocial","Roddy Ricch",2019-12-06,196652,83,true,,2025-10-20T23:00:00Z,"melodic rap","Atlantic Records",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,4
spotify:track:1o2WYr42HrIoR38WhMy4p6,"Aria","Aria","Argy;Omnya",2023-09-22,236065,62,false,,2025-10-20T23:00:00Z,"melodic techno,melodic house,techno","Afterlife",0.652,0.818,10,-5.994,0,0.0276,0.00248,0.289,0.201,0.0893,122.005,4
spotify:track:6erjw7dcQoYGaa6rXDnsLC,"Bodies (feat. JID)","KIARI:OFFSET","Offset;JID",2025-08-29,178708,54,true,,2025-10-20T23:00:00Z,"","Motown Records",0.862,0.726,9,-3.92,1,0.177,0.117,0,0.304,0.239,135.03,4
spotify:track:56y1jOTK0XSvJzVv9vHQBK,"Paint The Town Red","Scarlet","Doja Cat",2023-09-20,230466,77,true,,2025-10-20T23:00:00Z,"","Kemosabe Records/RCA Records",0.864,0.556,2,-7.683,0,0.194,0.255,0.00000385,0.112,0.726,99.974,4
spotify:track:3LtpKP5abr2qqjunvjlX5i,"Doja","Doja","Central Cee",2022-07-21,97392,78,true,,2025-10-20T23:00:00Z,"uk drill,drill,uk grime,grime","Central Cee",0.911,0.573,6,-7.43,1,0.288,0.38,0,0.403,0.972,140.04,4
spotify:track:6NYbDTmstd7JSUWl2hVBqR,"Sprinter","Sprinter","Dave;Central Cee",2023-06-01,229133,77,true,,2025-10-20T23:00:00Z,"grime,uk grime,uk drill,drill","Neighbourhood Records (UMG UK / UMUK)",0.918,0.681,1,-4.705,1,0.201,0.263,0,0.0615,0.705,139.057,4
spotify:track:17phhZDn6oGtzMe56NuWvj,"Lose Control","I've Tried Everything But Therapy (Part 1)","Teddy Swims",2023-09-15,210688,89,false,,2025-10-20T23:00:00Z,"","Warner Records",0.561,0.604,9,-4.409,1,0.0337,0.199,0.000019,0.104,0.242,159.92,3
spotify:track:2qSkIjg1o9h3YT9RAgYN75,"Espresso","Espresso","Sabrina Carpenter",2024-04-12,175459,85,true,,2025-10-20T23:00:00Z,"pop","Island Records",0.701,0.76,0,-5.478,1,0.0285,0.107,0.0000654,0.185,0.69,103.969,4
spotify:track:2plbrEY59IikOBgBGLjaoe,"Die With A Smile","Die With A Smile","Lady Gaga;Bruno Mars",2024-08-16,251667,91,false,,2025-10-20T23:00:00Z,"art pop,pop","Interscope",0.521,0.592,6,-7.777,0,0.0304,0.308,0,0.122,0.535,157.969,3
spotify:track:7GX5flRQZVHRAGd6B4TmDO,"XO Tour Llif3","Luv Is Rage 2","Lil Uzi Vert",2017-08-25,182706,81,true,,2025-10-20T23:00:00Z,"melodic rap","Generation Now/Atlantic",0.732,0.75,11,-6.366,0,0.231,0.00264,0,0.109,0.401,155.096,4
spotify:track:2HBBM75Xv3o2Mqdyh1NcM0,"Heavy Is the Crown","From Zero","Linkin Park",2024-11-15,167012,78,false,,2025-10-20T23:00:00Z,"nu metal,rap metal,rock,alternative metal","Warner Records",0.571,0.928,4,-3.725,0,0.0453,0.00932,0,0.297,0.488,127.939,4
spotify:track:7MIhUdNJtaOnDmC5nBC1fb,"Deep Down (feat. Never Dull)","Deep Down (feat. Never Dull)","Alok;Ella Eyre;Kenny Dope;Never Dull",2022-06-17,165714,74,false,,2025-10-20T23:00:00Z,"brazilian bass,electronic,slap house,electro house,disco house,funky house,jazz house,lo-fi house,nu disco","Columbia/B1 Recordings",0.687,0.818,0,-4.221,1,0.0778,0.0112,0,0.248,0.886,125.952,4
spotify:track:19RybK6XDbAVpcdxSbZL1o,"Apple","BRAT","Charli xcx",2024-06-07,151739,77,false,,2025-10-20T23:00:00Z,"hyperpop,art pop","Atlantic Records",0.804,0.957,0,-5.452,1,0.034,0.125,0.0174,0.114,0.962,126.035,4
spotify:track:2QxekHjOYDnzNO5w8hu2D9,"Empty Out Your Pockets","The Party Never Ends 2.0","Juice WRLD",2024-11-30,135653,76,true,,2025-10-20T23:00:00Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.74,0.718,8,-6.278,0,0.133,0.329,0,0.38,0.345,91.929,4
spotify:track:62J3LcwTASdo624WsF3L6k,"GODS","GODS","League of Legends;NewJeans",2023-10-04,220878,73,false,,2025-10-20T23:00:00Z,"k-pop","Riot Games",0.588,0.765,3,-5.914,0,0.0518,0.00685,0.0000323,0.2,0.492,145.988,4
