Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:31nfdEooLEq7dn3UMcIeB5,"Vois sur ton chemin - Techno Mix","Vois sur ton chemin (Techno Mix)","BENNETT",2023-08-04,178156,79,false,,2025-12-22T14:41:05Z,"hypertechno,techno","Warner Music Central Europe",0.634,0.824,2,-3.394,0,0.047,0.0908,0.0711,0.119,0.371,137.959,4
spotify:track:4sTlQPMyoFMPdhAJvErBN3,"PASSO BEM SOLTO - Slowed","PASSO BEM SOLTO","ATLXS",2024-04-23,116072,83,false,,2025-12-22T14:41:05Z,"phonk,brazilian phonk","broke",0.602,0.867,1,-5.698,0,0.0312,0.00702,0.00442,0.259,0.399,115.899,4
spotify:track:49t3uvN9hUNefdvtaD6HBj,"LUNA BALA - Slowed","LUNA BALA","Yb Wasg'ood;Ariis",2025-04-18,124110,82,false,,2025-12-22T14:41:05Z,"phonk,brazilian phonk","void",0.72,0.93,7,-1.518,0,0.0342,0.0157,0.878,0.368,0.283,110.071,4
spotify:track:5uEYRdEIh9Bo4fpjDd4Na9,"Goosebumps - Remix","Goosebumps (Remix)","Travis Scott;HVME",2021-01-15,162802,73,true,,2025-12-22T14:41:05Z,"rap,slap house","Cactus Jack/Epic",0.841,0.593,1,-7.846,1,0.0379,0.418,0,0.124,0.808,124.917,4
spotify:track:3VFySvZMSn4z4X4YDDQb0H,"NUNCA MUDA?","NUNCA MUDA?","Scythermane;NXGHT!;MC Fabinho da Osk",2025-01-09,81500,71,false,,2025-12-22T14:41:05Z,"phonk,brazilian phonk,funk,funk de bh,brazilian funk,brega funk","Purple Crunch Records",0.89,0.955,11,-4.03,0,0.0434,0.494,0.689,0.136,0.0941,130.061,4
spotify:track:2FAZskT9yRjp2Oow9szJD8,"The Days - NOTION Remix","The Days (NOTION Remix)","Chrystal;NOTION",2024-11-08,233229,86,false,,2025-12-22T14:41:05Z,"bassline,bass house,uk garage,drum and bass","Polydor Records",0.62,0.843,6,-5.321,0,0.0844,0.0062,0.00000463,0.55,0.237,137.812,4
spotify:track:5R9FQXymzyhxjAYAkdbq5Q,"ACELERADA","ACELERADA","sma$her;MXZI",2025-06-27,61269,84,false,,2025-12-22T14:41:05Z,"phonk,brazilian phonk,funk","Tribal Trap",0.727,0.714,5,-2.734,0,0.0287,0.171,0.0000112,0.0739,0.732,130.084,4
spotify:track:67smGwuPEtA6GAfeweAVNO,"SLAY!","SLAY!","Eternxlkz",2024-03-15,107076,76,true,,2025-12-22T14:41:05Z,"phonk,brazilian phonk","Eternxlkz",0.681,0.773,1,-4.706,1,0.0345,0.0863,0.734,0.0978,0.504,129.923,4
spotify:track:02itaCXOdC54J0ISjqqFAp,"All Around The World (La La La)","All Around The World (La La La)","R3HAB;A Touch Of Class",2019-04-05,147840,70,false,,2025-12-22T14:41:05Z,"slap house,edm,europop,eurodance","Intercord",0.733,0.859,9,-5.03,0,0.033,0.479,0.0645,0.105,0.52,124.948,4
spotify:track:0Gz4Q1Bmyef5yA0G6LIIQZ,"poster boy","2","2hollis",2023-05-11,121089,82,true,,2025-12-22T14:41:05Z,"hyperpop,electroclash","2hollis",0.683,0.959,6,-0.505,0,0.056,0.0804,0.00000384,0.0708,0.912,111.035,4
