Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2665YLaM0dLaIhkjpUHT7k,"SCACCIACANI - feat. Massimo Pericolo - prod. Crookers & Nic Sarno","SCACCIACANI (feat. Massimo Pericolo - prod. Crookers & Nic Sarno)","Ketama126;Massimo Pericolo",2019-05-24,219947,47,true,,2020-06-23T05:52:16Z,"italian trap","Epic",0.651,0.649,0,-4.363,0,0.0366,0.237,0,0.128,0.455,133.971,4
spotify:track:2gUn6S1SuuXK0BvypPKnir,"NO WAY (feat. Nitro) - prod. Low Kidd","MACHETE MIXTAPE 4","MACHETE;Tedua;thasup;Nitro",2019-07-05,218023,44,true,,2020-06-23T05:52:16Z,"italian trap,concerto","Epic",0.739,0.727,6,-7.072,0,0.329,0.0344,0,0.681,0.43,131.024,4
spotify:track:7kK2m2KDEL0W8oFq6fuOcf,"PERDONAMI","PERDONAMI","Salmo",2017-11-24,135294,34,true,,2020-06-23T05:52:16Z,"italian trap,concerto","Epic",0.661,0.853,1,-2.287,1,0.272,0.107,0,0.0852,0.655,76.499,4
spotify:track:2ZRo7axmMPeSVUvDbGkJah,"Hope","?","XXXTENTACION",2018-03-16,110886,82,true,,2020-06-23T05:52:16Z,"emo rap","Bad Vibes Forever, LLC",0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,4
spotify:track:0y8UKPyJOluqIuacosTKEv,"Monster (Dotexe Remix)","Monster (Dotexe Remix)","Nightcore",2017-03-01,184946,59,false,,2020-06-23T05:52:16Z,"nightcore","Nightored",0.578,0.649,0,-5.649,1,0.0878,0.416,0.00253,0.0869,0.386,168.813,4
spotify:track:1o3hgrxrtzKjsF36oLtook,"Paradise Lost","Davide","Gemitaiz",2018-04-20,164118,45,false,,2020-06-23T05:52:16Z,"italian trap","Universal Music Italia srL.",0.757,0.545,1,-6.918,0,0.0968,0.129,0.0000216,0.291,0.556,156.08,4
spotify:track:6BNMAb82xLiPv1ZngMQOBK,"Iside (feat. Luchè)","Re Mida","Lazza;Luchè",2019-03-01,152733,47,true,,2020-06-23T05:52:16Z,"italian trap,concerto,canzone napoletana","Universal Music Italia srL.",0.714,0.795,11,-6.956,0,0.293,0.125,0,0.146,0.668,84.965,4
spotify:track:5wAArpW8e8QelgrJ8QyY3E,"Bolla Papale Freestyle","MM Vol. 2","MadMan",2016-11-11,126000,48,false,,2020-06-23T05:52:16Z,"italian trap","Universal Music Italia srL.",0.604,0.657,0,-7.271,0,0.307,0.19,0.00000483,0.122,0.396,159.988,4
spotify:track:6oMxcHFSiTZPSYoRe9wFpF,"Pizza Kebab","Album","Ghali",2017-05-26,178040,0,true,,2020-06-23T05:52:16Z,"italian trap","Sto Records",0.708,0.776,4,-5.292,0,0.0402,0.307,0.00000879,0.115,0.361,143.045,4
spotify:track:1f1mvHcJwPPponfS45uRp1,"Money Rain","Money Rain","Boro;YOUNGGUCCI;LGND",2018-09-18,219259,48,true,,2020-06-23T05:52:16Z,"italian trap","Guna",0.667,0.715,1,-5.522,1,0.188,0.437,0,0.828,0.511,162.106,5
