Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7kK2m2KDEL0W8oFq6fuOcf,"PERDONAMI","PERDONAMI","Salmo",2017-11-24,135294,34,true,,2018-12-24T13:19:55Z,"italian trap,concerto","Epic",0.661,0.853,1,-2.287,1,0.272,0.107,0,0.0852,0.655,76.499,4
spotify:track:0y8UKPyJOluqIuacosTKEv,"Monster (Dotexe Remix)","Monster (Dotexe Remix)","Nightcore",2017-03-01,184946,59,false,,2018-12-24T13:19:55Z,"nightcore","Nightored",0.578,0.649,0,-5.649,1,0.0878,0.416,0.00253,0.0869,0.386,168.813,4
spotify:track:1o3hgrxrtzKjsF36oLtook,"Paradise Lost","Davide","Gemitaiz",2018-04-20,164118,45,false,,2018-12-24T13:19:55Z,"italian trap","Universal Music Italia srL.",0.757,0.545,1,-6.918,0,0.0968,0.129,0.0000216,0.291,0.556,156.08,4
spotify:track:5wAArpW8e8QelgrJ8QyY3E,"Bolla Papale Freestyle","MM Vol. 2","MadMan",2016-11-11,126000,48,false,,2018-12-24T13:19:55Z,"italian trap","Universal Music Italia srL.",0.604,0.657,0,-7.271,0,0.307,0.19,0.00000483,0.122,0.396,159.988,4
spotify:track:2o8ZNExQyRsVxbPKWCoGNp,"San Junipero I","No Comment","Nitro",2018-01-12,137386,31,true,,2018-12-24T13:19:55Z,"italian trap","Epic",0.76,0.438,7,-8.97,1,0.143,0.177,0.0000628,0.101,0.286,141.084,4
spotify:track:6oMxcHFSiTZPSYoRe9wFpF,"Pizza Kebab","Album","Ghali",2017-05-26,178040,0,true,,2018-12-24T13:19:55Z,"italian trap","Sto Records",0.708,0.776,4,-5.292,0,0.0402,0.307,0.00000879,0.115,0.361,143.045,4
spotify:track:1ex3YwDpPLF2JeA8ZgPBto,"Balla","BALLA","Zoda",2018-09-11,200777,38,true,,2018-12-24T13:19:55Z,"italian trap","Battitorumore",0.451,0.844,3,-4.95,0,0.106,0.436,0,0.104,0.481,79.934,4
spotify:track:2HgBmx6tfhRO417ahshpeQ,"Sogni appesi","Pianeti","Ultimo",2017-10-06,212863,39,false,,2018-12-24T13:19:55Z,"concerto","Honiro",0.732,0.428,9,-9.654,1,0.119,0.904,0,0.137,0.639,127.413,4
spotify:track:58q2HKrzhC3ozto2nDdN4z,"I Like It","Invasion of Privacy","Cardi B;Bad Bunny;J Balvin",2018-04-06,253390,80,true,,2018-12-24T13:19:55Z,"reggaeton,trap latino,urbano latino,latin","Atlantic/KSR",0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,4
spotify:track:6gBFPUFcJLzWGx4lenP6h2,"goosebumps","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,243836,85,true,,2018-12-24T13:19:55Z,"rap","Cactus Jack / Epic",0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4
