Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3dYD57lRAUcMHufyqn9GcI,"Take Me To Church","Hozier","Hozier",2014-09-19,241688,84,false,,1970-01-01T00:00:00Z,"","Universal-Island Records Ltd.",0.575,0.664,4,-5.303,0,0.0481,0.637,0,0.116,0.437,129.071,4
spotify:track:1f1wT6Q7Buxb3OD0BqMW8O,"I See Fire","x (10th Anniversary Edition)","Ed Sheeran",2024-06-21,299146,69,false,,1970-01-01T00:00:00Z,"soft pop","Atlantic Records UK",0.591,0.176,10,-11.692,0,0.0396,0.638,0.00000481,0.252,0.296,152.122,4
spotify:track:2uXlHCUbq9OMUwx3hrk06o,"Riptide","Dream Your Life Away (Deluxe Edition)","Vance Joy",2014-08-05,204280,85,false,,1970-01-01T00:00:00Z,"folk pop","Atlantic Records",0.483,0.731,1,-6.696,1,0.0381,0.436,0,0.151,0.484,101.654,4
spotify:track:6nek1Nin9q48AVZcWs9e9D,"Paradise","Mylo Xyloto","Coldplay",2011-10-24,278719,85,false,,1970-01-01T00:00:00Z,"","Parlophone UK",0.449,0.585,5,-6.761,1,0.0268,0.0509,0.0000875,0.0833,0.212,139.631,4
spotify:track:2dLLR6qlu5UJ5gk0dKz0h3,"Royals","Pure Heroine","Lorde",2013-09-27,190185,79,false,,1970-01-01T00:00:00Z,"","Universal Music New Zealand Limited",0.674,0.426,7,-9.504,1,0.122,0.12,0,0.132,0.337,84.876,4
spotify:track:1qDrWA6lyx8cLECdZE7TV7,"Somebody That I Used To Know","Making Mirrors","Gotye;Kimbra",2011-01-01,244884,82,false,,1970-01-01T00:00:00Z,"","Universal-Island Records Ltd.",0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,4
spotify:track:2tpWsVSb9UEmDRxAl1zhX1,"Counting Stars","Native","OneRepublic",2013-01-01,257265,88,false,,1970-01-01T00:00:00Z,"soft pop","Mosley / Interscope",0.663,0.706,1,-4.972,0,0.0383,0.0654,0,0.118,0.474,122.013,4
spotify:track:5rgy6ghBq1eRApCkeUdJXf,"We Are Young (feat. Janelle Monáe)","Some Nights","fun.;Janelle Monáe",2012-02-14,250626,80,false,,1970-01-01T00:00:00Z,"alternative r&b","Fueled By Ramen",0.378,0.638,10,-5.576,1,0.075,0.02,0.0000766,0.0849,0.735,184.086,4
spotify:track:3Fzlg5r1IjhLk2qRw667od,"Dancing in the Moonlight","Onka's Big Moka","Toploader",2000,232693,78,false,,1970-01-01T00:00:00Z,"","Sony Soho Square",0.632,0.856,10,-3.463,1,0.0348,0.0624,0,0.347,0.867,119.397,4
spotify:track:62yJjFtgkhUrXktIoSjgP2,"Radioactive","Night Visions","Imagine Dragons",2012-09-04,186813,80,false,,1970-01-01T00:00:00Z,"","Kid Ina Korner / Interscope",0.448,0.784,9,-3.686,1,0.0625,0.0999,0.000108,0.668,0.237,136.239,4
spotify:track:4OSBTYWVwsQhGLF9NHvIbR,"Rolling in the Deep","21","Adele",2011-01-24,228093,80,false,,1970-01-01T00:00:00Z,"soft pop","XL Recordings",0.73,0.769,8,-5.114,1,0.0298,0.138,0,0.0473,0.507,104.948,4
spotify:track:3YKptz29AsOlm7WAVnztBh,"Kiss from a Rose","Seal","Seal",1994-05-31,288426,76,false,,1970-01-01T00:00:00Z,"","Warner Records",0.584,0.533,10,-7.11,0,0.0305,0.684,0,0.306,0.224,131.745,3
spotify:track:1vxw6aYJls2oq3gW0DujAo,"Crazy","St. Elsewhere","Gnarls Barkley;CeeLo Green;Danger Mouse",2007-12-01,177933,81,false,,1970-01-01T00:00:00Z,"","WM UK",0.866,0.537,8,-5.786,1,0.0335,0.053,0.0156,0.0866,0.643,111.987,4
spotify:track:5kWcIgj5CszKQBB0Lg7sGY,"Let Her Go","All the Little Lights (Deluxe Version)","Passenger",2013-08-26,252733,71,false,,1970-01-01T00:00:00Z,"folk pop","Embassy of Music",0.479,0.545,7,-7.346,1,0.0688,0.365,0,0.0963,0.243,74.897,4
