Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0JP9xo3adEtGSdUEISiszL,"Moonlight","?","XXXTENTACION",2018-03-16,135090,83,true,manuelmarrali,2018-07-04T23:54:33Z,"emo rap","Bad Vibes Forever, LLC",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4
spotify:track:7AFASza1mXqntmGtbxXprO,"changes","?","XXXTENTACION",2018-03-16,121886,74,false,manuelmarrali,2018-07-04T23:54:44Z,"emo rap","Bad Vibes Forever, LLC",0.669,0.308,11,-10.068,1,0.029,0.883,0,0.0984,0.52,64.934,4
spotify:track:3ee8Jmje8o58CHK66QrVC2,"SAD!","?","XXXTENTACION",2018-03-16,166605,80,true,manuelmarrali,2018-07-04T23:54:58Z,"emo rap","Bad Vibes Forever, LLC",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4
spotify:track:7AQim7LbvFVZJE3O8TYgf2,"Fuck Love","17","XXXTENTACION;Trippie Redd",2017-08-25,146520,82,true,manuelmarrali,2018-07-04T23:55:10Z,"emo rap,melodic rap","Bad Vibes Forever / EMPIRE",0.797,0.533,0,-9.74,0,0.0412,0.0172,0.000152,0.103,0.329,131.036,4
spotify:track:6eYxmK9fdL4hwLnXG2zY3s,"Look At Me!","Revenge","XXXTENTACION",2017-05-16,126345,53,true,manuelmarrali,2018-07-04T23:58:14Z,"emo rap","Bad Vibes Forever / EMPIRE",0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059,4
spotify:track:3GVkPk8mqxz0itaAriG1L7,"Everybody Dies In Their Nightmares","17","XXXTENTACION",2017-08-25,95466,78,true,manuelmarrali,2018-07-17T01:27:35Z,"emo rap","Bad Vibes Forever / EMPIRE",0.734,0.57,7,-7.066,0,0.133,0.847,0.0000214,0.112,0.689,129.953,4
spotify:track:7m9OqQk4RVRkw9JJdeAw96,"Jocelyn Flores","17","XXXTENTACION",2017-08-25,119133,78,true,manuelmarrali,2019-02-08T21:39:55Z,"emo rap","Bad Vibes Forever / EMPIRE",0.872,0.391,0,-9.144,0,0.242,0.469,0.00000413,0.297,0.437,134.021,4
spotify:track:2ZRo7axmMPeSVUvDbGkJah,"Hope","?","XXXTENTACION",2018-03-16,110886,82,true,manuelmarrali,2019-02-08T22:02:14Z,"emo rap","Bad Vibes Forever, LLC",0.592,0.457,9,-6.081,0,0.0603,0.661,0.000331,0.146,0.225,146.04,4
spotify:track:4UKCKdYiLN6IMA5ZESUTL7,"the remedy for a broken heart (why am I so in love)","?","XXXTENTACION",2018-03-16,160184,73,true,manuelmarrali,2019-08-27T22:50:14Z,"emo rap","Bad Vibes Forever, LLC",0.699,0.304,1,-11.192,1,0.0993,0.779,0.000993,0.137,0.271,119.705,4
spotify:track:2H3wWrnO758y0fPH7Ilerg,"Depression & Obsession","17","XXXTENTACION",2017-08-25,144733,67,true,manuelmarrali,2019-09-04T13:49:29Z,"emo rap","Bad Vibes Forever / EMPIRE",0.769,0.156,11,-10.7,0,0.035,0.585,0.015,0.102,0.527,105.95,4
spotify:track:01TnVDiet1DFTsyWKUKovl,"NUMB","?","XXXTENTACION",2018-03-16,186267,76,false,manuelmarrali,2019-09-05T03:43:43Z,"emo rap","Bad Vibes Forever, LLC",0.414,0.416,11,-8.024,0,0.0251,0.1,0.179,0.131,0.196,159.91,4
spotify:track:2yZax79pOrYuyIFVW2cZY2,"Carry On","17","XXXTENTACION",2017-08-25,129720,69,true,manuelmarrali,2019-10-23T16:34:36Z,"emo rap","Bad Vibes Forever / EMPIRE",0.735,0.197,3,-13.378,0,0.537,0.768,0.000276,0.296,0.383,147.899,4
spotify:track:5TXDeTFVRVY7Cvt0Dw4vWW,"Revenge","17","XXXTENTACION",2017-08-25,120026,82,true,manuelmarrali,2019-10-23T16:38:59Z,"emo rap","Bad Vibes Forever / EMPIRE",0.746,0.251,11,-16.169,0,0.259,0.782,0.00203,0.106,0.18,139.999,4
spotify:track:2UwbhMie1EAYuTZ0QXeMwl,"Save Me","17","XXXTENTACION",2017-08-25,163201,70,true,manuelmarrali,2019-10-23T16:41:20Z,"emo rap","Bad Vibes Forever / EMPIRE",0.731,0.204,9,-11.314,0,0.0369,0.307,0.0109,0.0989,0.191,142.141,4
spotify:track:05bnEv2dpFzmGVLGdjD9UP,"Orlando","17","XXXTENTACION",2017-08-25,163840,59,true,manuelmarrali,2019-10-23T16:44:59Z,"emo rap","Bad Vibes Forever / EMPIRE",0.57,0.0279,1,-22.282,1,0.0588,0.859,0.0892,0.254,0.28,84.902,4
spotify:track:7CkbRn6S0itJqcqn88AtSV,"going down!","?","XXXTENTACION",2018-03-16,115194,63,true,manuelmarrali,2019-10-23T16:50:28Z,"emo rap","Bad Vibes Forever, LLC",0.873,0.663,1,-4.086,1,0.15,0.0216,0.000356,0.0867,0.525,135.499,4
