Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:5JCHB4NqgrYaL2G9HrcYwD,"BEGINNING","Beginning","Berywam",2021-07-15,132600,24,false,manuelmarrali,2022-02-20T12:46:24Z,"","Universal Music Division Label Panthéon",0.655,0.625,6,-6.981,0,0.0434,0.0512,0.317,0.738,0.127,149.997,4
spotify:track:72UhZ7N66PcdSU5Y1Cm8ZJ,"Time Back","Time Back","Joongle",2021-10-11,121347,0,false,manuelmarrali,2022-02-20T12:46:39Z,"lo-fi","Joongle",0.557,0.407,5,-12.148,0,0.0378,0.938,0.879,0.109,0.197,89.955,4
spotify:track:0nkzZrydRrnT7yhjtxRVvS,"404.1 Wipe Everything","Mr. Robot, Vol. 7 (Original Television Series Soundtrack)","Mac Quayle",2019-12-13,79548,14,false,manuelmarrali,2022-02-20T12:46:53Z,"soundtrack,score","Lakeshore Records",0.329,0.445,8,-20.431,1,0.0379,0.69,0.957,0.114,0.0354,80.015,4
spotify:track:6CeCOC2zx1qS8mQNYHe6IM,"Prologue","Harry Potter and The Sorcerer's Stone Original Motion Picture Soundtrack","John Williams",2001-10-30,130293,62,false,manuelmarrali,2022-02-20T12:47:00Z,"soundtrack,score","Atlantic Records",0.177,0.0188,2,-29.484,0,0.0367,0.957,0.446,0.635,0.0819,146.472,3
spotify:track:3Fg5uhtWBlW0es8GSqQ6Ff,"Mortals","Mortals","Warriyo",2016-12-15,228340,1,false,manuelmarrali,2022-02-20T12:47:07Z,"","NCS",0.323,0.657,2,-6.097,0,0.0458,0.0249,0.0691,0.157,0.0744,90.075,4
spotify:track:4YQKm0p2s7vEYzOJTmqz6h,"Coco Classico","Balloons","Masomenos",2010-10-25,234666,1,false,manuelmarrali,2022-02-20T12:47:15Z,"minimal techno","Welcome To Masomenos",0.866,0.621,11,-10.767,1,0.0615,0.00332,0.837,0.1,0.56,124.014,4
spotify:track:6HwFh0ENQwt5nj0q8SaJ3S,"Pra Nao Dizer Que Nao Falei das Flores - Federico Scavo 2012 Break Set Remix","Pra Nao Dizer Que Nao Falei das Flores (2012 Mixes)","Federico Scavo;Simone",2012-07-06,462240,0,false,manuelmarrali,2022-02-20T12:47:21Z,"latin house,tribal house,funky house,vocal jazz","Tiger Records",0.772,0.944,7,-5.103,1,0.0742,0.00627,0.0898,0.232,0.623,125.036,4
spotify:track:0maCwhZTO3PybhSiQcsjAf,"G.O.A.T.","New Levels New Devils","Polyphia",2018-10-12,215998,48,false,manuelmarrali,2022-02-20T12:47:52Z,"math rock,djent,progressive metal,progressive rock","Rude Records Equal Vision",0.66,0.76,11,-5.488,0,0.0332,0.000601,0.312,0.0949,0.359,107.028,4
spotify:track:3bvhInK2eg3XdDEE1sD1ot,"Orchestral Intro","Chaos","Josh A;iamjakehill",2018-02-18,66501,17,true,manuelmarrali,2022-02-20T12:48:08Z,"emo rap","Josh A & Iamjakehill",0.242,0.158,0,-15.85,0,0.0354,0.906,0.822,0.238,0.233,87.479,4
spotify:track:24Yi9hE78yPEbZ4kxyoXAI,"Roses - Imanbek Remix","Roses (Imanbek Remix)","SAINt JHN;Imanbek",2019-10-09,176840,75,true,manuelmarrali,2022-02-20T12:50:33Z,"slap house","Columbia/B1 Recordings",0.77,0.724,8,-5.484,1,0.0495,0.0167,0.0107,0.353,0.898,121.975,4
spotify:track:7uuo02BIR76qZ6ZXQhz7Ys,"Played-A-Live (The Bongo Song)","Episode ll","Safri Duo",2001-01-01,405693,67,false,manuelmarrali,2022-02-20T12:50:53Z,"electronic classical","Universal Music A/S",0.634,0.97,8,-9.585,0,0.0569,0.0156,0.88,0.34,0.202,137.997,4
spotify:track:6AbVJjzv7thIvmMCuhZrmK,"Make It Bun Dem","Make It Bun Dem","Skrillex;Damian ""Jr Gong"" Marley",2012-05-01,213696,68,false,manuelmarrali,2022-02-20T12:58:03Z,"dubstep,edm,electro,electronic","Big Beat Records/OWSLA",0.556,0.881,7,-2.224,1,0.082,0.00119,0,0.0709,0.337,104.973,1
spotify:track:0y8UKPyJOluqIuacosTKEv,"Monster (Dotexe Remix)","Monster (Dotexe Remix)","Nightcore",2017-03-01,184946,59,false,manuelmarrali,2022-02-20T12:58:57Z,"nightcore","Nightored",0.578,0.649,0,-5.649,1,0.0878,0.416,0.00253,0.0869,0.386,168.813,4
spotify:track:1vCBk33l9HaWp5FOnhSGxk,"I Feel Love","I Remember Yesterday","Donna Summer",1977-05-13,355173,62,false,manuelmarrali,2022-08-30T15:27:51Z,"disco,hi-nrg","Island Mercury",0.674,0.711,0,-15.581,1,0.0423,0.031,0.691,0.0925,0.961,126.696,4
spotify:track:22hOKPKTAegLoLJKM33K4a,"Last Night - Anyma x Layton Giordani Remix","Last Night (Anyma x Layton Giordani Remix)","Loofy;Anyma;Layton Giordani",2024-05-17,256743,62,false,manuelmarrali,2024-11-26T18:24:14Z,"melodic techno,melodic house,techno,stutter house,tech house,acid techno","Nervous Records",0.867,0.681,1,-5.702,0,0.051,0.0858,0.304,0.0822,0.0789,129.001,4
spotify:track:19MTDlbq5kgkwLeOYg9TbV,"Dushanbe","Dushanbe / Blindfold","AfterU",2019-07-15,249496,42,false,manuelmarrali,2024-12-07T11:16:38Z,"melodic techno,melodic house","Armada Electronic Elements",0.675,0.685,7,-10.118,1,0.0418,0.00775,0.793,0.0951,0.197,121.999,3
