Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:32JpzAxaRAnhyEqJ0l3HTY,"Nocturne No. 1 in B-Flat Minor, Op. 9 No. 1","Chopin: The Nocturnes","Frédéric Chopin;Maria João Pires",1996-01-01,336000,40,false,manuelmarrali,2021-05-27T19:30:11Z,"classical piano,classical,chamber music","Deutsche Grammophon (DG)",0.206,0.0347,1,-25.351,1,0.0431,0.994,0.828,0.131,0.0373,67.585,4
spotify:track:2XPy48dKUluGahjUHh0tvH,"Waltz No. 7 in C-Sharp Minor, Op. 64 No. 2","Fantasia","Frédéric Chopin;Yuja Wang",2012-03-01,229226,34,false,manuelmarrali,2021-05-27T19:39:26Z,"classical piano,classical,impressionism","Deutsche Grammophon (DG)",0.239,0.0102,1,-34.109,0,0.0392,0.992,0.938,0.105,0.121,70.578,4
spotify:track:77NekodNyroWPGaBEEQ9dU,"Andante Spianato & Grande Polonaise Brillante In G Major / E Flat Major, Op. 22: Andante spianato. Tranquillo - Semplice","Chopin: Works For Piano & Orchestra","Frédéric Chopin;Jan Lisiecki",2017-03-10,278666,0,false,manuelmarrali,2021-05-27T20:00:23Z,"classical piano,classical","Universal Music Group",0.202,0.00662,7,-37.568,1,0.0465,0.968,0.79,0.137,0.0575,73.395,3
spotify:track:1MHkrzApuTiaDNJqY4m9IW,"24 Préludes, Op. 28: No. 6 in B Minor: Lento assai","Chopin: Preludes; Sonata No.2","Frédéric Chopin;Martha Argerich",2002-01-01,106093,15,false,manuelmarrali,2021-05-27T20:14:20Z,"classical piano,classical,chamber music,impressionism,concerto","Deutsche Grammophon (DG)",0.292,0.00464,7,-31.697,1,0.0569,0.995,0.906,0.0897,0.0398,77.396,3
spotify:track:1VNvsvEsUpuUCbHpVop1vo,"Nocturne No. 2 in E-Flat Major, Op. 9 No. 2","Chopin: Nocturnes","Frédéric Chopin;Daniel Barenboim",1982-01-01,273666,66,false,manuelmarrali,2021-05-27T20:15:48Z,"classical piano,classical,impressionism,opera,chamber music","Deutsche Grammophon (DG)",0.44,0.00925,3,-32.452,1,0.0468,0.984,0.936,0.0873,0.0908,129.129,4
spotify:track:0gbxTVPxBeUVL9pNkrhcR5,"Nocturne No. 21 in C Minor, Op. Posth.","Chopin: The Nocturnes","Frédéric Chopin;Maria João Pires",1996-01-01,168000,32,false,manuelmarrali,2021-05-27T20:54:48Z,"classical piano,classical,chamber music","Deutsche Grammophon (DG)",0.31,0.0362,0,-25.617,0,0.0528,0.993,0.947,0.0814,0.0711,78.544,4
spotify:track:6BX5puwm9fEYLmk40Upk5X,"Waltz in A Minor, KK IVb No. 11","Chopin: Complete Waltzes","Frédéric Chopin;Alice Sara Ott",2010-01-01,119360,36,false,manuelmarrali,2021-05-27T20:57:29Z,"classical piano,classical","Deutsche Grammophon (DG)",0.363,0.00948,9,-32.954,0,0.0442,0.99,0.927,0.0565,0.0742,62.303,4
spotify:track:1JpHODSwP0POyWOG16D8WI,"Fantaisie-Impromptu in C-Sharp Minor, Op. 66","Chopin Evocations","Frédéric Chopin;Daniil Trifonov",2017-10-06,336093,23,false,manuelmarrali,2021-05-27T21:06:30Z,"classical piano,classical","Deutsche Grammophon (DG)",0.155,0.0522,1,-25.087,1,0.0413,0.993,0.894,0.105,0.0585,70.473,3
spotify:track:17i5jLpzndlQhbS4SrTd0B,"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude","Bach: Cello Suites Nos. 1, 5 & 6","Johann Sebastian Bach;Yo-Yo Ma",1983,152280,70,false,manuelmarrali,2021-05-28T05:29:28Z,"classical,baroque,classical piano,concerto,chamber music","Sony Classical",0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,4
spotify:track:0BWJNm4TrO6H3qgiCmDBjM,"Toccata and Fugue in D minor","Great Organ Classics","Johann Sebastian Bach;William McVicker",1997,567466,56,false,manuelmarrali,2021-05-28T05:37:27Z,"classical,baroque,classical piano,concerto","Sony Classical",0.0692,0.0463,2,-25.35,0,0.0373,0.87,0.308,0.0937,0.0714,71.749,4
