Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:39LJCSHy7nB1akjmhMQ7Y7,"Pain","Fearless","Josh A",2019-01-12,188041,61,true,rmrp0i2rmkl65s48xhcs5s10a,2020-08-14T16:00:33Z,"emo rap","Josh A",0.789,0.509,6,-8.629,0,0.277,0.525,0.00000755,0.0936,0.61,75.009,4
spotify:track:0HkoTr9t0f6MeqGoUS3E3e,"JOKER","JOKER","Dax",2020-05-07,247177,0,true,rmrp0i2rmkl65s48xhcs5s10a,2020-08-14T16:00:37Z,"","BMG Rights Management (US) LLC",0.762,0.703,10,-7.951,0,0.306,0.206,0,0.0912,0.519,151.329,4
spotify:track:4W3zam9zzas14ZRnj70FMS,"F**k School!","F**k School!","404vincent",2019-11-30,108033,34,true,rmrp0i2rmkl65s48xhcs5s10a,2020-08-15T17:59:50Z,"","1385112 Records DK",0.734,0.584,2,-11.193,1,0.281,0.0561,0,0.0831,0.736,163.976,4
spotify:track:6ap9lSRJ0iLriGLqoJ44cq,"CITY OF ANGELS","DROPPED OUTTA COLLEGE","24kGoldn",2019-11-22,112493,71,false,rmrp0i2rmkl65s48xhcs5s10a,2020-08-15T18:03:25Z,"","Records/Columbia",0.686,0.541,0,-4.993,0,0.0493,0.042,0,0.0675,0.724,120.082,4
spotify:track:4PklAHGXT5ityno3IA8SKd,"Go Stupid","THE GOAT","Polo G;Stunna 4 Vegas;NLE Choppa;Mike WiLL Made-It",2020-05-15,165726,72,true,rmrp0i2rmkl65s48xhcs5s10a,2020-08-15T18:06:44Z,"","Columbia",0.92,0.833,1,-3.18,1,0.253,0.0277,0,0.0596,0.645,141.034,4
spotify:track:6m37YblnnlJ1x7DfTc3Vj0,"Floor Seats (Text Back)","Floor Seats (Text Back)","Moxas",2019-11-08,138157,0,true,rmrp0i2rmkl65s48xhcs5s10a,2020-08-15T18:08:46Z,"","Sludge Records",0.74,0.453,3,-7.828,1,0.121,0.656,0.00008,0.111,0.178,75.992,4
spotify:track:0hWzB4dR1zwcokPvccww0k,"When I Grow Up","When I Grow Up","NF",2019-06-27,196800,54,false,rmrp0i2rmkl65s48xhcs5s10a,2020-08-17T20:19:37Z,"christian hip hop","NF Real Music",0.817,0.814,2,-3.985,1,0.185,0.32,0,0.152,0.247,109.994,4
spotify:track:18czZN7uruOjftj71Kt8oj,"PAID MY DUES","PAID MY DUES","NF",2019-12-03,211643,51,false,rmrp0i2rmkl65s48xhcs5s10a,2020-08-17T20:19:43Z,"christian hip hop","NF Real Music",0.812,0.784,2,-4.208,1,0.248,0.136,0,0.109,0.38,145.995,4
spotify:track:44sYqNBttbXNxya33FJ3Dj,"Camelot","Top Shotta","NLE Choppa",2020-08-07,148759,71,true,rmrp0i2rmkl65s48xhcs5s10a,2020-08-18T16:24:07Z,"","Warner Records",0.787,0.713,7,-5.252,1,0.401,0.0849,0,0.717,0.761,175.046,4
spotify:track:5l8rugpVIdln5jHvEQLNla,"roxstar","roxstar","Bangers Only;raspy",2020-04-15,150883,0,true,rmrp0i2rmkl65s48xhcs5s10a,2020-08-18T16:25:19Z,"","Good Label / Bad Label",0.862,0.539,1,-6.975,1,0.0787,0.225,0,0.111,0.439,130.026,4
spotify:track:0Q8XCoHyt57aFPUTMgxodv,"Talk a Lot","Talk a Lot","404vincent",2020-07-02,125866,33,true,rmrp0i2rmkl65s48xhcs5s10a,2020-08-18T16:26:33Z,"","Sony Music Canada",0.875,0.481,8,-6.6,1,0.129,0.0657,0.0000313,0.0549,0.676,144.087,4
spotify:track:4oU7vBuCoC9LR4Idhyer2T,"Top Of The World","Top Of The World","AK",2020-02-21,164118,38,false,rmrp0i2rmkl65s48xhcs5s10a,2020-08-18T16:34:16Z,"","Intercord",0.663,0.827,5,-4.357,0,0.0577,0.296,0,0.063,0.728,75.092,4
spotify:track:5BJMeoCXXgbRAWfp6fTulr,"Shotta Flow (feat. Blueface) [Remix]","Cottonwood","NLE Choppa;Blueface",2019-12-23,176631,1,true,rmrp0i2rmkl65s48xhcs5s10a,2020-08-18T16:35:14Z,"","NLE Choppa Entertainment, Inc.",0.894,0.511,2,-4.768,1,0.421,0.0251,0,0.14,0.567,120.077,4
spotify:track:2U5WueTLIK5WJLD7mvDODv,"Wishing Well","Legends Never Die","Juice WRLD",2020-07-10,194621,77,true,rmrp0i2rmkl65s48xhcs5s10a,2020-08-18T17:18:43Z,"melodic rap,emo rap","Grade A Productions/Interscope Records",0.65,0.613,9,-6.13,0,0.128,0.00336,0,0.267,0.0804,149.972,4
spotify:track:285pBltuF7vW8TeWk8hdRR,"Lucid Dreams","Goodbye & Good Riddance","Juice WRLD",2018-12-10,239835,84,true,rmrp0i2rmkl65s48xhcs5s10a,2020-08-18T17:21:13Z,"melodic rap,emo rap","Juice WRLD Mixtape / ISR P&D",0.511,0.566,6,-7.23,0,0.2,0.349,0,0.34,0.218,83.903,4
