Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:3U4isOIWM3VvDubwSI3y7a,"All of Me","Love In The Future (Expanded Edition)","John Legend",2013-08-30,269556,86,false,manuelmarrali,2021-06-14T12:46:24Z,"soft pop,neo soul","G.O.O.D. Music/Columbia",0.422,0.264,8,-7.064,1,0.0322,0.922,0,0.132,0.331,119.93,4
spotify:track:3dYD57lRAUcMHufyqn9GcI,"Take Me To Church","Hozier","Hozier",2014-09-19,241688,84,false,manuelmarrali,2021-06-14T12:46:40Z,"","Universal-Island Records Ltd.",0.575,0.664,4,-5.303,0,0.0481,0.637,0,0.116,0.437,129.071,4
spotify:track:7DFNE7NO0raLIUbgzY2rzm,"Let Her Go","All The Little Lights","Passenger",2012-11-05,252866,3,false,manuelmarrali,2021-06-14T12:47:07Z,"folk pop","Sony Music Entertainment",0.509,0.538,7,-7.335,1,0.0572,0.385,0,0.104,0.244,75.089,4
spotify:track:0ecC8p17cDNlxHXkuYqeR6,"Surrender","Surrender","Natalie Taylor",2019-10-29,183103,68,false,manuelmarrali,2021-06-14T12:47:25Z,"","Columbia",0.39,0.448,5,-8.57,0,0.0276,0.8,0.182,0.107,0.077,144.89,5
spotify:track:5wANPM4fQCJwkGd4rN57mH,"drivers license","SOUR","Olivia Rodrigo",2021-05-21,242013,86,true,manuelmarrali,2021-06-14T12:47:48Z,"","Olivia Rodrigo PS",0.561,0.431,10,-8.81,1,0.0578,0.768,0.0000142,0.106,0.137,143.875,4
spotify:track:4JehYebiI9JE8sR8MisGVb,"Halo","I AM...SASHA FIERCE","Beyoncé",2008-11-17,261640,74,false,manuelmarrali,2021-06-14T12:47:55Z,"","Music World Music/Columbia",0.508,0.72,11,-5.908,0,0.0628,0.272,0,0.0563,0.472,79.983,4
spotify:track:7qEHsqek33rTcFNT9PFqLf,"Someone You Loved","Divinely Uninspired To A Hellish Extent","Lewis Capaldi",2019-05-17,182160,87,false,manuelmarrali,2021-06-14T12:53:10Z,"soft pop","Vertigo Berlin",0.501,0.405,1,-5.679,1,0.0319,0.751,0,0.105,0.446,109.891,4
spotify:track:0pqnGHJpmpxLKifKRmU6WP,"Believer","Evolve","Imagine Dragons",2017-06-23,204346,87,false,manuelmarrali,2021-06-18T10:20:19Z,"","Kid Ina Korner / Interscope",0.776,0.78,10,-4.374,0,0.128,0.0622,0,0.081,0.666,124.949,4
spotify:track:2RSHsoi04658QL5xgQVov3,"Bad Liar","Origins (Deluxe)","Imagine Dragons",2018-11-09,260773,81,false,manuelmarrali,2021-07-04T15:04:28Z,"","Kid Ina Korner / Interscope",0.307,0.637,3,-6.993,1,0.0569,0.0732,0,0.368,0.0805,88.693,4
spotify:track:6skGMlljk0s5yeBKZ7sN5n,"Impossible","James Arthur","James Arthur",2013-10-29,209440,65,false,manuelmarrali,2022-02-11T01:33:00Z,"soft pop","Syco Music",0.376,0.695,0,-4.782,0,0.0933,0.135,0,0.11,0.302,169.533,4
spotify:track:4cktbXiXOapiLBMprHFErI,"Memories","JORDI (Deluxe)","Maroon 5",2021-06-11,189486,83,false,manuelmarrali,2022-02-11T01:41:34Z,"pop","Interscope Records*",0.775,0.327,11,-7.241,1,0.0557,0.841,0,0.0821,0.595,91.05,4
spotify:track:210JCw2LbYD4YIs8GiZ9iP,"Demons","Cover Sessions, Vol. 3","Boyce Avenue;Jennel Garcia",2015-04-28,174174,56,false,manuelmarrali,2022-02-11T01:43:45Z,"acoustic pop","3 Peace Records",0.678,0.351,0,-8.654,1,0.0266,0.747,0,0.355,0.569,90.032,4
spotify:track:3BYyBzKGPOCHeginhe0F77,"Never Be Alone","Handwritten","Shawn Mendes",2015-04-14,215813,0,false,manuelmarrali,2022-02-11T01:45:13Z,"","Island Records",0.377,0.466,10,-6.927,1,0.0353,0.514,0.0000563,0.0781,0.276,199.853,4
spotify:track:3Lp3nA3GZ9kgLg3yoqJ4NX,"Titanium","The Covers, Vol. 2","Madilyn Bailey",2012-05-06,210008,0,false,manuelmarrali,2022-02-11T01:47:54Z,"","Keep Your Soul Records",0.501,0.219,3,-8.226,1,0.0357,0.812,0,0.125,0.264,120.931,4
spotify:track:3vEEkb5YDQSqRfZGGs3PiV,"Let Her Go","Let Her Go","Jasmine Thompson",2013-08-08,172149,0,false,manuelmarrali,2022-05-05T01:55:52Z,"","Jasmine Thompson",0.543,0.408,3,-6.874,1,0.0341,0.951,0.00000113,0.226,0.239,132.883,3
